,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
1530,257,52.34760000000001,4.902561538461538,37,11,4a26ff5ff964a520567f1fe3,Reuring,52.350979143319826,4.8977766108518965,French Restaurant
1427,154,52.3376,4.885638461538461,3,0,4a26ff7ef964a520df7f1fe3,Bagna Cauda,52.334944,4.88625,Mediterranean Restaurant
1514,241,52.34760000000001,4.885638461538461,22,17,4a26ffa5f964a52083801fe3,Café Dusart,52.351257000000004,4.889485,German Restaurant
1558,285,52.34760000000001,4.919484615384615,10,2,4a26ffb5f964a520b0801fe3,Café-Restaurant Dauphine,52.34849054831965,4.917228572877027,French Restaurant
802,401,52.3698609293324,4.88196043446314,36,12,4a26ffc5f964a520eb801fe3,Balthazar's Keuken,52.369387803392534,4.879847054427781,French Restaurant
1038,637,52.3798609293324,4.881959601621007,42,27,4a26ffcef964a52017811fe3,Som-Tam Thaifood,52.38050017744549,4.884146531059887,Thai Restaurant
671,270,52.3698609293324,4.865037357540063,18,14,4a26ffdaf964a5203f811fe3,To Ouzeri,52.37014305859251,4.866598359322063,Greek Restaurant
1081,680,52.37533907066762,4.881959601621007,37,28,4a26ffe7f964a52065811fe3,Jur,52.376277,4.882268116472601,French Restaurant
808,407,52.3698609293324,4.88196043446314,36,18,4a26ffeff964a52083811fe3,A la Plancha,52.368954277043144,4.881090434728954,Tapas Restaurant
1480,207,52.34760000000001,4.851792307692307,31,25,4a26fff2f964a52094811fe3,De Smoezer,52.35082491125304,4.854240202592607,French Restaurant
2086,813,52.37760000000001,4.885638461538461,50,7,4a27001cf964a52039821fe3,Il Panorama,52.37356542720236,4.886823892593383,Italian Restaurant
479,78,52.35533907066761,4.889315656260642,50,36,4a270028f964a5206e821fe3,Siriphon,52.357439847547255,4.890001415519683,Thai Restaurant
40,40,52.35420860600141,4.8874771529602645,14,11,4a270029f964a52079821fe3,Pheun Thai,52.35358597242465,4.886495018592262,Thai Restaurant
824,423,52.3698609293324,4.88196043446314,36,34,4a27002cf964a5208a821fe3,Palladio,52.36985998108479,4.88130205219132,Italian Restaurant
1468,195,52.34760000000001,4.851792307692307,31,13,4a27002df964a5208d821fe3,Aladdin,52.350843,4.852812,Middle Eastern Restaurant
357,357,52.37646953533381,4.90072201433155,15,13,4a27003af964a520c4821fe3,Casablanca Variété,52.37557310836147,4.9007772384348005,French Restaurant
1599,326,52.35760000000001,4.851792307692307,22,0,4a27003ff964a520cf821fe3,Gent aan de Schinkel,52.354755219749975,4.853131516068616,Belgian Restaurant
400,400,52.374208606001424,4.90072201433155,42,41,4a270050f964a520fb821fe3,Lime,52.373884490716065,4.900251333154723,Cocktail Bar
