,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
7533,682,41.37081428571429,2.180066666666667,12,2,4ada32f6f964a520dc1f21e3,El Chipirón - Moncho's,41.37483317018109,2.1820375938359056,Mediterranean Restaurant
9096,2245,41.427957142857146,2.166733333333333,37,0,4adcda4df964a520174021e3,La Esquinica,41.430406284350475,2.171374667203863,Tapas Restaurant
5960,1510,41.38986190476191,2.166733333333333,9,7,4adcda4df964a520234021e3,Qu Qu - Quasi Queviures,41.39007569932764,2.167752296388793,Tapas Restaurant
1505,1505,41.38760097542953,2.1297267936153967,49,40,4adcda4df964a520f73f21e3,Oliver y Hardy,41.38926988224269,2.131413846718872,Spanish Restaurant
2047,2047,41.38760097542953,2.163739873051269,50,0,4adcda4df964a520fa3f21e3,La Flauta,41.387012799304685,2.161169212869722,Tapas Restaurant
6347,1897,41.392122834094295,2.1697267936153968,16,12,4adcda4ff964a520c54021e3,Movie Restaurant,41.39274493748489,2.169447640309776,Mediterranean Restaurant
3696,3696,41.41117045314192,2.169727671073864,23,14,4adcda53f964a520394221e3,Petit París,41.411977,2.1690650000000002,French Restaurant
2693,2693,41.39712478495332,2.1430605655723123,46,40,4adcda53f964a5203d4221e3,Ariadna,41.396097266966855,2.145113238363988,Mediterranean Restaurant
323,323,41.373075215046676,2.169725917001679,49,15,4adcda53f964a520424221e3,Cuixart,41.3739572279877,2.1695734639538715,French Restaurant
2824,2824,41.39712478495332,2.1504061010943545,50,28,4adcda53f964a520454221e3,Il Giardinetto,41.396849588389905,2.1523792469890513,Italian Restaurant
8582,1731,41.408909523809534,2.126733333333333,8,0,4adcda53f964a520464221e3,La Balsa Restaurant,41.410988266076714,2.13021481173462,Mediterranean Restaurant
5345,895,41.38146855990429,2.1712229181673037,37,24,4adcda53f964a520534221e3,Pinotxo,41.38200482752299,2.1719946167507063,Mediterranean Restaurant
4805,355,41.37694670123951,2.17557718588568,13,11,4adcda53f964a520594221e3,Sushi & News,41.377608,2.175007,Japanese Restaurant
1425,1425,41.382599024570496,2.1963930218696697,7,1,4adcda53f964a520694221e3,Restaurant Agua,41.3847182214749,2.196343926187692,Spanish Restaurant
5262,812,41.382599024570496,2.1697263552030033,31,27,4adcda53f964a520764221e3,Fresc Co,41.38286882990114,2.1704724172222747,Mediterranean Restaurant
5318,868,41.383729489236686,2.1712229181673037,26,23,4adcda53f964a520784221e3,Julivert Meu,41.384372,2.170423,Mediterranean Restaurant
6950,99,41.32319523809524,2.140066666666667,4,3,4adcda53f964a5207c4221e3,Boix de la Cerdanya (El),41.32334838389815,2.1352590362282267,Mediterranean Restaurant
3288,3288,41.39712478495332,2.1770727677610213,47,24,4adcda53f964a520884221e3,Merlot Restaurante,41.39812803705261,2.175595818521331,Mediterranean Restaurant
2393,2393,41.38760097542953,2.183060126948731,50,42,4adcda54f964a520984221e3,Arrel del Born,41.3863084,2.183067,Spanish Restaurant
2754,2754,41.401646643618115,2.1504061010943545,47,5,4adcda54f964a520994221e3,Memorias de China,41.4003022165444,2.14967668217928,Chinese Restaurant
1867,1867,41.392122834094295,2.156393460282064,50,20,4adcda54f964a5209b4221e3,Out of China,41.390564000000005,2.1565936000000003,Chinese Restaurant
7426,575,41.37081428571429,2.140066666666667,42,37,4adcda54f964a5209f4221e3,Restaurant Jiu,41.369130307848685,2.1413918840814885,Chinese Restaurant
9262,2411,41.43748095238095,2.1534,4,0,4adcda54f964a520a44221e3,Can Cortada,41.43616645688172,2.152438999304558,Spanish Restaurant
4873,423,41.3792076305719,2.188910519219013,22,18,4adcda54f964a520a84221e3,Can Solé,41.378899419193175,2.1883746251428198,Spanish Restaurant
2468,2468,41.38760097542953,2.196393460282064,45,5,4adcda54f964a520a94221e3,Bestial,41.385859721453684,2.1978139407281567,Mediterranean Restaurant
3130,3130,41.401646643618115,2.1697272322389787,45,37,4adcda54f964a520ab4221e3,L'Encis,41.40285258115795,2.1709842062249827,Spanish Restaurant
2499,2499,41.38760097542953,2.196393460282064,45,36,4adcda54f964a520b04221e3,Arola,41.38636909668429,2.1960875509243407,Tapas Restaurant
