,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
436,273,44.4268,26.1025,50,17,4b59efdbf964a52041a228e3,Las Tapas,44.43056166172028,26.10239446163177,Tapas Restaurant
982,819,44.4668,26.0625,10,3,4b5b2eb0f964a52040e928e3,Barka Saffron,44.46572573157238,26.068011493039798,Indian Restaurant
277,114,44.4168,26.08916666666667,8,2,4b62c590f964a52009522ae3,Il Cantuccio,44.41664580595753,26.09297993894821,Italian Restaurant
782,619,44.4468,26.1025,40,14,4b632a7ff964a520b6672ae3,Mon Cher,44.448109966657675,26.09961837530136,Bistro
118,118,44.4390609293324,26.09935475473435,18,14,4b6c3635f964a520af292ce3,Excalibur,44.43806604797235,26.09802926838421,Romanian Restaurant
486,323,44.4268,26.129166666666666,33,13,4b6c4105f964a520e12b2ce3,Ruby Tuesday,44.42732063107333,26.131105656811535,American Restaurant
768,605,44.4468,26.1025,40,0,4b6c66f0f964a52014372ce3,Embassy,44.44542239244092,26.09920485143916,Mediterranean Restaurant
664,501,44.43680000000001,26.129166666666666,19,3,4b7813caf964a520c6b42ee3,Cuptorul cu Lemne,44.439836959970386,26.12521389335225,Pizza Place
855,692,44.4468,26.129166666666666,14,11,4b7991e8f964a52028022fe3,Bistro Caffe Tabiet,44.44505424732465,26.13128522178425,Bistro
284,121,44.4168,26.1025,12,1,4b855f5ef964a520b45931e3,Sushi Garden,44.42007727828142,26.10201985616044,Sushi Restaurant
662,499,44.43680000000001,26.129166666666666,19,1,4b857dacf964a520516131e3,Casa Jienilor,44.439102207691256,26.129867487926326,Romanian Restaurant
490,327,44.4268,26.129166666666666,33,17,4b85832ef964a520a26231e3,La Mama,44.42642197082674,26.13032762520004,Romanian Restaurant
815,652,44.4468,26.11583333333333,36,7,4b8bd7aff964a5202aae32e3,Trattoria Il Saraceno,44.44653185779249,26.115047055464483,Italian Restaurant
1079,916,44.4768,26.08916666666667,23,3,4b901362f964a520137433e3,Casa di David,44.475741215906346,26.08906470374209,Mediterranean Restaurant
645,482,44.43680000000001,26.11583333333333,27,11,4b9a9c67f964a5202fc635e3,Restaurant Etiquette,44.43600150348527,26.121411323547363,Eastern European Restaurant
926,763,44.4568,26.1025,28,6,4b9b83b2f964a5203c0c36e3,Genin,44.45986218177701,26.100490912662874,Middle Eastern Restaurant
763,600,44.4468,26.08916666666667,25,20,4b9d15c6f964a5203b8e36e3,Nan Jing,44.44952977948199,26.0914630627386,Chinese Restaurant
698,535,44.43680000000001,26.15583333333333,12,11,4ba27736f964a5206ffb37e3,Casa Diham,44.434451274391634,26.16034124958941,Romanian Restaurant
556,393,44.43680000000001,26.075833333333332,8,1,4ba38577f964a520064438e3,Derby,44.43409126844138,26.072458423822408,Australian Restaurant
429,266,44.4268,26.1025,50,10,4ba85ceef964a5201ad839e3,City Grill,44.430402799999996,26.1026109,Romanian Restaurant
1033,870,44.4668,26.11583333333333,4,1,4baa6761f964a520ea663ae3,LaMisto,44.47060549255889,26.115745091465282,Italian Restaurant
225,62,44.4068,26.11583333333333,10,0,4badf4c5f964a5207d753be3,Cafeneaua Actorilor de Vară,44.40832668972168,26.110506977072177,Italian Restaurant
832,669,44.4468,26.11583333333333,36,24,4bb08780f964a520ff493ce3,El Vino,44.44600557606629,26.11514568328857,Tapas Restaurant
315,152,44.4168,26.129166666666666,20,5,4bb0aeb2f964a520a1543ce3,Chopstix,44.42026216074825,26.126591372019657,Chinese Restaurant
1193,1030,44.4968,26.075833333333332,5,4,4bb1bd95f964a52019a13ce3,The Bistro,44.495893103416215,26.081671714782715,Eastern European Restaurant
50,50,44.4290609293324,26.099355292855925,37,31,4bb22f50eb3e9521daabc90a,St. George,44.43013199684629,26.099901817904865,Hungarian Restaurant
658,495,44.43680000000001,26.11583333333333,27,24,4bb4c2e2613fb713a82294e6,Orașul Interzis,44.440408934295576,26.112335163843397,Chinese Restaurant
1004,841,44.4668,26.08916666666667,19,0,4bb5b9b61344b713be8f9c04,City Grill,44.46705920498628,26.08772187740169,Romanian Restaurant
414,251,44.4268,26.08916666666667,6,1,4bb66269941ad13a7c571fe3,Elmir,44.428235878308364,26.09108787620545,Mediterranean Restaurant
248,85,44.4168,26.0225,1,0,4bbb75778a0d95216360d930,Azzurro,44.416835509462395,26.02692221145124,Italian Restaurant
1012,849,44.4668,26.08916666666667,19,8,4bbef3b5006dc9b646d9fb3f,Quattro Stagioni Ristorante,44.46678778771057,26.084533040400476,Italian Restaurant
640,477,44.43680000000001,26.11583333333333,27,6,4bbf6c6582a2ef3bbbc32cd2,Restaurant Lascar,44.437506034777314,26.11662495502749,Romanian Restaurant
1014,851,44.4668,26.08916666666667,19,10,4bc2f014abf49521a310c393,City Café,44.46536936072301,26.08695327885665,Café
886,723,44.4568,26.075833333333332,17,1,4bc60b56b387d13a4a32c1e8,Ristorante Il Calcio,44.459857563785064,26.077762680255326,Italian Restaurant
729,566,44.4468,26.0625,12,11,4bc99b68937ca5935605a692,La Mama,44.44517023945778,26.06252346887746,Romanian Restaurant
731,568,44.4468,26.075833333333332,13,1,4bc9d472b6c49c74d6068f91,La Haleală,44.448368034176035,26.076771338307395,Middle Eastern Restaurant
406,243,44.4268,26.075833333333332,13,6,4bca2a850687ef3b2973dbcc,La cucina,44.42612660478723,26.07618106470354,Italian Restaurant
1024,861,44.4668,26.1025,9,1,4bcae73b68f976b0f5216083,Trattoria Il Calcio,44.46267163858783,26.101476778402702,Italian Restaurant
409,246,44.4268,26.075833333333332,13,9,4bcb313cb6c49c74d1a19191,Yoko,44.42559242031237,26.07772625664416,Japanese Restaurant
1242,1079,44.5068,26.08916666666667,31,30,4bcc41ba68f976b070406283,Argentine,44.50620638438024,26.088648764099172,Argentinian Restaurant
505,342,44.4268,26.129166666666666,33,32,4bcece38b6c49c74a9a99791,Restaurant Asia,44.4284781705818,26.133320331573486,Asian Restaurant
887,724,44.4568,26.075833333333332,17,2,4bd01e8db221c9b60a1dd3d0,Piccolo Mondo,44.45995613430952,26.077662064470054,Middle Eastern Restaurant
573,410,44.43680000000001,26.08916666666667,21,10,4bd04002046076b0ce906f71,La Bibliotecă,44.438822028893526,26.089778286245885,Café
1065,902,44.4768,26.075833333333332,11,0,4bd07a13046076b0f9027071,Hard Rock Cafe București,44.47674827968229,26.075947209839047,American Restaurant
317,154,44.4168,26.129166666666666,20,7,4bd42ee7462cb71310d1df07,Palmie Bistro,44.420229,26.12656,Greek Restaurant
408,245,44.4268,26.075833333333332,13,8,4bd488217b1876b084368986,Champions,44.42558931490226,26.07723043431738,Pub
680,517,44.43680000000001,26.1425,7,0,4bd4a20e6798ef3b410f628d,Da'Mask Caffe (Caffe DaMask),44.439173,26.140809,Café
368,205,44.4268,26.03583333333333,21,7,4bdc0b05c79cc928961285e9,Ruby Tuesday,44.428558331103694,26.034748876408468,American Restaurant
530,367,44.43680000000001,25.99583333333333,2,1,4bdf03a4e75c0f473c9bc903,Restaurant Vulturul,44.434439257643575,25.994705868990856,Eastern European Restaurant
899,736,44.4568,26.075833333333332,17,14,4bdf111b7ea362b5674d43c4,Restaurant,44.46060073377163,26.077496982623728,Mediterranean Restaurant
591,428,44.43680000000001,26.1025,50,7,4be04bad4f15c928c8a2ca0b,Argentin,44.432461919448,26.10177865782156,Romanian Restaurant
1190,1027,44.4968,26.075833333333332,5,1,4be29cbbb02ec9b66f3c4dc0,Pizzeria Capricciosa,44.49573833117278,26.07708583960461,Pizza Place
661,498,44.43680000000001,26.129166666666666,19,0,4be2a0eff07b0f4743c7f543,"Trattoria ""Il Calcio""",44.433168145731315,26.128144105237002,Italian Restaurant
1017,854,44.4668,26.08916666666667,19,13,4be2a37c660ec92859d4c93b,La Mangerie,44.46808354005379,26.089396476745605,French Restaurant
515,352,44.4268,26.15583333333333,7,3,4be5ab44cf200f472086133c,Restaurant Jade,44.428815285652675,26.15310430526733,Eastern European Restaurant
713,550,44.4468,26.049166666666665,5,0,4be69537bcef2d7f2f4805e5,Trattoria 20,44.4453723344795,26.054474840100628,Italian Restaurant
656,493,44.43680000000001,26.11583333333333,27,22,4be86595d837c9b6f145a506,Louisenhof,44.436723554889795,26.119318467177013,German Restaurant
