"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Austria","Total","Total","Number","8,858,775"
"2019","Total","Austria","Total","Males","Number","4,357,033"
"2019","Total","Austria","Total","Females","Number","4,501,742"
"2019","Belgium","Austria","Total","Total","Number","2,575"
"2019","Belgium","Austria","Total","Males","Number","1,346"
"2019","Belgium","Austria","Total","Females","Number","1,229"
"2019","Bulgaria","Austria","Total","Total","Number","29,920"
"2019","Bulgaria","Austria","Total","Males","Number","14,452"
"2019","Bulgaria","Austria","Total","Females","Number","15,468"
"2019","Czechia","Austria","Total","Total","Number","13,590"
"2019","Czechia","Austria","Total","Males","Number","5,029"
"2019","Czechia","Austria","Total","Females","Number","8,561"
"2019","Denmark","Austria","Total","Total","Number","1,209"
"2019","Denmark","Austria","Total","Males","Number","579"
"2019","Denmark","Austria","Total","Females","Number","630"
"2019","Germany (until 1990 former territory of the FRG)","Austria","Total","Total","Number","192,426"
"2019","Germany (until 1990 former territory of the FRG)","Austria","Total","Males","Number","96,473"
"2019","Germany (until 1990 former territory of the FRG)","Austria","Total","Females","Number","95,953"
"2019","Estonia","Austria","Total","Total","Number","566"
"2019","Estonia","Austria","Total","Males","Number","181"
"2019","Estonia","Austria","Total","Females","Number","385"
"2019","Ireland","Austria","Total","Total","Number","1,622"
"2019","Ireland","Austria","Total","Males","Number","966"
"2019","Ireland","Austria","Total","Females","Number","656"
"2019","Greece","Austria","Total","Total","Number","6,864"
"2019","Greece","Austria","Total","Males","Number","3,995"
"2019","Greece","Austria","Total","Females","Number","2,869"
"2019","Spain","Austria","Total","Total","Number","7,478"
"2019","Spain","Austria","Total","Males","Number","3,740"
"2019","Spain","Austria","Total","Females","Number","3,738"
"2019","France","Austria","Total","Total","Number","8,559"
"2019","France","Austria","Total","Males","Number","4,173"
"2019","France","Austria","Total","Females","Number","4,386"
"2019","Croatia","Austria","Total","Total","Number","79,999"
"2019","Croatia","Austria","Total","Males","Number","42,337"
"2019","Croatia","Austria","Total","Females","Number","37,662"
"2019","Italy","Austria","Total","Total","Number","30,909"
"2019","Italy","Austria","Total","Males","Number","17,826"
"2019","Italy","Austria","Total","Females","Number","13,083"
"2019","Cyprus","Austria","Total","Total","Number","237"
