"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Bulgaria","Total","Total","Number","7,000,039"
"2019","Total","Bulgaria","Total","Males","Number","3,395,701"
"2019","Total","Bulgaria","Total","Females","Number","3,604,338"
"2019","Belgium","Bulgaria","Total","Total","Number","209"
"2019","Belgium","Bulgaria","Total","Males","Number","164"
"2019","Belgium","Bulgaria","Total","Females","Number","45"
"2019","Bulgaria","Bulgaria","Total","Total","Number","6,896,086"
"2019","Bulgaria","Bulgaria","Total","Males","Number","3,344,028"
"2019","Bulgaria","Bulgaria","Total","Females","Number","3,552,058"
"2019","Czechia","Bulgaria","Total","Total","Number","416"
"2019","Czechia","Bulgaria","Total","Males","Number","149"
"2019","Czechia","Bulgaria","Total","Females","Number","267"
"2019","Denmark","Bulgaria","Total","Total","Number","116"
"2019","Denmark","Bulgaria","Total","Males","Number","83"
"2019","Denmark","Bulgaria","Total","Females","Number","33"
"2019","Germany (until 1990 former territory of the FRG)","Bulgaria","Total","Total","Number","1,406"
"2019","Germany (until 1990 former territory of the FRG)","Bulgaria","Total","Males","Number","865"
"2019","Germany (until 1990 former territory of the FRG)","Bulgaria","Total","Females","Number","541"
"2019","Estonia","Bulgaria","Total","Total","Number","57"
"2019","Estonia","Bulgaria","Total","Males","Number","17"
"2019","Estonia","Bulgaria","Total","Females","Number","40"
"2019","Ireland","Bulgaria","Total","Total","Number","122"
"2019","Ireland","Bulgaria","Total","Males","Number","74"
"2019","Ireland","Bulgaria","Total","Females","Number","48"
"2019","Greece","Bulgaria","Total","Total","Number","2,133"
"2019","Greece","Bulgaria","Total","Males","Number","1,643"
"2019","Greece","Bulgaria","Total","Females","Number","490"
"2019","Spain","Bulgaria","Total","Total","Number","254"
"2019","Spain","Bulgaria","Total","Males","Number","157"
"2019","Spain","Bulgaria","Total","Females","Number","97"
"2019","France","Bulgaria","Total","Total","Number","513"
"2019","France","Bulgaria","Total","Males","Number","377"
"2019","France","Bulgaria","Total","Females","Number","136"
"2019","Croatia","Bulgaria","Total","Total","Number","65"
"2019","Croatia","Bulgaria","Total","Males","Number","39"
"2019","Croatia","Bulgaria","Total","Females","Number","26"
"2019","Italy","Bulgaria","Total","Total","Number","940"
"2019","Italy","Bulgaria","Total","Males","Number","783"
"2019","Italy","Bulgaria","Total","Females","Number","157"
"2019","Cyprus","Bulgaria","Total","Total","Number","147"
"2019","Cyprus","Bulgaria","Total","Males","Number","104"
"2019","Cyprus","Bulgaria","Total","Females","Number","43"
"2019","Latvia","Bulgaria","Total","Total","Number","119"
"2019","Latvia","Bulgaria","Total","Males","Number","35"
"2019","Latvia","Bulgaria","Total","Females","Number","84"
"2019","Lithuania","Bulgaria","Total","Total","Number","96"
"2019","Lithuania","Bulgaria","Total","Males","Number","35"
"2019","Lithuania","Bulgaria","Total","Females","Number","61"
"2019","Luxembourg","Bulgaria","Total","Total","Number","9"
"2019","Luxembourg","Bulgaria","Total","Males","Number","6"
"2019","Luxembourg","Bulgaria","Total","Females","Number","3"
"2019","Hungary","Bulgaria","Total","Total","Number","139"
"2019","Hungary","Bulgaria","Total","Males","Number","61"
"2019","Hungary","Bulgaria","Total","Females","Number","78"
"2019","Malta","Bulgaria","Total","Total","Number","19"
"2019","Malta","Bulgaria","Total","Males","Number","14"
"2019","Malta","Bulgaria","Total","Females","Number","5"
"2019","Netherlands","Bulgaria","Total","Total","Number","350"
"2019","Netherlands","Bulgaria","Total","Males","Number","258"
"2019","Netherlands","Bulgaria","Total","Females","Number","92"
"2019","Austria","Bulgaria","Total","Total","Number","307"
"2019","Austria","Bulgaria","Total","Males","Number","211"
"2019","Austria","Bulgaria","Total","Females","Number","96"
"2019","Poland","Bulgaria","Total","Total","Number","1,016"
"2019","Poland","Bulgaria","Total","Males","Number","307"
"2019","Poland","Bulgaria","Total","Females","Number","709"
"2019","Portugal","Bulgaria","Total","Total","Number","62"
"2019","Portugal","Bulgaria","Total","Males","Number","46"
"2019","Portugal","Bulgaria","Total","Females","Number","16"
"2019","Romania","Bulgaria","Total","Total","Number","655"
"2019","Romania","Bulgaria","Total","Males","Number","341"
"2019","Romania","Bulgaria","Total","Females","Number","314"
"2019","Slovenia","Bulgaria","Total","Total","Number","44"
"2019","Slovenia","Bulgaria","Total","Males","Number","31"
"2019","Slovenia","Bulgaria","Total","Females","Number","13"
