"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Croatia","Total","Total","Number","4,076,246"
"2019","Total","Croatia","Total","Males","Number","1,972,572"
"2019","Total","Croatia","Total","Females","Number","2,103,674"
"2019","Belgium","Croatia","Total","Total","Number","198"
"2019","Belgium","Croatia","Total","Males","Number",":"
"2019","Belgium","Croatia","Total","Females","Number",":"
"2019","Bulgaria","Croatia","Total","Total","Number","292"
"2019","Bulgaria","Croatia","Total","Males","Number",":"
"2019","Bulgaria","Croatia","Total","Females","Number",":"
"2019","Czechia","Croatia","Total","Total","Number","517"
"2019","Czechia","Croatia","Total","Males","Number",":"
"2019","Czechia","Croatia","Total","Females","Number",":"
"2019","Denmark","Croatia","Total","Total","Number","71"
"2019","Denmark","Croatia","Total","Males","Number",":"
"2019","Denmark","Croatia","Total","Females","Number",":"
"2019","Germany (until 1990 former territory of the FRG)","Croatia","Total","Total","Number","3,815"
"2019","Germany (until 1990 former territory of the FRG)","Croatia","Total","Males","Number",":"
"2019","Germany (until 1990 former territory of the FRG)","Croatia","Total","Females","Number",":"
"2019","Estonia","Croatia","Total","Total","Number","41"
"2019","Estonia","Croatia","Total","Males","Number",":"
"2019","Estonia","Croatia","Total","Females","Number",":"
"2019","Ireland","Croatia","Total","Total","Number","85"
"2019","Ireland","Croatia","Total","Males","Number",":"
"2019","Ireland","Croatia","Total","Females","Number",":"
"2019","Greece","Croatia","Total","Total","Number","97"
"2019","Greece","Croatia","Total","Males","Number",":"
"2019","Greece","Croatia","Total","Females","Number",":"
"2019","Spain","Croatia","Total","Total","Number","180"
"2019","Spain","Croatia","Total","Males","Number",":"
"2019","Spain","Croatia","Total","Females","Number",":"
"2019","France","Croatia","Total","Total","Number","492"
"2019","France","Croatia","Total","Males","Number",":"
"2019","France","Croatia","Total","Females","Number",":"
"2019","Croatia","Croatia","Total","Total","Number","4,007,483"
"2019","Croatia","Croatia","Total","Males","Number",":"
"2019","Croatia","Croatia","Total","Females","Number",":"
"2019","Italy","Croatia","Total","Total","Number","2,572"
"2019","Italy","Croatia","Total","Males","Number",":"
"2019","Italy","Croatia","Total","Females","Number",":"
"2019","Cyprus","Croatia","Total","Total","Number","5"
"2019","Cyprus","Croatia","Total","Males","Number",":"
"2019","Cyprus","Croatia","Total","Females","Number",":"
"2019","Latvia","Croatia","Total","Total","Number","40"
"2019","Latvia","Croatia","Total","Males","Number",":"
"2019","Latvia","Croatia","Total","Females","Number",":"
"2019","Lithuania","Croatia","Total","Total","Number","55"
"2019","Lithuania","Croatia","Total","Males","Number",":"
"2019","Lithuania","Croatia","Total","Females","Number",":"
"2019","Luxembourg","Croatia","Total","Total","Number","7"
"2019","Luxembourg","Croatia","Total","Males","Number",":"
"2019","Luxembourg","Croatia","Total","Females","Number",":"
"2019","Hungary","Croatia","Total","Total","Number","728"
"2019","Hungary","Croatia","Total","Males","Number",":"
"2019","Hungary","Croatia","Total","Females","Number",":"
"2019","Malta","Croatia","Total","Total","Number","6"
"2019","Malta","Croatia","Total","Males","Number",":"
"2019","Malta","Croatia","Total","Females","Number",":"
"2019","Netherlands","Croatia","Total","Total","Number","446"
"2019","Netherlands","Croatia","Total","Males","Number",":"
"2019","Netherlands","Croatia","Total","Females","Number",":"
"2019","Austria","Croatia","Total","Total","Number","953"
"2019","Austria","Croatia","Total","Males","Number",":"
"2019","Austria","Croatia","Total","Females","Number",":"
"2019","Poland","Croatia","Total","Total","Number","575"
"2019","Poland","Croatia","Total","Males","Number",":"
"2019","Poland","Croatia","Total","Females","Number",":"
"2019","Portugal","Croatia","Total","Total","Number","75"
"2019","Portugal","Croatia","Total","Males","Number",":"
"2019","Portugal","Croatia","Total","Females","Number",":"
"2019","Romania","Croatia","Total","Total","Number","397"
"2019","Romania","Croatia","Total","Males","Number",":"
"2019","Romania","Croatia","Total","Females","Number",":"
"2019","Slovenia","Croatia","Total","Total","Number","4,644"
"2019","Slovenia","Croatia","Total","Males","Number",":"
"2019","Slovenia","Croatia","Total","Females","Number",":"
"2019","Slovakia","Croatia","Total","Total","Number","462"
"2019","Slovakia","Croatia","Total","Males","Number",":"
"2019","Slovakia","Croatia","Total","Females","Number",":"
"2019","Finland","Croatia","Total","Total","Number","72"
"2019","Finland","Croatia","Total","Males","Number",":"
"2019","Finland","Croatia","Total","Females","Number",":"
"2019","Sweden","Croatia","Total","Total","Number","359"
"2019","Sweden","Croatia","Total","Males","Number",":"
"2019","Sweden","Croatia","Total","Females","Number",":"
"2019","Iceland","Croatia","Total","Total","Number",":"
"2019","Iceland","Croatia","Total","Males","Number",":"
"2019","Iceland","Croatia","Total","Females","Number",":"
"2019","Liechtenstein","Croatia","Total","Total","Number",":"
"2019","Liechtenstein","Croatia","Total","Males","Number",":"
"2019","Liechtenstein","Croatia","Total","Females","Number",":"
"2019","Norway","Croatia","Total","Total","Number",":"
"2019","Norway","Croatia","Total","Males","Number",":"
"2019","Norway","Croatia","Total","Females","Number",":"
"2019","Switzerland","Croatia","Total","Total","Number",":"
"2019","Switzerland","Croatia","Total","Males","Number",":"
"2019","Switzerland","Croatia","Total","Females","Number",":"
"2019","North Macedonia","Croatia","Total","Total","Number",":"
"2019","North Macedonia","Croatia","Total","Males","Number",":"
"2019","North Macedonia","Croatia","Total","Females","Number",":"
"2019","Turkey","Croatia","Total","Total","Number",":"
"2019","Turkey","Croatia","Total","Males","Number",":"
"2019","Turkey","Croatia","Total","Females","Number",":"
"2019","Andorra","Croatia","Total","Total","Number",":"
"2019","Andorra","Croatia","Total","Males","Number",":"
"2019","Andorra","Croatia","Total","Females","Number",":"
"2019","Albania","Croatia","Total","Total","Number",":"
"2019","Albania","Croatia","Total","Males","Number",":"
"2019","Albania","Croatia","Total","Females","Number",":"
"2019","Bosnia and Herzegovina","Croatia","Total","Total","Number",":"
"2019","Bosnia and Herzegovina","Croatia","Total","Males","Number",":"
"2019","Bosnia and Herzegovina","Croatia","Total","Females","Number",":"
"2019","Belarus","Croatia","Total","Total","Number",":"
"2019","Belarus","Croatia","Total","Males","Number",":"
"2019","Belarus","Croatia","Total","Females","Number",":"
"2019","Faroes (DK)","Croatia","Total","Total","Number",":"
"2019","Faroes (DK)","Croatia","Total","Males","Number",":"
"2019","Faroes (DK)","Croatia","Total","Females","Number",":"
"2019","Guernsey","Croatia","Total","Total","Number",":"
"2019","Guernsey","Croatia","Total","Males","Number",":"
"2019","Guernsey","Croatia","Total","Females","Number",":"
"2019","Gibraltar (UK)","Croatia","Total","Total","Number",":"
"2019","Gibraltar (UK)","Croatia","Total","Males","Number",":"
"2019","Gibraltar (UK)","Croatia","Total","Females","Number",":"
"2019","Isle of Man","Croatia","Total","Total","Number",":"
"2019","Isle of Man","Croatia","Total","Males","Number",":"
"2019","Isle of Man","Croatia","Total","Females","Number",":"
"2019","Jersey","Croatia","Total","Total","Number",":"
"2019","Jersey","Croatia","Total","Males","Number",":"
"2019","Jersey","Croatia","Total","Females","Number",":"
"2019","Monaco","Croatia","Total","Total","Number",":"
"2019","Monaco","Croatia","Total","Males","Number",":"
"2019","Monaco","Croatia","Total","Females","Number",":"
"2019","Moldova","Croatia","Total","Total","Number",":"
"2019","Moldova","Croatia","Total","Males","Number",":"
"2019","Moldova","Croatia","Total","Females","Number",":"
"2019","Montenegro","Croatia","Total","Total","Number",":"
"2019","Montenegro","Croatia","Total","Males","Number",":"
"2019","Montenegro","Croatia","Total","Females","Number",":"
"2019","Serbia","Croatia","Total","Total","Number",":"
"2019","Serbia","Croatia","Total","Males","Number",":"
"2019","Serbia","Croatia","Total","Females","Number",":"
"2019","Russia","Croatia","Total","Total","Number",":"
"2019","Russia","Croatia","Total","Males","Number",":"
"2019","Russia","Croatia","Total","Females","Number",":"
"2019","San Marino","Croatia","Total","Total","Number",":"
"2019","San Marino","Croatia","Total","Males","Number",":"
"2019","San Marino","Croatia","Total","Females","Number",":"
"2019","Ukraine","Croatia","Total","Total","Number",":"
"2019","Ukraine","Croatia","Total","Males","Number",":"
"2019","Ukraine","Croatia","Total","Females","Number",":"
"2019","Vatican City State","Croatia","Total","Total","Number",":"
"2019","Vatican City State","Croatia","Total","Males","Number",":"
"2019","Vatican City State","Croatia","Total","Females","Number",":"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Croatia","Total","Total","Number",":"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Croatia","Total","Males","Number",":"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Croatia","Total","Females","Number",":"
"2019","United Kingdom","Croatia","Total","Total","Number","811"
"2019","United Kingdom","Croatia","Total","Males","Number",":"
"2019","United Kingdom","Croatia","Total","Females","Number",":"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Croatia","Total","Total","Number",":"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Croatia","Total","Males","Number",":"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Croatia","Total","Females","Number",":"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Croatia","Total","Total","Number",":"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Croatia","Total","Males","Number",":"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Croatia","Total","Females","Number",":"
"2019","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Croatia","Total","Total","Number",":"
"2019","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Croatia","Total","Males","Number",":"
"2019","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Croatia","Total","Females","Number",":"
"2019","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Croatia","Total","Total","Number",":"
"2019","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Croatia","Total","Males","Number",":"
"2019","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Croatia","Total","Females","Number",":"
"2019","Burundi","Croatia","Total","Total","Number",":"
"2019","Burundi","Croatia","Total","Males","Number",":"
"2019","Burundi","Croatia","Total","Females","Number",":"
"2019","Djibouti","Croatia","Total","Total","Number",":"
"2019","Djibouti","Croatia","Total","Males","Number",":"
"2019","Djibouti","Croatia","Total","Females","Number",":"
"2019","Eritrea","Croatia","Total","Total","Number",":"
"2019","Eritrea","Croatia","Total","Males","Number",":"
"2019","Eritrea","Croatia","Total","Females","Number",":"
"2019","Ethiopia","Croatia","Total","Total","Number",":"
"2019","Ethiopia","Croatia","Total","Males","Number",":"
"2019","Ethiopia","Croatia","Total","Females","Number",":"
"2019","Kenya","Croatia","Total","Total","Number",":"
"2019","Kenya","Croatia","Total","Males","Number",":"
"2019","Kenya","Croatia","Total","Females","Number",":"
"2019","Comoros","Croatia","Total","Total","Number",":"
"2019","Comoros","Croatia","Total","Males","Number",":"
"2019","Comoros","Croatia","Total","Females","Number",":"
"2019","Madagascar","Croatia","Total","Total","Number",":"
"2019","Madagascar","Croatia","Total","Males","Number",":"
"2019","Madagascar","Croatia","Total","Females","Number",":"
"2019","Mauritius","Croatia","Total","Total","Number",":"
"2019","Mauritius","Croatia","Total","Males","Number",":"
"2019","Mauritius","Croatia","Total","Females","Number",":"
"2019","Malawi","Croatia","Total","Total","Number",":"
"2019","Malawi","Croatia","Total","Males","Number",":"
"2019","Malawi","Croatia","Total","Females","Number",":"
"2019","Mozambique","Croatia","Total","Total","Number",":"
"2019","Mozambique","Croatia","Total","Males","Number",":"
"2019","Mozambique","Croatia","Total","Females","Number",":"
"2019","Rwanda","Croatia","Total","Total","Number",":"
"2019","Rwanda","Croatia","Total","Males","Number",":"
"2019","Rwanda","Croatia","Total","Females","Number",":"
"2019","Seychelles","Croatia","Total","Total","Number",":"
"2019","Seychelles","Croatia","Total","Males","Number",":"
"2019","Seychelles","Croatia","Total","Females","Number",":"
"2019","Somalia","Croatia","Total","Total","Number",":"
"2019","Somalia","Croatia","Total","Males","Number",":"
"2019","Somalia","Croatia","Total","Females","Number",":"
"2019","Tanzania","Croatia","Total","Total","Number",":"
"2019","Tanzania","Croatia","Total","Males","Number",":"
"2019","Tanzania","Croatia","Total","Females","Number",":"
"2019","Uganda","Croatia","Total","Total","Number",":"
"2019","Uganda","Croatia","Total","Males","Number",":"
"2019","Uganda","Croatia","Total","Females","Number",":"
"2019","Mayotte (FR - part of EU as of 01.01.2014)","Croatia","Total","Total","Number",":"
"2019","Mayotte (FR - part of EU as of 01.01.2014)","Croatia","Total","Males","Number",":"
"2019","Mayotte (FR - part of EU as of 01.01.2014)","Croatia","Total","Females","Number",":"
"2019","Zambia","Croatia","Total","Total","Number",":"
"2019","Zambia","Croatia","Total","Males","Number",":"
"2019","Zambia","Croatia","Total","Females","Number",":"
"2019","Zimbabwe","Croatia","Total","Total","Number",":"
"2019","Zimbabwe","Croatia","Total","Males","Number",":"
"2019","Zimbabwe","Croatia","Total","Females","Number",":"
"2019","Algeria","Croatia","Total","Total","Number",":"
"2019","Algeria","Croatia","Total","Males","Number",":"
"2019","Algeria","Croatia","Total","Females","Number",":"
"2019","Egypt","Croatia","Total","Total","Number",":"
"2019","Egypt","Croatia","Total","Males","Number",":"
"2019","Egypt","Croatia","Total","Females","Number",":"
"2019","Western Sahara","Croatia","Total","Total","Number",":"
"2019","Western Sahara","Croatia","Total","Males","Number",":"
"2019","Western Sahara","Croatia","Total","Females","Number",":"
"2019","Libya","Croatia","Total","Total","Number",":"
"2019","Libya","Croatia","Total","Males","Number",":"
"2019","Libya","Croatia","Total","Females","Number",":"
