"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Czechia","Total","Total","Number","10,649,800"
"2019","Total","Czechia","Total","Males","Number","5,244,194"
"2019","Total","Czechia","Total","Females","Number","5,405,606"
"2019","Belgium","Czechia","Total","Total","Number","809"
"2019","Belgium","Czechia","Total","Males","Number","609"
"2019","Belgium","Czechia","Total","Females","Number","200"
"2019","Bulgaria","Czechia","Total","Total","Number","15,632"
"2019","Bulgaria","Czechia","Total","Males","Number","9,804"
"2019","Bulgaria","Czechia","Total","Females","Number","5,828"
"2019","Czechia","Czechia","Total","Total","Number","10,092,342"
"2019","Czechia","Czechia","Total","Males","Number","4,926,424"
"2019","Czechia","Czechia","Total","Females","Number","5,165,918"
"2019","Denmark","Czechia","Total","Total","Number","441"
"2019","Denmark","Czechia","Total","Males","Number","316"
"2019","Denmark","Czechia","Total","Females","Number","125"
"2019","Germany (until 1990 former territory of the FRG)","Czechia","Total","Total","Number","21,278"
"2019","Germany (until 1990 former territory of the FRG)","Czechia","Total","Males","Number","17,157"
"2019","Germany (until 1990 former territory of the FRG)","Czechia","Total","Females","Number","4,121"
"2019","Estonia","Czechia","Total","Total","Number","224"
"2019","Estonia","Czechia","Total","Males","Number","111"
"2019","Estonia","Czechia","Total","Females","Number","113"
"2019","Ireland","Czechia","Total","Total","Number","865"
"2019","Ireland","Czechia","Total","Males","Number","655"
"2019","Ireland","Czechia","Total","Females","Number","210"
"2019","Greece","Czechia","Total","Total","Number","1,665"
"2019","Greece","Czechia","Total","Males","Number","1,201"
"2019","Greece","Czechia","Total","Females","Number","464"
"2019","Spain","Czechia","Total","Total","Number","1,676"
"2019","Spain","Czechia","Total","Males","Number","1,148"
"2019","Spain","Czechia","Total","Females","Number","528"
"2019","France","Czechia","Total","Total","Number","4,179"
"2019","France","Czechia","Total","Males","Number","2,952"
"2019","France","Czechia","Total","Females","Number","1,227"
"2019","Croatia","Czechia","Total","Total","Number","2,950"
"2019","Croatia","Czechia","Total","Males","Number","1,931"
"2019","Croatia","Czechia","Total","Females","Number","1,019"
"2019","Italy","Czechia","Total","Total","Number","5,290"
"2019","Italy","Czechia","Total","Males","Number","4,280"
"2019","Italy","Czechia","Total","Females","Number","1,010"
"2019","Cyprus","Czechia","Total","Total","Number","159"
"2019","Cyprus","Czechia","Total","Males","Number","104"
"2019","Cyprus","Czechia","Total","Females","Number","55"
"2019","Latvia","Czechia","Total","Total","Number","576"
"2019","Latvia","Czechia","Total","Males","Number","288"
"2019","Latvia","Czechia","Total","Females","Number","288"
"2019","Lithuania","Czechia","Total","Total","Number","795"
"2019","Lithuania","Czechia","Total","Males","Number","388"
"2019","Lithuania","Czechia","Total","Females","Number","407"
"2019","Luxembourg","Czechia","Total","Total","Number","28"
"2019","Luxembourg","Czechia","Total","Males","Number","20"
"2019","Luxembourg","Czechia","Total","Females","Number","8"
"2019","Hungary","Czechia","Total","Total","Number","6,674"
"2019","Hungary","Czechia","Total","Males","Number","4,263"
"2019","Hungary","Czechia","Total","Females","Number","2,411"
"2019","Malta","Czechia","Total","Total","Number","40"
"2019","Malta","Czechia","Total","Males","Number","28"
"2019","Malta","Czechia","Total","Females","Number","12"
"2019","Netherlands","Czechia","Total","Total","Number","3,260"
"2019","Netherlands","Czechia","Total","Males","Number","2,266"
"2019","Netherlands","Czechia","Total","Females","Number","994"
"2019","Austria","Czechia","Total","Total","Number","3,645"
"2019","Austria","Czechia","Total","Males","Number","2,888"
"2019","Austria","Czechia","Total","Females","Number","757"
"2019","Poland","Czechia","Total","Total","Number","21,304"
"2019","Poland","Czechia","Total","Males","Number","10,977"
"2019","Poland","Czechia","Total","Females","Number","10,327"
"2019","Portugal","Czechia","Total","Total","Number","653"
"2019","Portugal","Czechia","Total","Males","Number","458"
"2019","Portugal","Czechia","Total","Females","Number","195"
"2019","Romania","Czechia","Total","Total","Number","14,405"
"2019","Romania","Czechia","Total","Males","Number","9,643"
"2019","Romania","Czechia","Total","Females","Number","4,762"
"2019","Slovenia","Czechia","Total","Total","Number","481"
"2019","Slovenia","Czechia","Total","Males","Number","311"
"2019","Slovenia","Czechia","Total","Females","Number","170"
"2019","Slovakia","Czechia","Total","Total","Number","116,916"
"2019","Slovakia","Czechia","Total","Males","Number","62,994"
"2019","Slovakia","Czechia","Total","Females","Number","53,922"
"2019","Finland","Czechia","Total","Total","Number","422"
"2019","Finland","Czechia","Total","Males","Number","254"
"2019","Finland","Czechia","Total","Females","Number","168"
"2019","Sweden","Czechia","Total","Total","Number","1,033"
"2019","Sweden","Czechia","Total","Males","Number","688"
"2019","Sweden","Czechia","Total","Females","Number","345"
"2019","Iceland","Czechia","Total","Total","Number","47"
"2019","Iceland","Czechia","Total","Males","Number","33"
"2019","Iceland","Czechia","Total","Females","Number","14"
"2019","Liechtenstein","Czechia","Total","Total","Number","2"
"2019","Liechtenstein","Czechia","Total","Males","Number","2"
"2019","Liechtenstein","Czechia","Total","Females","Number","0"
"2019","Norway","Czechia","Total","Total","Number","291"
"2019","Norway","Czechia","Total","Males","Number","210"
"2019","Norway","Czechia","Total","Females","Number","81"
"2019","Switzerland","Czechia","Total","Total","Number","658"
"2019","Switzerland","Czechia","Total","Males","Number","435"
"2019","Switzerland","Czechia","Total","Females","Number","223"
"2019","North Macedonia","Czechia","Total","Total","Number","2,253"
"2019","North Macedonia","Czechia","Total","Males","Number","1,618"
"2019","North Macedonia","Czechia","Total","Females","Number","635"
"2019","Turkey","Czechia","Total","Total","Number","2,793"
"2019","Turkey","Czechia","Total","Males","Number","1,995"
"2019","Turkey","Czechia","Total","Females","Number","798"
"2019","Andorra","Czechia","Total","Total","Number","0"
"2019","Andorra","Czechia","Total","Males","Number","0"
"2019","Andorra","Czechia","Total","Females","Number","0"
"2019","Albania","Czechia","Total","Total","Number","443"
"2019","Albania","Czechia","Total","Males","Number","268"
"2019","Albania","Czechia","Total","Females","Number","175"
"2019","Bosnia and Herzegovina","Czechia","Total","Total","Number","2,357"
"2019","Bosnia and Herzegovina","Czechia","Total","Males","Number","1,649"
"2019","Bosnia and Herzegovina","Czechia","Total","Females","Number","708"
"2019","Belarus","Czechia","Total","Total","Number","6,070"
"2019","Belarus","Czechia","Total","Males","Number","2,918"
"2019","Belarus","Czechia","Total","Females","Number","3,152"
"2019","Faroes (DK)","Czechia","Total","Total","Number","0"
"2019","Faroes (DK)","Czechia","Total","Males","Number","0"
"2019","Faroes (DK)","Czechia","Total","Females","Number","0"
"2019","Guernsey","Czechia","Total","Total","Number","0"
"2019","Guernsey","Czechia","Total","Males","Number","0"
"2019","Guernsey","Czechia","Total","Females","Number","0"
"2019","Gibraltar (UK)","Czechia","Total","Total","Number","0"
"2019","Gibraltar (UK)","Czechia","Total","Males","Number","0"
"2019","Gibraltar (UK)","Czechia","Total","Females","Number","0"
"2019","Isle of Man","Czechia","Total","Total","Number","0"
"2019","Isle of Man","Czechia","Total","Males","Number","0"
"2019","Isle of Man","Czechia","Total","Females","Number","0"
"2019","Jersey","Czechia","Total","Total","Number","0"
"2019","Jersey","Czechia","Total","Males","Number","0"
"2019","Jersey","Czechia","Total","Females","Number","0"
"2019","Monaco","Czechia","Total","Total","Number","0"
"2019","Monaco","Czechia","Total","Males","Number","0"
"2019","Monaco","Czechia","Total","Females","Number","0"
"2019","Moldova","Czechia","Total","Total","Number","5,763"
"2019","Moldova","Czechia","Total","Males","Number","3,287"
"2019","Moldova","Czechia","Total","Females","Number","2,476"
"2019","Montenegro","Czechia","Total","Total","Number","196"
"2019","Montenegro","Czechia","Total","Males","Number","114"
"2019","Montenegro","Czechia","Total","Females","Number","82"
"2019","Serbia","Czechia","Total","Total","Number","4,282"
"2019","Serbia","Czechia","Total","Males","Number","2,963"
"2019","Serbia","Czechia","Total","Females","Number","1,319"
"2019","Russia","Czechia","Total","Total","Number","36,143"
"2019","Russia","Czechia","Total","Males","Number","15,526"
"2019","Russia","Czechia","Total","Females","Number","20,617"
"2019","San Marino","Czechia","Total","Total","Number","1"
"2019","San Marino","Czechia","Total","Males","Number","1"
"2019","San Marino","Czechia","Total","Females","Number","0"
"2019","Ukraine","Czechia","Total","Total","Number","129,284"
"2019","Ukraine","Czechia","Total","Males","Number","70,256"
"2019","Ukraine","Czechia","Total","Females","Number","59,028"
"2019","Vatican City State","Czechia","Total","Total","Number","0"
"2019","Vatican City State","Czechia","Total","Males","Number","0"
"2019","Vatican City State","Czechia","Total","Females","Number","0"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Czechia","Total","Total","Number","53"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Czechia","Total","Males","Number","38"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Czechia","Total","Females","Number","15"
"2019","United Kingdom","Czechia","Total","Total","Number","7,111"
"2019","United Kingdom","Czechia","Total","Males","Number","5,481"
"2019","United Kingdom","Czechia","Total","Females","Number","1,630"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Czechia","Total","Total","Number","122"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Czechia","Total","Males","Number","85"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Czechia","Total","Females","Number","37"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Czechia","Total","Total","Number","0"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Czechia","Total","Males","Number","0"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Czechia","Total","Females","Number","0"
"2019","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Czechia","Total","Total","Number","1"
"2019","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Czechia","Total","Males","Number","0"
"2019","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Czechia","Total","Females","Number","1"
"2019","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Czechia","Total","Total","Number","288"
"2019","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Czechia","Total","Males","Number","201"
"2019","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Czechia","Total","Females","Number","87"
"2019","Burundi","Czechia","Total","Total","Number","5"
"2019","Burundi","Czechia","Total","Males","Number","4"
"2019","Burundi","Czechia","Total","Females","Number","1"
"2019","Djibouti","Czechia","Total","Total","Number","2"
"2019","Djibouti","Czechia","Total","Males","Number","1"
"2019","Djibouti","Czechia","Total","Females","Number","1"
"2019","Eritrea","Czechia","Total","Total","Number","17"
"2019","Eritrea","Czechia","Total","Males","Number","8"
"2019","Eritrea","Czechia","Total","Females","Number","9"
"2019","Ethiopia","Czechia","Total","Total","Number","103"
"2019","Ethiopia","Czechia","Total","Males","Number","67"
"2019","Ethiopia","Czechia","Total","Females","Number","36"
"2019","Kenya","Czechia","Total","Total","Number","92"
"2019","Kenya","Czechia","Total","Males","Number","52"
"2019","Kenya","Czechia","Total","Females","Number","40"
"2019","Comoros","Czechia","Total","Total","Number","0"
"2019","Comoros","Czechia","Total","Males","Number","0"
"2019","Comoros","Czechia","Total","Females","Number","0"
"2019","Madagascar","Czechia","Total","Total","Number","21"
"2019","Madagascar","Czechia","Total","Males","Number","13"
