"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Denmark","Total","Total","Number","5,806,081"
"2019","Total","Denmark","Total","Males","Number","2,889,073"
"2019","Total","Denmark","Total","Females","Number","2,917,008"
"2019","Belgium","Denmark","Total","Total","Number","1,393"
"2019","Belgium","Denmark","Total","Males","Number","753"
"2019","Belgium","Denmark","Total","Females","Number","640"
"2019","Bulgaria","Denmark","Total","Total","Number","10,389"
"2019","Bulgaria","Denmark","Total","Males","Number","6,060"
"2019","Bulgaria","Denmark","Total","Females","Number","4,329"
"2019","Czechia","Denmark","Total","Total","Number","1,792"
"2019","Czechia","Denmark","Total","Males","Number","829"
"2019","Czechia","Denmark","Total","Females","Number","963"
"2019","Denmark","Denmark","Total","Total","Number","5,280,183"
"2019","Denmark","Denmark","Total","Males","Number","2,622,192"
"2019","Denmark","Denmark","Total","Females","Number","2,657,991"
"2019","Germany (until 1990 former territory of the FRG)","Denmark","Total","Total","Number","25,541"
"2019","Germany (until 1990 former territory of the FRG)","Denmark","Total","Males","Number","12,772"
"2019","Germany (until 1990 former territory of the FRG)","Denmark","Total","Females","Number","12,769"
"2019","Estonia","Denmark","Total","Total","Number","1,374"
"2019","Estonia","Denmark","Total","Males","Number","449"
"2019","Estonia","Denmark","Total","Females","Number","925"
"2019","Ireland","Denmark","Total","Total","Number","2,323"
"2019","Ireland","Denmark","Total","Males","Number","1,556"
"2019","Ireland","Denmark","Total","Females","Number","767"
"2019","Greece","Denmark","Total","Total","Number","3,286"
"2019","Greece","Denmark","Total","Males","Number","1,979"
"2019","Greece","Denmark","Total","Females","Number","1,307"
"2019","Spain","Denmark","Total","Total","Number","7,451"
"2019","Spain","Denmark","Total","Males","Number","3,984"
"2019","Spain","Denmark","Total","Females","Number","3,467"
"2019","France","Denmark","Total","Total","Number","7,134"
"2019","France","Denmark","Total","Males","Number","3,853"
"2019","France","Denmark","Total","Females","Number","3,281"
"2019","Croatia","Denmark","Total","Total","Number","2,321"
"2019","Croatia","Denmark","Total","Males","Number","1,268"
"2019","Croatia","Denmark","Total","Females","Number","1,053"
"2019","Italy","Denmark","Total","Total","Number","10,182"
"2019","Italy","Denmark","Total","Males","Number","6,313"
"2019","Italy","Denmark","Total","Females","Number","3,869"
"2019","Cyprus","Denmark","Total","Total","Number","145"
"2019","Cyprus","Denmark","Total","Males","Number","71"
"2019","Cyprus","Denmark","Total","Females","Number","74"
"2019","Latvia","Denmark","Total","Total","Number","5,511"
"2019","Latvia","Denmark","Total","Males","Number","2,644"
"2019","Latvia","Denmark","Total","Females","Number","2,867"
"2019","Lithuania","Denmark","Total","Total","Number","14,518"
"2019","Lithuania","Denmark","Total","Males","Number","7,649"
"2019","Lithuania","Denmark","Total","Females","Number","6,869"
"2019","Luxembourg","Denmark","Total","Total","Number","60"
"2019","Luxembourg","Denmark","Total","Males","Number","35"
"2019","Luxembourg","Denmark","Total","Females","Number","25"
"2019","Hungary","Denmark","Total","Total","Number","5,175"
"2019","Hungary","Denmark","Total","Males","Number","2,555"
"2019","Hungary","Denmark","Total","Females","Number","2,620"
"2019","Malta","Denmark","Total","Total","Number","81"
"2019","Malta","Denmark","Total","Males","Number","43"
"2019","Malta","Denmark","Total","Females","Number","38"
"2019","Netherlands","Denmark","Total","Total","Number","8,302"
"2019","Netherlands","Denmark","Total","Males","Number","4,739"
"2019","Netherlands","Denmark","Total","Females","Number","3,563"
"2019","Austria","Denmark","Total","Total","Number","1,480"
"2019","Austria","Denmark","Total","Males","Number","730"
"2019","Austria","Denmark","Total","Females","Number","750"
