"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Finland","Total","Total","Number","5,517,919"
"2019","Total","Finland","Total","Males","Number","2,723,290"
"2019","Total","Finland","Total","Females","Number","2,794,629"
"2019","Belgium","Finland","Total","Total","Number","441"
"2019","Belgium","Finland","Total","Males","Number","317"
"2019","Belgium","Finland","Total","Females","Number","124"
"2019","Bulgaria","Finland","Total","Total","Number","2,295"
"2019","Bulgaria","Finland","Total","Males","Number","1,335"
"2019","Bulgaria","Finland","Total","Females","Number","960"
"2019","Czechia","Finland","Total","Total","Number","599"
"2019","Czechia","Finland","Total","Males","Number","276"
"2019","Czechia","Finland","Total","Females","Number","323"
"2019","Denmark","Finland","Total","Total","Number","772"
"2019","Denmark","Finland","Total","Males","Number","526"
"2019","Denmark","Finland","Total","Females","Number","246"
"2019","Germany (until 1990 former territory of the FRG)","Finland","Total","Total","Number","4,102"
"2019","Germany (until 1990 former territory of the FRG)","Finland","Total","Males","Number","2,432"
"2019","Germany (until 1990 former territory of the FRG)","Finland","Total","Females","Number","1,670"
"2019","Estonia","Finland","Total","Total","Number","51,456"
"2019","Estonia","Finland","Total","Males","Number","26,286"
"2019","Estonia","Finland","Total","Females","Number","25,170"
"2019","Ireland","Finland","Total","Total","Number","624"
"2019","Ireland","Finland","Total","Males","Number","492"
"2019","Ireland","Finland","Total","Females","Number","132"
"2019","Greece","Finland","Total","Total","Number","1,248"
"2019","Greece","Finland","Total","Males","Number","874"
"2019","Greece","Finland","Total","Females","Number","374"
"2019","Spain","Finland","Total","Total","Number","2,660"
"2019","Spain","Finland","Total","Males","Number","1,647"
"2019","Spain","Finland","Total","Females","Number","1,013"
"2019","France","Finland","Total","Total","Number","2,255"
"2019","France","Finland","Total","Males","Number","1,460"
"2019","France","Finland","Total","Females","Number","795"
"2019","Croatia","Finland","Total","Total","Number","470"
"2019","Croatia","Finland","Total","Males","Number","283"
"2019","Croatia","Finland","Total","Females","Number","187"
"2019","Italy","Finland","Total","Total","Number","2,709"
"2019","Italy","Finland","Total","Males","Number","1,870"
"2019","Italy","Finland","Total","Females","Number","839"
"2019","Cyprus","Finland","Total","Total","Number","65"
"2019","Cyprus","Finland","Total","Males","Number","48"
"2019","Cyprus","Finland","Total","Females","Number","17"
"2019","Latvia","Finland","Total","Total","Number","2,399"
"2019","Latvia","Finland","Total","Males","Number","1,328"
"2019","Latvia","Finland","Total","Females","Number","1,071"
"2019","Lithuania","Finland","Total","Total","Number","1,759"
"2019","Lithuania","Finland","Total","Males","Number","958"
"2019","Lithuania","Finland","Total","Females","Number","801"
"2019","Luxembourg","Finland","Total","Total","Number","20"
"2019","Luxembourg","Finland","Total","Males","Number","10"
"2019","Luxembourg","Finland","Total","Females","Number","10"
"2019","Hungary","Finland","Total","Total","Number","1,926"
"2019","Hungary","Finland","Total","Males","Number","1,042"
"2019","Hungary","Finland","Total","Females","Number","884"
"2019","Malta","Finland","Total","Total","Number","24"
"2019","Malta","Finland","Total","Males","Number","18"
"2019","Malta","Finland","Total","Females","Number","6"
"2019","Netherlands","Finland","Total","Total","Number","1,411"
"2019","Netherlands","Finland","Total","Males","Number","1,099"
"2019","Netherlands","Finland","Total","Females","Number","312"
"2019","Austria","Finland","Total","Total","Number","534"
"2019","Austria","Finland","Total","Males","Number","297"
"2019","Austria","Finland","Total","Females","Number","237"
"2019","Poland","Finland","Total","Total","Number","4,410"
"2019","Poland","Finland","Total","Males","Number","2,626"
"2019","Poland","Finland","Total","Females","Number","1,784"
"2019","Portugal","Finland","Total","Total","Number","713"
"2019","Portugal","Finland","Total","Males","Number","468"
"2019","Portugal","Finland","Total","Females","Number","245"
"2019","Romania","Finland","Total","Total","Number","3,557"
"2019","Romania","Finland","Total","Males","Number","2,158"
"2019","Romania","Finland","Total","Females","Number","1,399"
"2019","Slovenia","Finland","Total","Total","Number","159"
"2019","Slovenia","Finland","Total","Males","Number","81"
"2019","Slovenia","Finland","Total","Females","Number","78"
"2019","Slovakia","Finland","Total","Total","Number","534"
"2019","Slovakia","Finland","Total","Males","Number","287"
"2019","Slovakia","Finland","Total","Females","Number","247"
"2019","Finland","Finland","Total","Total","Number","5,260,347"
"2019","Finland","Finland","Total","Males","Number","2,583,170"
"2019","Finland","Finland","Total","Females","Number","2,677,177"
"2019","Sweden","Finland","Total","Total","Number","7,996"
"2019","Sweden","Finland","Total","Males","Number","4,741"
"2019","Sweden","Finland","Total","Females","Number","3,255"
"2019","Iceland","Finland","Total","Total","Number","142"
"2019","Iceland","Finland","Total","Males","Number","99"
"2019","Iceland","Finland","Total","Females","Number","43"
"2019","Liechtenstein","Finland","Total","Total","Number","2"
"2019","Liechtenstein","Finland","Total","Males","Number","1"
"2019","Liechtenstein","Finland","Total","Females","Number","1"
"2019","Norway","Finland","Total","Total","Number","890"
"2019","Norway","Finland","Total","Males","Number","523"
"2019","Norway","Finland","Total","Females","Number","367"
"2019","Switzerland","Finland","Total","Total","Number","489"
"2019","Switzerland","Finland","Total","Males","Number","330"
"2019","Switzerland","Finland","Total","Females","Number","159"
"2019","North Macedonia","Finland","Total","Total","Number","225"
"2019","North Macedonia","Finland","Total","Males","Number","125"
"2019","North Macedonia","Finland","Total","Females","Number","100"
"2019","Turkey","Finland","Total","Total","Number","4,794"
"2019","Turkey","Finland","Total","Males","Number","3,107"
"2019","Turkey","Finland","Total","Females","Number","1,687"
"2019","Andorra","Finland","Total","Total","Number","0"
"2019","Andorra","Finland","Total","Males","Number","0"
"2019","Andorra","Finland","Total","Females","Number","0"
"2019","Albania","Finland","Total","Total","Number","568"
"2019","Albania","Finland","Total","Males","Number","377"
"2019","Albania","Finland","Total","Females","Number","191"
"2019","Bosnia and Herzegovina","Finland","Total","Total","Number","1,451"
"2019","Bosnia and Herzegovina","Finland","Total","Males","Number","850"
"2019","Bosnia and Herzegovina","Finland","Total","Females","Number","601"
"2019","Belarus","Finland","Total","Total","Number","509"
"2019","Belarus","Finland","Total","Males","Number","239"
"2019","Belarus","Finland","Total","Females","Number","270"
"2019","Faroes (DK)","Finland","Total","Total","Number","0"
"2019","Faroes (DK)","Finland","Total","Males","Number","0"
"2019","Faroes (DK)","Finland","Total","Females","Number","0"
"2019","Guernsey","Finland","Total","Total","Number","0"
"2019","Guernsey","Finland","Total","Males","Number","0"
"2019","Guernsey","Finland","Total","Females","Number","0"
"2019","Gibraltar (UK)","Finland","Total","Total","Number","0"
"2019","Gibraltar (UK)","Finland","Total","Males","Number","0"
"2019","Gibraltar (UK)","Finland","Total","Females","Number","0"
"2019","Isle of Man","Finland","Total","Total","Number","0"
"2019","Isle of Man","Finland","Total","Males","Number","0"
"2019","Isle of Man","Finland","Total","Females","Number","0"
"2019","Jersey","Finland","Total","Total","Number","0"
"2019","Jersey","Finland","Total","Males","Number","0"
"2019","Jersey","Finland","Total","Females","Number","0"
"2019","Monaco","Finland","Total","Total","Number","0"
"2019","Monaco","Finland","Total","Males","Number","0"
"2019","Monaco","Finland","Total","Females","Number","0"
"2019","Moldova","Finland","Total","Total","Number","200"
"2019","Moldova","Finland","Total","Males","Number","105"
"2019","Moldova","Finland","Total","Females","Number","95"
"2019","Montenegro","Finland","Total","Total","Number","31"
"2019","Montenegro","Finland","Total","Males","Number","19"
"2019","Montenegro","Finland","Total","Females","Number","12"
"2019","Serbia","Finland","Total","Total","Number","664"
"2019","Serbia","Finland","Total","Males","Number","364"
"2019","Serbia","Finland","Total","Females","Number","300"
