"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2017","Total","France","Total","Total","Number","66,809,816"
"2017","Total","France","Total","Males","Number","32,314,352"
"2017","Total","France","Total","Females","Number","34,495,464"
"2017","Belgium","France","Total","Total","Number","102,066"
"2017","Belgium","France","Total","Males","Number","48,838"
"2017","Belgium","France","Total","Females","Number","53,228"
"2017","Bulgaria","France","Total","Total","Number","23,188"
"2017","Bulgaria","France","Total","Males","Number","11,152"
"2017","Bulgaria","France","Total","Females","Number","12,036"
"2017","Czechia","France","Total","Total","Number","4,628"
"2017","Czechia","France","Total","Males","Number","1,606"
"2017","Czechia","France","Total","Females","Number","3,022"
"2017","Denmark","France","Total","Total","Number","4,854"
"2017","Denmark","France","Total","Males","Number","2,009"
"2017","Denmark","France","Total","Females","Number","2,845"
"2017","Germany (until 1990 former territory of the FRG)","France","Total","Total","Number","86,908"
"2017","Germany (until 1990 former territory of the FRG)","France","Total","Males","Number","38,902"
"2017","Germany (until 1990 former territory of the FRG)","France","Total","Females","Number","48,006"
"2017","Estonia","France","Total","Total","Number","994"
"2017","Estonia","France","Total","Males","Number","263"
"2017","Estonia","France","Total","Females","Number","731"
"2017","Ireland","France","Total","Total","Number","9,864"
"2017","Ireland","France","Total","Males","Number","4,727"
"2017","Ireland","France","Total","Females","Number","5,137"
"2017","Greece","France","Total","Total","Number","8,238"
"2017","Greece","France","Total","Males","Number","3,882"
"2017","Greece","France","Total","Females","Number","4,356"
"2017","Spain","France","Total","Total","Number","164,119"
"2017","Spain","France","Total","Males","Number","82,038"
"2017","Spain","France","Total","Females","Number","82,081"
"2017","France","France","Total","Total","Number","65,253,186"
"2017","France","France","Total","Males","Number",":"
"2017","France","France","Total","Females","Number",":"
"2017","Croatia","France","Total","Total","Number","3,807"
"2017","Croatia","France","Total","Males","Number","1,891"
"2017","Croatia","France","Total","Females","Number","1,916"
"2017","Italy","France","Total","Total","Number","203,347"
"2017","Italy","France","Total","Males","Number","110,087"
"2017","Italy","France","Total","Females","Number","93,260"
"2017","Cyprus","France","Total","Total","Number","449"
"2017","Cyprus","France","Total","Males","Number","183"
"2017","Cyprus","France","Total","Females","Number","266"
"2017","Latvia","France","Total","Total","Number","1,912"
"2017","Latvia","France","Total","Males","Number","699"
"2017","Latvia","France","Total","Females","Number","1,213"
"2017","Lithuania","France","Total","Total","Number","2,833"
"2017","Lithuania","France","Total","Males","Number","986"
"2017","Lithuania","France","Total","Females","Number","1,847"
"2017","Luxembourg","France","Total","Total","Number","5,567"
"2017","Luxembourg","France","Total","Males","Number","2,698"
"2017","Luxembourg","France","Total","Females","Number","2,869"
"2017","Hungary","France","Total","Total","Number","6,871"
"2017","Hungary","France","Total","Males","Number","2,991"
"2017","Hungary","France","Total","Females","Number","3,880"
"2017","Malta","France","Total","Total","Number","200"
"2017","Malta","France","Total","Males","Number","79"
"2017","Malta","France","Total","Females","Number","121"
"2017","Netherlands","France","Total","Total","Number","36,495"
"2017","Netherlands","France","Total","Males","Number","17,978"
"2017","Netherlands","France","Total","Females","Number","18,517"
"2017","Austria","France","Total","Total","Number","4,796"
"2017","Austria","France","Total","Males","Number","1,836"
"2017","Austria","France","Total","Females","Number","2,960"
"2017","Poland","France","Total","Total","Number","55,690"
"2017","Poland","France","Total","Males","Number","24,941"
"2017","Poland","France","Total","Females","Number","30,749"
"2017","Portugal","France","Total","Total","Number","550,572"
"2017","Portugal","France","Total","Males","Number","292,364"
