"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Germany (until 1990 former territory of the FRG)","Total","Total","Number","83,019,213"
"2019","Total","Germany (until 1990 former territory of the FRG)","Total","Males","Number","40,966,691"
"2019","Total","Germany (until 1990 former territory of the FRG)","Total","Females","Number","42,052,522"
"2019","Belgium","Germany (until 1990 former territory of the FRG)","Total","Total","Number","25,904"
"2019","Belgium","Germany (until 1990 former territory of the FRG)","Total","Males","Number","13,521"
"2019","Belgium","Germany (until 1990 former territory of the FRG)","Total","Females","Number","12,383"
"2019","Bulgaria","Germany (until 1990 former territory of the FRG)","Total","Total","Number","319,271"
"2019","Bulgaria","Germany (until 1990 former territory of the FRG)","Total","Males","Number","169,413"
"2019","Bulgaria","Germany (until 1990 former territory of the FRG)","Total","Females","Number","149,858"
"2019","Czechia","Germany (until 1990 former territory of the FRG)","Total","Total","Number","56,259"
"2019","Czechia","Germany (until 1990 former territory of the FRG)","Total","Males","Number","24,405"
"2019","Czechia","Germany (until 1990 former territory of the FRG)","Total","Females","Number","31,854"
"2019","Denmark","Germany (until 1990 former territory of the FRG)","Total","Total","Number","19,265"
"2019","Denmark","Germany (until 1990 former territory of the FRG)","Total","Males","Number","8,955"
"2019","Denmark","Germany (until 1990 former territory of the FRG)","Total","Females","Number","10,310"
"2019","Germany (until 1990 former territory of the FRG)","Germany (until 1990 former territory of the FRG)","Total","Total","Number","72,929,921"
"2019","Germany (until 1990 former territory of the FRG)","Germany (until 1990 former territory of the FRG)","Total","Males","Number","35,612,690"
"2019","Germany (until 1990 former territory of the FRG)","Germany (until 1990 former territory of the FRG)","Total","Females","Number","37,317,231"
"2019","Estonia","Germany (until 1990 former territory of the FRG)","Total","Total","Number","6,607"
"2019","Estonia","Germany (until 1990 former territory of the FRG)","Total","Males","Number","2,406"
"2019","Estonia","Germany (until 1990 former territory of the FRG)","Total","Females","Number","4,201"
"2019","Ireland","Germany (until 1990 former territory of the FRG)","Total","Total","Number","13,901"
"2019","Ireland","Germany (until 1990 former territory of the FRG)","Total","Males","Number","8,040"
"2019","Ireland","Germany (until 1990 former territory of the FRG)","Total","Females","Number","5,861"
"2019","Greece","Germany (until 1990 former territory of the FRG)","Total","Total","Number","329,802"
"2019","Greece","Germany (until 1990 former territory of the FRG)","Total","Males","Number","175,815"
"2019","Greece","Germany (until 1990 former territory of the FRG)","Total","Females","Number","153,987"
"2019","Spain","Germany (until 1990 former territory of the FRG)","Total","Total","Number","157,278"
"2019","Spain","Germany (until 1990 former territory of the FRG)","Total","Males","Number","81,012"
"2019","Spain","Germany (until 1990 former territory of the FRG)","Total","Females","Number","76,266"
"2019","France","Germany (until 1990 former territory of the FRG)","Total","Total","Number","121,944"
"2019","France","Germany (until 1990 former territory of the FRG)","Total","Males","Number","58,797"
"2019","France","Germany (until 1990 former territory of the FRG)","Total","Females","Number","63,147"
"2019","Croatia","Germany (until 1990 former territory of the FRG)","Total","Total","Number","373,360"
"2019","Croatia","Germany (until 1990 former territory of the FRG)","Total","Males","Number","199,677"
"2019","Croatia","Germany (until 1990 former territory of the FRG)","Total","Females","Number","173,683"
"2019","Italy","Germany (until 1990 former territory of the FRG)","Total","Total","Number","586,986"
"2019","Italy","Germany (until 1990 former territory of the FRG)","Total","Males","Number","338,434"
"2019","Italy","Germany (until 1990 former territory of the FRG)","Total","Females","Number","248,552"
"2019","Cyprus","Germany (until 1990 former territory of the FRG)","Total","Total","Number","2,509"
"2019","Cyprus","Germany (until 1990 former territory of the FRG)","Total","Males","Number","1,246"
"2019","Cyprus","Germany (until 1990 former territory of the FRG)","Total","Females","Number","1,263"
"2019","Latvia","Germany (until 1990 former territory of the FRG)","Total","Total","Number","35,980"
"2019","Latvia","Germany (until 1990 former territory of the FRG)","Total","Males","Number","17,630"
"2019","Latvia","Germany (until 1990 former territory of the FRG)","Total","Females","Number","18,350"
"2019","Lithuania","Germany (until 1990 former territory of the FRG)","Total","Total","Number","52,604"
"2019","Lithuania","Germany (until 1990 former territory of the FRG)","Total","Males","Number","23,343"
