"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Greece","Total","Total","Number","10,724,599"
"2019","Total","Greece","Total","Males","Number","5,208,293"
"2019","Total","Greece","Total","Females","Number","5,516,306"
"2019","Belgium","Greece","Total","Total","Number","1,279"
"2019","Belgium","Greece","Total","Males","Number",":"
"2019","Belgium","Greece","Total","Females","Number",":"
"2019","Bulgaria","Greece","Total","Total","Number","81,174"
"2019","Bulgaria","Greece","Total","Males","Number",":"
"2019","Bulgaria","Greece","Total","Females","Number",":"
"2019","Czechia","Greece","Total","Total","Number","913"
"2019","Czechia","Greece","Total","Males","Number",":"
"2019","Czechia","Greece","Total","Females","Number",":"
"2019","Denmark","Greece","Total","Total","Number","753"
"2019","Denmark","Greece","Total","Males","Number",":"
"2019","Denmark","Greece","Total","Females","Number",":"
"2019","Germany (until 1990 former territory of the FRG)","Greece","Total","Total","Number","11,529"
"2019","Germany (until 1990 former territory of the FRG)","Greece","Total","Males","Number",":"
"2019","Germany (until 1990 former territory of the FRG)","Greece","Total","Females","Number",":"
"2019","Estonia","Greece","Total","Total","Number","114"
"2019","Estonia","Greece","Total","Males","Number",":"
"2019","Estonia","Greece","Total","Females","Number",":"
"2019","Ireland","Greece","Total","Total","Number","515"
"2019","Ireland","Greece","Total","Males","Number",":"
"2019","Ireland","Greece","Total","Females","Number",":"
"2019","Greece","Greece","Total","Total","Number","9,892,907"
"2019","Greece","Greece","Total","Males","Number",":"
"2019","Greece","Greece","Total","Females","Number",":"
"2019","Spain","Greece","Total","Total","Number","1,050"
"2019","Spain","Greece","Total","Males","Number",":"
"2019","Spain","Greece","Total","Females","Number",":"
"2019","France","Greece","Total","Total","Number","4,531"
"2019","France","Greece","Total","Males","Number",":"
"2019","France","Greece","Total","Females","Number",":"
"2019","Croatia","Greece","Total","Total","Number","259"
"2019","Croatia","Greece","Total","Males","Number",":"
"2019","Croatia","Greece","Total","Females","Number",":"
"2019","Italy","Greece","Total","Total","Number","5,355"
"2019","Italy","Greece","Total","Males","Number",":"
"2019","Italy","Greece","Total","Females","Number",":"
"2019","Cyprus","Greece","Total","Total","Number","15,448"
"2019","Cyprus","Greece","Total","Males","Number",":"
"2019","Cyprus","Greece","Total","Females","Number",":"
"2019","Latvia","Greece","Total","Total","Number","322"
"2019","Latvia","Greece","Total","Males","Number",":"
"2019","Latvia","Greece","Total","Females","Number",":"
"2019","Lithuania","Greece","Total","Total","Number","554"
"2019","Lithuania","Greece","Total","Males","Number",":"
"2019","Lithuania","Greece","Total","Females","Number",":"
"2019","Luxembourg","Greece","Total","Total","Number","38"
"2019","Luxembourg","Greece","Total","Males","Number",":"
"2019","Luxembourg","Greece","Total","Females","Number",":"
"2019","Hungary","Greece","Total","Total","Number","800"
"2019","Hungary","Greece","Total","Males","Number",":"
"2019","Hungary","Greece","Total","Females","Number",":"
"2019","Malta","Greece","Total","Total","Number","44"
"2019","Malta","Greece","Total","Males","Number",":"
"2019","Malta","Greece","Total","Females","Number",":"
"2019","Netherlands","Greece","Total","Total","Number","2,824"
"2019","Netherlands","Greece","Total","Males","Number",":"
"2019","Netherlands","Greece","Total","Females","Number",":"
"2019","Austria","Greece","Total","Total","Number","1,356"
"2019","Austria","Greece","Total","Males","Number",":"
"2019","Austria","Greece","Total","Females","Number",":"
"2019","Poland","Greece","Total","Total","Number","15,125"
"2019","Poland","Greece","Total","Males","Number",":"
"2019","Poland","Greece","Total","Females","Number",":"
"2019","Portugal","Greece","Total","Total","Number","285"
"2019","Portugal","Greece","Total","Males","Number",":"
"2019","Portugal","Greece","Total","Females","Number",":"
"2019","Romania","Greece","Total","Total","Number","49,746"
"2019","Romania","Greece","Total","Males","Number",":"
"2019","Romania","Greece","Total","Females","Number",":"
"2019","Slovenia","Greece","Total","Total","Number","91"
"2019","Slovenia","Greece","Total","Males","Number",":"
"2019","Slovenia","Greece","Total","Females","Number",":"
"2019","Slovakia","Greece","Total","Total","Number","776"
"2019","Slovakia","Greece","Total","Males","Number",":"
"2019","Slovakia","Greece","Total","Females","Number",":"
"2019","Finland","Greece","Total","Total","Number","553"
"2019","Finland","Greece","Total","Males","Number",":"
"2019","Finland","Greece","Total","Females","Number",":"
"2019","Sweden","Greece","Total","Total","Number","1,282"
"2019","Sweden","Greece","Total","Males","Number",":"
"2019","Sweden","Greece","Total","Females","Number",":"
"2019","Iceland","Greece","Total","Total","Number",":"
"2019","Iceland","Greece","Total","Males","Number",":"
"2019","Iceland","Greece","Total","Females","Number",":"
"2019","Liechtenstein","Greece","Total","Total","Number",":"
"2019","Liechtenstein","Greece","Total","Males","Number",":"
"2019","Liechtenstein","Greece","Total","Females","Number",":"
"2019","Norway","Greece","Total","Total","Number",":"
"2019","Norway","Greece","Total","Males","Number",":"
"2019","Norway","Greece","Total","Females","Number",":"
"2019","Switzerland","Greece","Total","Total","Number",":"
"2019","Switzerland","Greece","Total","Males","Number",":"
"2019","Switzerland","Greece","Total","Females","Number",":"
"2019","North Macedonia","Greece","Total","Total","Number",":"
"2019","North Macedonia","Greece","Total","Males","Number",":"
"2019","North Macedonia","Greece","Total","Females","Number",":"
"2019","Turkey","Greece","Total","Total","Number",":"
"2019","Turkey","Greece","Total","Males","Number",":"
"2019","Turkey","Greece","Total","Females","Number",":"
"2019","Andorra","Greece","Total","Total","Number",":"
"2019","Andorra","Greece","Total","Males","Number",":"
"2019","Andorra","Greece","Total","Females","Number",":"
"2019","Albania","Greece","Total","Total","Number",":"
"2019","Albania","Greece","Total","Males","Number",":"
"2019","Albania","Greece","Total","Females","Number",":"
"2019","Bosnia and Herzegovina","Greece","Total","Total","Number",":"
"2019","Bosnia and Herzegovina","Greece","Total","Males","Number",":"
"2019","Bosnia and Herzegovina","Greece","Total","Females","Number",":"
"2019","Belarus","Greece","Total","Total","Number",":"
"2019","Belarus","Greece","Total","Males","Number",":"
"2019","Belarus","Greece","Total","Females","Number",":"
"2019","Faroes (DK)","Greece","Total","Total","Number",":"
"2019","Faroes (DK)","Greece","Total","Males","Number",":"
"2019","Faroes (DK)","Greece","Total","Females","Number",":"
