"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Hungary","Total","Total","Number","9,772,756"
"2019","Total","Hungary","Total","Males","Number","4,675,821"
"2019","Total","Hungary","Total","Females","Number","5,096,935"
"2019","Belgium","Hungary","Total","Total","Number","1,060"
"2019","Belgium","Hungary","Total","Males","Number","621"
"2019","Belgium","Hungary","Total","Females","Number","439"
"2019","Bulgaria","Hungary","Total","Total","Number","666"
"2019","Bulgaria","Hungary","Total","Males","Number","329"
"2019","Bulgaria","Hungary","Total","Females","Number","337"
"2019","Czechia","Hungary","Total","Total","Number","490"
"2019","Czechia","Hungary","Total","Males","Number","239"
"2019","Czechia","Hungary","Total","Females","Number","251"
"2019","Denmark","Hungary","Total","Total","Number","240"
"2019","Denmark","Hungary","Total","Males","Number","165"
"2019","Denmark","Hungary","Total","Females","Number","75"
"2019","Germany (until 1990 former territory of the FRG)","Hungary","Total","Total","Number","16,537"
"2019","Germany (until 1990 former territory of the FRG)","Hungary","Total","Males","Number","9,265"
"2019","Germany (until 1990 former territory of the FRG)","Hungary","Total","Females","Number","7,272"
"2019","Estonia","Hungary","Total","Total","Number","113"
"2019","Estonia","Hungary","Total","Males","Number","29"
"2019","Estonia","Hungary","Total","Females","Number","84"
"2019","Ireland","Hungary","Total","Total","Number","581"
"2019","Ireland","Hungary","Total","Males","Number","312"
"2019","Ireland","Hungary","Total","Females","Number","269"
"2019","Greece","Hungary","Total","Total","Number","645"
"2019","Greece","Hungary","Total","Males","Number","399"
"2019","Greece","Hungary","Total","Females","Number","246"
"2019","Spain","Hungary","Total","Total","Number","1,723"
"2019","Spain","Hungary","Total","Males","Number","922"
"2019","Spain","Hungary","Total","Females","Number","801"
"2019","France","Hungary","Total","Total","Number","2,593"
"2019","France","Hungary","Total","Males","Number","1,504"
"2019","France","Hungary","Total","Females","Number","1,089"
"2019","Croatia","Hungary","Total","Total","Number","1,403"
"2019","Croatia","Hungary","Total","Males","Number","893"
"2019","Croatia","Hungary","Total","Females","Number","510"
"2019","Italy","Hungary","Total","Total","Number","3,635"
"2019","Italy","Hungary","Total","Males","Number","2,621"
"2019","Italy","Hungary","Total","Females","Number","1,014"
"2019","Cyprus","Hungary","Total","Total","Number","148"
"2019","Cyprus","Hungary","Total","Males","Number","86"
"2019","Cyprus","Hungary","Total","Females","Number","62"
"2019","Latvia","Hungary","Total","Total","Number","129"
"2019","Latvia","Hungary","Total","Males","Number","43"
"2019","Latvia","Hungary","Total","Females","Number","86"
"2019","Lithuania","Hungary","Total","Total","Number","232"
"2019","Lithuania","Hungary","Total","Males","Number","85"
"2019","Lithuania","Hungary","Total","Females","Number","147"
"2019","Luxembourg","Hungary","Total","Total","Number","41"
"2019","Luxembourg","Hungary","Total","Males","Number","18"
"2019","Luxembourg","Hungary","Total","Females","Number","23"
"2019","Hungary","Hungary","Total","Total","Number","9,591,983"
"2019","Hungary","Hungary","Total","Males","Number","4,570,211"
"2019","Hungary","Hungary","Total","Females","Number","5,021,772"
"2019","Malta","Hungary","Total","Total","Number","81"
"2019","Malta","Hungary","Total","Males","Number","40"
"2019","Malta","Hungary","Total","Females","Number","41"
"2019","Netherlands","Hungary","Total","Total","Number","2,834"
"2019","Netherlands","Hungary","Total","Males","Number","1,680"
"2019","Netherlands","Hungary","Total","Females","Number","1,154"
"2019","Austria","Hungary","Total","Total","Number","3,142"
"2019","Austria","Hungary","Total","Males","Number","2,014"
"2019","Austria","Hungary","Total","Females","Number","1,128"
"2019","Poland","Hungary","Total","Total","Number","1,960"
"2019","Poland","Hungary","Total","Males","Number","755"
"2019","Poland","Hungary","Total","Females","Number","1,205"
"2019","Portugal","Hungary","Total","Total","Number","570"
"2019","Portugal","Hungary","Total","Males","Number","363"
"2019","Portugal","Hungary","Total","Females","Number","207"
"2019","Romania","Hungary","Total","Total","Number","21,017"
"2019","Romania","Hungary","Total","Males","Number","14,096"
"2019","Romania","Hungary","Total","Females","Number","6,921"
"2019","Slovenia","Hungary","Total","Total","Number","298"
"2019","Slovenia","Hungary","Total","Males","Number","167"
"2019","Slovenia","Hungary","Total","Females","Number","131"
"2019","Slovakia","Hungary","Total","Total","Number","9,563"
"2019","Slovakia","Hungary","Total","Males","Number","4,151"
"2019","Slovakia","Hungary","Total","Females","Number","5,412"
"2019","Finland","Hungary","Total","Total","Number","507"
"2019","Finland","Hungary","Total","Males","Number","244"
"2019","Finland","Hungary","Total","Females","Number","263"
"2019","Sweden","Hungary","Total","Total","Number","952"
"2019","Sweden","Hungary","Total","Males","Number","555"
