"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Iceland","Total","Total","Number","356,991"
"2019","Total","Iceland","Total","Males","Number","182,837"
"2019","Total","Iceland","Total","Females","Number","174,154"
"2019","Belgium","Iceland","Total","Total","Number","104"
"2019","Belgium","Iceland","Total","Males","Number","57"
"2019","Belgium","Iceland","Total","Females","Number","47"
"2019","Bulgaria","Iceland","Total","Total","Number","414"
"2019","Bulgaria","Iceland","Total","Males","Number","248"
"2019","Bulgaria","Iceland","Total","Females","Number","166"
"2019","Czechia","Iceland","Total","Total","Number","692"
"2019","Czechia","Iceland","Total","Males","Number","365"
"2019","Czechia","Iceland","Total","Females","Number","327"
"2019","Denmark","Iceland","Total","Total","Number","922"
"2019","Denmark","Iceland","Total","Males","Number","441"
"2019","Denmark","Iceland","Total","Females","Number","481"
"2019","Germany (until 1990 former territory of the FRG)","Iceland","Total","Total","Number","1,291"
"2019","Germany (until 1990 former territory of the FRG)","Iceland","Total","Males","Number","454"
"2019","Germany (until 1990 former territory of the FRG)","Iceland","Total","Females","Number","837"
"2019","Estonia","Iceland","Total","Total","Number","133"
"2019","Estonia","Iceland","Total","Males","Number","58"
"2019","Estonia","Iceland","Total","Females","Number","75"
"2019","Ireland","Iceland","Total","Total","Number","113"
"2019","Ireland","Iceland","Total","Males","Number","76"
"2019","Ireland","Iceland","Total","Females","Number","37"
"2019","Greece","Iceland","Total","Total","Number","201"
"2019","Greece","Iceland","Total","Males","Number","133"
"2019","Greece","Iceland","Total","Females","Number","68"
"2019","Spain","Iceland","Total","Total","Number","929"
"2019","Spain","Iceland","Total","Males","Number","531"
"2019","Spain","Iceland","Total","Females","Number","398"
"2019","France","Iceland","Total","Total","Number","668"
"2019","France","Iceland","Total","Males","Number","351"
"2019","France","Iceland","Total","Females","Number","317"
"2019","Croatia","Iceland","Total","Total","Number","665"
"2019","Croatia","Iceland","Total","Males","Number","502"
"2019","Croatia","Iceland","Total","Females","Number","163"
"2019","Italy","Iceland","Total","Total","Number","473"
"2019","Italy","Iceland","Total","Males","Number","295"
"2019","Italy","Iceland","Total","Females","Number","178"
"2019","Cyprus","Iceland","Total","Total","Number","7"
"2019","Cyprus","Iceland","Total","Males","Number","4"
"2019","Cyprus","Iceland","Total","Females","Number","3"
"2019","Latvia","Iceland","Total","Total","Number","1,862"
"2019","Latvia","Iceland","Total","Males","Number","1,280"
"2019","Latvia","Iceland","Total","Females","Number","582"
"2019","Lithuania","Iceland","Total","Total","Number","4,093"
"2019","Lithuania","Iceland","Total","Males","Number","2,717"
"2019","Lithuania","Iceland","Total","Females","Number","1,376"
"2019","Luxembourg","Iceland","Total","Total","Number","7"
"2019","Luxembourg","Iceland","Total","Males","Number","6"
"2019","Luxembourg","Iceland","Total","Females","Number","1"
"2019","Hungary","Iceland","Total","Total","Number","486"
"2019","Hungary","Iceland","Total","Males","Number","274"
"2019","Hungary","Iceland","Total","Females","Number","212"
"2019","Malta","Iceland","Total","Total","Number","9"
"2019","Malta","Iceland","Total","Males","Number","8"
"2019","Malta","Iceland","Total","Females","Number","1"
"2019","Netherlands","Iceland","Total","Total","Number","238"
"2019","Netherlands","Iceland","Total","Males","Number","137"
"2019","Netherlands","Iceland","Total","Females","Number","101"
"2019","Austria","Iceland","Total","Total","Number","114"
"2019","Austria","Iceland","Total","Males","Number","44"
"2019","Austria","Iceland","Total","Females","Number","70"
"2019","Poland","Iceland","Total","Total","Number","19,266"
"2019","Poland","Iceland","Total","Males","Number","11,692"
"2019","Poland","Iceland","Total","Females","Number","7,574"
"2019","Portugal","Iceland","Total","Total","Number","1,230"
"2019","Portugal","Iceland","Total","Males","Number","824"
"2019","Portugal","Iceland","Total","Females","Number","406"
"2019","Romania","Iceland","Total","Total","Number","1,528"
"2019","Romania","Iceland","Total","Males","Number","1,055"
"2019","Romania","Iceland","Total","Females","Number","473"
"2019","Slovenia","Iceland","Total","Total","Number","59"
"2019","Slovenia","Iceland","Total","Males","Number","31"
"2019","Slovenia","Iceland","Total","Females","Number","28"
"2019","Slovakia","Iceland","Total","Total","Number","472"
"2019","Slovakia","Iceland","Total","Males","Number","305"
"2019","Slovakia","Iceland","Total","Females","Number","167"
"2019","Finland","Iceland","Total","Total","Number","142"
"2019","Finland","Iceland","Total","Males","Number","42"
"2019","Finland","Iceland","Total","Females","Number","100"
"2019","Sweden","Iceland","Total","Total","Number","388"
"2019","Sweden","Iceland","Total","Males","Number","185"
"2019","Sweden","Iceland","Total","Females","Number","203"
"2019","Iceland","Iceland","Total","Total","Number","312,721"
"2019","Iceland","Iceland","Total","Males","Number","156,850"
"2019","Iceland","Iceland","Total","Females","Number","155,871"
"2019","Liechtenstein","Iceland","Total","Total","Number","1"
"2019","Liechtenstein","Iceland","Total","Males","Number","1"
"2019","Liechtenstein","Iceland","Total","Females","Number","0"
"2019","Norway","Iceland","Total","Total","Number","314"
"2019","Norway","Iceland","Total","Males","Number","139"
"2019","Norway","Iceland","Total","Females","Number","175"
"2019","Switzerland","Iceland","Total","Total","Number","98"
"2019","Switzerland","Iceland","Total","Males","Number","39"
"2019","Switzerland","Iceland","Total","Females","Number","59"
"2019","North Macedonia","Iceland","Total","Total","Number","51"
"2019","North Macedonia","Iceland","Total","Males","Number","27"
"2019","North Macedonia","Iceland","Total","Females","Number","24"
"2019","Turkey","Iceland","Total","Total","Number","31"
"2019","Turkey","Iceland","Total","Males","Number","25"
"2019","Turkey","Iceland","Total","Females","Number","6"
"2019","Andorra","Iceland","Total","Total","Number","0"
"2019","Andorra","Iceland","Total","Males","Number","0"
"2019","Andorra","Iceland","Total","Females","Number","0"
"2019","Albania","Iceland","Total","Total","Number","125"
"2019","Albania","Iceland","Total","Males","Number","89"
"2019","Albania","Iceland","Total","Females","Number","36"
"2019","Bosnia and Herzegovina","Iceland","Total","Total","Number","52"
"2019","Bosnia and Herzegovina","Iceland","Total","Males","Number","32"
"2019","Bosnia and Herzegovina","Iceland","Total","Females","Number","20"
"2019","Belarus","Iceland","Total","Total","Number","27"
"2019","Belarus","Iceland","Total","Males","Number","8"
"2019","Belarus","Iceland","Total","Females","Number","19"
"2019","Faroes (DK)","Iceland","Total","Total","Number","0"
"2019","Faroes (DK)","Iceland","Total","Males","Number","0"
"2019","Faroes (DK)","Iceland","Total","Females","Number","0"
"2019","Guernsey","Iceland","Total","Total","Number","0"
"2019","Guernsey","Iceland","Total","Males","Number","0"
"2019","Guernsey","Iceland","Total","Females","Number","0"
"2019","Gibraltar (UK)","Iceland","Total","Total","Number","0"
"2019","Gibraltar (UK)","Iceland","Total","Males","Number","0"
"2019","Gibraltar (UK)","Iceland","Total","Females","Number","0"
"2019","Isle of Man","Iceland","Total","Total","Number","0"
"2019","Isle of Man","Iceland","Total","Males","Number","0"
"2019","Isle of Man","Iceland","Total","Females","Number","0"
"2019","Jersey","Iceland","Total","Total","Number","0"
"2019","Jersey","Iceland","Total","Males","Number","0"
"2019","Jersey","Iceland","Total","Females","Number","0"
"2019","Monaco","Iceland","Total","Total","Number","0"
"2019","Monaco","Iceland","Total","Males","Number","0"
"2019","Monaco","Iceland","Total","Females","Number","0"
"2019","Moldova","Iceland","Total","Total","Number","13"
"2019","Moldova","Iceland","Total","Males","Number","5"
"2019","Moldova","Iceland","Total","Females","Number","8"
"2019","Montenegro","Iceland","Total","Total","Number","6"
"2019","Montenegro","Iceland","Total","Males","Number","4"
"2019","Montenegro","Iceland","Total","Females","Number","2"
"2019","Serbia","Iceland","Total","Total","Number","153"
"2019","Serbia","Iceland","Total","Males","Number","79"
"2019","Serbia","Iceland","Total","Females","Number","74"
"2019","Russia","Iceland","Total","Total","Number","200"
"2019","Russia","Iceland","Total","Males","Number","68"
"2019","Russia","Iceland","Total","Females","Number","132"
"2019","San Marino","Iceland","Total","Total","Number","2"
"2019","San Marino","Iceland","Total","Males","Number","1"
"2019","San Marino","Iceland","Total","Females","Number","1"
"2019","Ukraine","Iceland","Total","Total","Number","209"
"2019","Ukraine","Iceland","Total","Males","Number","89"
"2019","Ukraine","Iceland","Total","Females","Number","120"
"2019","Vatican City State","Iceland","Total","Total","Number","0"
"2019","Vatican City State","Iceland","Total","Males","Number","0"
"2019","Vatican City State","Iceland","Total","Females","Number","0"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Iceland","Total","Total","Number","63"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Iceland","Total","Males","Number","38"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Iceland","Total","Females","Number","25"
"2019","United Kingdom","Iceland","Total","Total","Number","1,005"
"2019","United Kingdom","Iceland","Total","Males","Number","678"
