"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Ireland","Total","Total","Number","4,904,240"
"2019","Total","Ireland","Total","Males","Number","2,428,881"
"2019","Total","Ireland","Total","Females","Number","2,475,359"
"2019","Belgium","Ireland","Total","Total","Number","1,674"
"2019","Belgium","Ireland","Total","Males","Number","883"
"2019","Belgium","Ireland","Total","Females","Number","791"
"2019","Bulgaria","Ireland","Total","Total","Number","2,592"
"2019","Bulgaria","Ireland","Total","Males","Number","1,300"
"2019","Bulgaria","Ireland","Total","Females","Number","1,292"
"2019","Czechia","Ireland","Total","Total","Number","5,302"
"2019","Czechia","Ireland","Total","Males","Number","2,635"
"2019","Czechia","Ireland","Total","Females","Number","2,667"
"2019","Denmark","Ireland","Total","Total","Number","1,145"
"2019","Denmark","Ireland","Total","Males","Number","581"
"2019","Denmark","Ireland","Total","Females","Number","564"
"2019","Germany (until 1990 former territory of the FRG)","Ireland","Total","Total","Number","17,157"
"2019","Germany (until 1990 former territory of the FRG)","Ireland","Total","Males","Number","7,817"
"2019","Germany (until 1990 former territory of the FRG)","Ireland","Total","Females","Number","9,340"
"2019","Estonia","Ireland","Total","Total","Number","2,464"
"2019","Estonia","Ireland","Total","Males","Number","981"
"2019","Estonia","Ireland","Total","Females","Number","1,483"
"2019","Ireland","Ireland","Total","Total","Number","4,292,229"
"2019","Ireland","Ireland","Total","Males","Number","2,122,714"
"2019","Ireland","Ireland","Total","Females","Number","2,169,515"
"2019","Greece","Ireland","Total","Total","Number","1,037"
"2019","Greece","Ireland","Total","Males","Number","575"
"2019","Greece","Ireland","Total","Females","Number","462"
"2019","Spain","Ireland","Total","Total","Number","14,629"
"2019","Spain","Ireland","Total","Males","Number","6,306"
"2019","Spain","Ireland","Total","Females","Number","8,323"
"2019","France","Ireland","Total","Total","Number","15,046"
"2019","France","Ireland","Total","Males","Number","7,547"
"2019","France","Ireland","Total","Females","Number","7,499"
"2019","Croatia","Ireland","Total","Total","Number","4,977"
"2019","Croatia","Ireland","Total","Males","Number","2,834"
"2019","Croatia","Ireland","Total","Females","Number","2,143"
"2019","Italy","Ireland","Total","Total","Number","13,520"
"2019","Italy","Ireland","Total","Males","Number","7,222"
"2019","Italy","Ireland","Total","Females","Number","6,298"
"2019","Cyprus","Ireland","Total","Total","Number","94"
"2019","Cyprus","Ireland","Total","Males","Number","49"
"2019","Cyprus","Ireland","Total","Females","Number","45"
"2019","Latvia","Ireland","Total","Total","Number","21,394"
"2019","Latvia","Ireland","Total","Males","Number","9,478"
"2019","Latvia","Ireland","Total","Females","Number","11,916"
"2019","Lithuania","Ireland","Total","Total","Number","40,205"
"2019","Lithuania","Ireland","Total","Males","Number","18,677"
"2019","Lithuania","Ireland","Total","Females","Number","21,528"
"2019","Luxembourg","Ireland","Total","Total","Number","49"
"2019","Luxembourg","Ireland","Total","Males","Number","23"
"2019","Luxembourg","Ireland","Total","Females","Number","26"
"2019","Hungary","Ireland","Total","Total","Number","9,364"
"2019","Hungary","Ireland","Total","Males","Number","4,675"
"2019","Hungary","Ireland","Total","Females","Number","4,689"
"2019","Malta","Ireland","Total","Total","Number","183"
"2019","Malta","Ireland","Total","Males","Number","94"
"2019","Malta","Ireland","Total","Females","Number","89"
"2019","Netherlands","Ireland","Total","Total","Number","6,094"
"2019","Netherlands","Ireland","Total","Males","Number","3,214"
"2019","Netherlands","Ireland","Total","Females","Number","2,880"
"2019","Austria","Ireland","Total","Total","Number","1,176"
"2019","Austria","Ireland","Total","Males","Number","531"
"2019","Austria","Ireland","Total","Females","Number","645"
"2019","Poland","Ireland","Total","Total","Number","130,654"
"2019","Poland","Ireland","Total","Males","Number","65,425"
"2019","Poland","Ireland","Total","Females","Number","65,229"
"2019","Portugal","Ireland","Total","Total","Number","5,113"
"2019","Portugal","Ireland","Total","Males","Number","2,726"
"2019","Portugal","Ireland","Total","Females","Number","2,387"
"2019","Romania","Ireland","Total","Total","Number","27,902"
"2019","Romania","Ireland","Total","Males","Number","14,356"
"2019","Romania","Ireland","Total","Females","Number","13,546"
"2019","Slovenia","Ireland","Total","Total","Number","304"
"2019","Slovenia","Ireland","Total","Males","Number","142"
"2019","Slovenia","Ireland","Total","Females","Number","162"
"2019","Slovakia","Ireland","Total","Total","Number","10,612"
"2019","Slovakia","Ireland","Total","Males","Number","5,263"
"2019","Slovakia","Ireland","Total","Females","Number","5,349"
"2019","Finland","Ireland","Total","Total","Number","1,443"
"2019","Finland","Ireland","Total","Males","Number","573"
"2019","Finland","Ireland","Total","Females","Number","870"
"2019","Sweden","Ireland","Total","Total","Number","2,520"
"2019","Sweden","Ireland","Total","Males","Number","1,102"
"2019","Sweden","Ireland","Total","Females","Number","1,418"
"2019","Iceland","Ireland","Total","Total","Number","97"
"2019","Iceland","Ireland","Total","Males","Number","51"
"2019","Iceland","Ireland","Total","Females","Number","46"
"2019","Liechtenstein","Ireland","Total","Total","Number","14"
"2019","Liechtenstein","Ireland","Total","Males","Number","7"
"2019","Liechtenstein","Ireland","Total","Females","Number","7"
"2019","Norway","Ireland","Total","Total","Number","682"
"2019","Norway","Ireland","Total","Males","Number","345"
"2019","Norway","Ireland","Total","Females","Number","337"
"2019","Switzerland","Ireland","Total","Total","Number","1,036"
"2019","Switzerland","Ireland","Total","Males","Number","478"
"2019","Switzerland","Ireland","Total","Females","Number","558"
"2019","North Macedonia","Ireland","Total","Total","Number","75"
"2019","North Macedonia","Ireland","Total","Males","Number","43"
"2019","North Macedonia","Ireland","Total","Females","Number","32"
"2019","Turkey","Ireland","Total","Total","Number","983"
"2019","Turkey","Ireland","Total","Males","Number","619"
"2019","Turkey","Ireland","Total","Females","Number","364"
"2019","Andorra","Ireland","Total","Total","Number","3"
"2019","Andorra","Ireland","Total","Males","Number","1"
"2019","Andorra","Ireland","Total","Females","Number","2"
"2019","Albania","Ireland","Total","Total","Number","834"
"2019","Albania","Ireland","Total","Males","Number","448"
"2019","Albania","Ireland","Total","Females","Number","386"
"2019","Bosnia and Herzegovina","Ireland","Total","Total","Number","393"
"2019","Bosnia and Herzegovina","Ireland","Total","Males","Number","213"
"2019","Bosnia and Herzegovina","Ireland","Total","Females","Number","180"
"2019","Belarus","Ireland","Total","Total","Number","879"
"2019","Belarus","Ireland","Total","Males","Number","404"
"2019","Belarus","Ireland","Total","Females","Number","475"
"2019","Faroes (DK)","Ireland","Total","Total","Number","0"
"2019","Faroes (DK)","Ireland","Total","Males","Number","0"
"2019","Faroes (DK)","Ireland","Total","Females","Number","0"
"2019","Guernsey","Ireland","Total","Total","Number","0"
"2019","Guernsey","Ireland","Total","Males","Number","0"
"2019","Guernsey","Ireland","Total","Females","Number","0"
"2019","Gibraltar (UK)","Ireland","Total","Total","Number","0"
"2019","Gibraltar (UK)","Ireland","Total","Males","Number","0"
"2019","Gibraltar (UK)","Ireland","Total","Females","Number","0"
"2019","Isle of Man","Ireland","Total","Total","Number","0"
"2019","Isle of Man","Ireland","Total","Males","Number","0"
"2019","Isle of Man","Ireland","Total","Females","Number","0"
"2019","Jersey","Ireland","Total","Total","Number","0"
"2019","Jersey","Ireland","Total","Males","Number","0"
"2019","Jersey","Ireland","Total","Females","Number","0"
"2019","Monaco","Ireland","Total","Total","Number","2"
"2019","Monaco","Ireland","Total","Males","Number","0"
"2019","Monaco","Ireland","Total","Females","Number","2"
"2019","Moldova","Ireland","Total","Total","Number","2,972"
"2019","Moldova","Ireland","Total","Males","Number","1,562"
"2019","Moldova","Ireland","Total","Females","Number","1,410"
"2019","Montenegro","Ireland","Total","Total","Number","7"
"2019","Montenegro","Ireland","Total","Males","Number","5"
"2019","Montenegro","Ireland","Total","Females","Number","2"
"2019","Serbia","Ireland","Total","Total","Number","412"
"2019","Serbia","Ireland","Total","Males","Number","236"
"2019","Serbia","Ireland","Total","Females","Number","176"
"2019","Russia","Ireland","Total","Total","Number","4,271"
"2019","Russia","Ireland","Total","Males","Number","1,973"
"2019","Russia","Ireland","Total","Females","Number","2,298"
"2019","San Marino","Ireland","Total","Total","Number","1"
"2019","San Marino","Ireland","Total","Males","Number","0"
"2019","San Marino","Ireland","Total","Females","Number","1"
"2019","Ukraine","Ireland","Total","Total","Number","2,981"
"2019","Ukraine","Ireland","Total","Males","Number","1,437"
"2019","Ukraine","Ireland","Total","Females","Number","1,544"
"2019","Vatican City State","Ireland","Total","Total","Number","1"
"2019","Vatican City State","Ireland","Total","Males","Number","1"
"2019","Vatican City State","Ireland","Total","Females","Number","0"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Ireland","Total","Total","Number","305"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Ireland","Total","Males","Number","156"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Ireland","Total","Females","Number","149"
"2019","United Kingdom","Ireland","Total","Total","Number","112,414"
"2019","United Kingdom","Ireland","Total","Males","Number","59,040"
"2019","United Kingdom","Ireland","Total","Females","Number","53,374"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Ireland","Total","Total","Number","0"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Ireland","Total","Males","Number","0"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Ireland","Total","Females","Number","0"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Ireland","Total","Total","Number","0"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Ireland","Total","Males","Number","0"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Ireland","Total","Females","Number","0"
"2019","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Ireland","Total","Total","Number","0"
"2019","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Ireland","Total","Males","Number","0"
"2019","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Ireland","Total","Females","Number","0"
"2019","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Ireland","Total","Total","Number","4"
"2019","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Ireland","Total","Males","Number","3"
"2019","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Ireland","Total","Females","Number","1"
"2019","Burundi","Ireland","Total","Total","Number","68"
"2019","Burundi","Ireland","Total","Males","Number","38"
"2019","Burundi","Ireland","Total","Females","Number","30"
"2019","Djibouti","Ireland","Total","Total","Number","2"
"2019","Djibouti","Ireland","Total","Males","Number","0"
"2019","Djibouti","Ireland","Total","Females","Number","2"
"2019","Eritrea","Ireland","Total","Total","Number","120"
"2019","Eritrea","Ireland","Total","Males","Number","60"
"2019","Eritrea","Ireland","Total","Females","Number","60"
"2019","Ethiopia","Ireland","Total","Total","Number","252"
"2019","Ethiopia","Ireland","Total","Males","Number","130"
"2019","Ethiopia","Ireland","Total","Females","Number","122"
"2019","Kenya","Ireland","Total","Total","Number","556"
"2019","Kenya","Ireland","Total","Males","Number","234"
"2019","Kenya","Ireland","Total","Females","Number","322"
"2019","Comoros","Ireland","Total","Total","Number","0"
"2019","Comoros","Ireland","Total","Males","Number","0"
"2019","Comoros","Ireland","Total","Females","Number","0"
"2019","Madagascar","Ireland","Total","Total","Number","12"
"2019","Madagascar","Ireland","Total","Males","Number","4"
"2019","Madagascar","Ireland","Total","Females","Number","8"
"2019","Mauritius","Ireland","Total","Total","Number","2,776"
"2019","Mauritius","Ireland","Total","Males","Number","1,508"
"2019","Mauritius","Ireland","Total","Females","Number","1,268"
"2019","Malawi","Ireland","Total","Total","Number","753"
"2019","Malawi","Ireland","Total","Males","Number","376"
"2019","Malawi","Ireland","Total","Females","Number","377"
"2019","Mozambique","Ireland","Total","Total","Number","11"
"2019","Mozambique","Ireland","Total","Males","Number","3"
"2019","Mozambique","Ireland","Total","Females","Number","8"
"2019","Rwanda","Ireland","Total","Total","Number","95"
"2019","Rwanda","Ireland","Total","Males","Number","60"
"2019","Rwanda","Ireland","Total","Females","Number","35"
"2019","Seychelles","Ireland","Total","Total","Number","26"
"2019","Seychelles","Ireland","Total","Males","Number","12"
"2019","Seychelles","Ireland","Total","Females","Number","14"
"2019","Somalia","Ireland","Total","Total","Number","1,055"
"2019","Somalia","Ireland","Total","Males","Number","548"
"2019","Somalia","Ireland","Total","Females","Number","507"
"2019","Tanzania","Ireland","Total","Total","Number","126"
"2019","Tanzania","Ireland","Total","Males","Number","58"
"2019","Tanzania","Ireland","Total","Females","Number","68"
"2019","Uganda","Ireland","Total","Total","Number","279"
"2019","Uganda","Ireland","Total","Males","Number","135"
"2019","Uganda","Ireland","Total","Females","Number","144"
"2019","Mayotte (FR - part of EU as of 01.01.2014)","Ireland","Total","Total","Number",":"
"2019","Mayotte (FR - part of EU as of 01.01.2014)","Ireland","Total","Males","Number",":"
"2019","Mayotte (FR - part of EU as of 01.01.2014)","Ireland","Total","Females","Number",":"
"2019","Zambia","Ireland","Total","Total","Number","106"
"2019","Zambia","Ireland","Total","Males","Number","64"
"2019","Zambia","Ireland","Total","Females","Number","42"
"2019","Zimbabwe","Ireland","Total","Total","Number","1,516"
"2019","Zimbabwe","Ireland","Total","Males","Number","710"
"2019","Zimbabwe","Ireland","Total","Females","Number","806"
"2019","Algeria","Ireland","Total","Total","Number","729"
"2019","Algeria","Ireland","Total","Males","Number","440"
"2019","Algeria","Ireland","Total","Females","Number","289"
"2019","Egypt","Ireland","Total","Total","Number","946"
"2019","Egypt","Ireland","Total","Males","Number","553"
"2019","Egypt","Ireland","Total","Females","Number","393"
"2019","Western Sahara","Ireland","Total","Total","Number","1"
"2019","Western Sahara","Ireland","Total","Males","Number","1"
"2019","Western Sahara","Ireland","Total","Females","Number","0"
"2019","Libya","Ireland","Total","Total","Number","566"
"2019","Libya","Ireland","Total","Males","Number","330"
