"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Italy","Total","Total","Number","60,359,546"
"2019","Total","Italy","Total","Males","Number","29,384,766"
"2019","Total","Italy","Total","Females","Number","30,974,780"
"2019","Belgium","Italy","Total","Total","Number","5,898"
"2019","Belgium","Italy","Total","Males","Number","2,495"
"2019","Belgium","Italy","Total","Females","Number","3,403"
"2019","Bulgaria","Italy","Total","Total","Number","60,129"
"2019","Bulgaria","Italy","Total","Males","Number","22,362"
"2019","Bulgaria","Italy","Total","Females","Number","37,767"
"2019","Czechia","Italy","Total","Total","Number","5,666"
"2019","Czechia","Italy","Total","Males","Number","931"
"2019","Czechia","Italy","Total","Females","Number","4,735"
"2019","Denmark","Italy","Total","Total","Number","2,084"
"2019","Denmark","Italy","Total","Males","Number","808"
"2019","Denmark","Italy","Total","Females","Number","1,276"
"2019","Germany (until 1990 former territory of the FRG)","Italy","Total","Total","Number","37,144"
"2019","Germany (until 1990 former territory of the FRG)","Italy","Total","Males","Number","13,913"
"2019","Germany (until 1990 former territory of the FRG)","Italy","Total","Females","Number","23,231"
"2019","Estonia","Italy","Total","Total","Number","1,273"
"2019","Estonia","Italy","Total","Males","Number","202"
"2019","Estonia","Italy","Total","Females","Number","1,071"
"2019","Ireland","Italy","Total","Total","Number","3,071"
"2019","Ireland","Italy","Total","Males","Number","1,424"
"2019","Ireland","Italy","Total","Females","Number","1,647"
"2019","Greece","Italy","Total","Total","Number","7,898"
"2019","Greece","Italy","Total","Males","Number","4,094"
"2019","Greece","Italy","Total","Females","Number","3,804"
"2019","Spain","Italy","Total","Total","Number","26,133"
"2019","Spain","Italy","Total","Males","Number","8,524"
"2019","Spain","Italy","Total","Females","Number","17,609"
"2019","France","Italy","Total","Total","Number","30,549"
"2019","France","Italy","Total","Males","Number","11,935"
"2019","France","Italy","Total","Females","Number","18,614"
"2019","Croatia","Italy","Total","Total","Number","17,472"
"2019","Croatia","Italy","Total","Males","Number","8,713"
"2019","Croatia","Italy","Total","Females","Number","8,759"
"2019","Italy","Italy","Total","Total","Number","55,104,043"
"2019","Italy","Italy","Total","Males","Number","26,847,979"
"2019","Italy","Italy","Total","Females","Number","28,256,064"
"2019","Cyprus","Italy","Total","Total","Number","239"
"2019","Cyprus","Italy","Total","Males","Number","92"
"2019","Cyprus","Italy","Total","Females","Number","147"
"2019","Latvia","Italy","Total","Total","Number","2,984"
"2019","Latvia","Italy","Total","Males","Number","557"
"2019","Latvia","Italy","Total","Females","Number","2,427"
"2019","Lithuania","Italy","Total","Total","Number","5,430"
"2019","Lithuania","Italy","Total","Males","Number","1,069"
"2019","Lithuania","Italy","Total","Females","Number","4,361"
"2019","Luxembourg","Italy","Total","Total","Number","241"
