"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Latvia","Total","Total","Number","1,919,968"
"2019","Total","Latvia","Total","Males","Number","884,909"
"2019","Total","Latvia","Total","Females","Number","1,035,059"
"2019","Belgium","Latvia","Total","Total","Number","37"
"2019","Belgium","Latvia","Total","Males","Number","28"
"2019","Belgium","Latvia","Total","Females","Number","9"
"2019","Bulgaria","Latvia","Total","Total","Number","115"
"2019","Bulgaria","Latvia","Total","Males","Number","90"
"2019","Bulgaria","Latvia","Total","Females","Number","25"
"2019","Czechia","Latvia","Total","Total","Number","34"
"2019","Czechia","Latvia","Total","Males","Number","20"
"2019","Czechia","Latvia","Total","Females","Number","14"
"2019","Denmark","Latvia","Total","Total","Number","142"
"2019","Denmark","Latvia","Total","Males","Number","131"
"2019","Denmark","Latvia","Total","Females","Number","11"
"2019","Germany (until 1990 former territory of the FRG)","Latvia","Total","Total","Number","483"
"2019","Germany (until 1990 former territory of the FRG)","Latvia","Total","Males","Number","331"
"2019","Germany (until 1990 former territory of the FRG)","Latvia","Total","Females","Number","152"
"2019","Estonia","Latvia","Total","Total","Number","671"
"2019","Estonia","Latvia","Total","Males","Number","332"
"2019","Estonia","Latvia","Total","Females","Number","339"
"2019","Ireland","Latvia","Total","Total","Number","48"
"2019","Ireland","Latvia","Total","Males","Number","30"
"2019","Ireland","Latvia","Total","Females","Number","18"
"2019","Greece","Latvia","Total","Total","Number","27"
"2019","Greece","Latvia","Total","Males","Number","23"
"2019","Greece","Latvia","Total","Females","Number","4"
"2019","Spain","Latvia","Total","Total","Number","135"
"2019","Spain","Latvia","Total","Males","Number","95"
"2019","Spain","Latvia","Total","Females","Number","40"
"2019","France","Latvia","Total","Total","Number","181"
"2019","France","Latvia","Total","Males","Number","123"
"2019","France","Latvia","Total","Females","Number","58"
"2019","Croatia","Latvia","Total","Total","Number","12"
"2019","Croatia","Latvia","Total","Males","Number","10"
"2019","Croatia","Latvia","Total","Females","Number","2"
"2019","Italy","Latvia","Total","Total","Number","245"
"2019","Italy","Latvia","Total","Males","Number","194"
"2019","Italy","Latvia","Total","Females","Number","51"
"2019","Cyprus","Latvia","Total","Total","Number","7"
"2019","Cyprus","Latvia","Total","Males","Number","5"
"2019","Cyprus","Latvia","Total","Females","Number","2"
"2019","Latvia","Latvia","Total","Total","Number","1,653,343"
"2019","Latvia","Latvia","Total","Males","Number","758,781"
"2019","Latvia","Latvia","Total","Females","Number","894,562"
"2019","Lithuania","Latvia","Total","Total","Number","3,064"
"2019","Lithuania","Latvia","Total","Males","Number","1,677"
"2019","Lithuania","Latvia","Total","Females","Number","1,387"
"2019","Luxembourg","Latvia","Total","Total","Number","1"
"2019","Luxembourg","Latvia","Total","Males","Number","1"
"2019","Luxembourg","Latvia","Total","Females","Number","0"
"2019","Hungary","Latvia","Total","Total","Number","31"
"2019","Hungary","Latvia","Total","Males","Number","19"
"2019","Hungary","Latvia","Total","Females","Number","12"
"2019","Malta","Latvia","Total","Total","Number","5"
"2019","Malta","Latvia","Total","Males","Number","5"
"2019","Malta","Latvia","Total","Females","Number","0"
"2019","Netherlands","Latvia","Total","Total","Number","91"
"2019","Netherlands","Latvia","Total","Males","Number","73"
"2019","Netherlands","Latvia","Total","Females","Number","18"
"2019","Austria","Latvia","Total","Total","Number","40"
"2019","Austria","Latvia","Total","Males","Number","32"
"2019","Austria","Latvia","Total","Females","Number","8"
"2019","Poland","Latvia","Total","Total","Number","272"
