"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Liechtenstein","Total","Total","Number","38,378"
"2019","Total","Liechtenstein","Total","Males","Number","19,025"
"2019","Total","Liechtenstein","Total","Females","Number","19,353"
"2019","Belgium","Liechtenstein","Total","Total","Number","25"
"2019","Belgium","Liechtenstein","Total","Males","Number","12"
"2019","Belgium","Liechtenstein","Total","Females","Number","13"
"2019","Bulgaria","Liechtenstein","Total","Total","Number","11"
"2019","Bulgaria","Liechtenstein","Total","Males","Number","3"
"2019","Bulgaria","Liechtenstein","Total","Females","Number","8"
"2019","Czechia","Liechtenstein","Total","Total","Number","22"
"2019","Czechia","Liechtenstein","Total","Males","Number","7"
"2019","Czechia","Liechtenstein","Total","Females","Number","15"
"2019","Denmark","Liechtenstein","Total","Total","Number","23"
"2019","Denmark","Liechtenstein","Total","Males","Number","12"
"2019","Denmark","Liechtenstein","Total","Females","Number","11"
"2019","Germany (until 1990 former territory of the FRG)","Liechtenstein","Total","Total","Number","1,657"
"2019","Germany (until 1990 former territory of the FRG)","Liechtenstein","Total","Males","Number","887"
"2019","Germany (until 1990 former territory of the FRG)","Liechtenstein","Total","Females","Number","770"
"2019","Estonia","Liechtenstein","Total","Total","Number","2"
"2019","Estonia","Liechtenstein","Total","Males","Number","0"
"2019","Estonia","Liechtenstein","Total","Females","Number","2"
"2019","Ireland","Liechtenstein","Total","Total","Number","18"
"2019","Ireland","Liechtenstein","Total","Males","Number","10"
"2019","Ireland","Liechtenstein","Total","Females","Number","8"
"2019","Greece","Liechtenstein","Total","Total","Number","52"
"2019","Greece","Liechtenstein","Total","Males","Number","28"
"2019","Greece","Liechtenstein","Total","Females","Number","24"
"2019","Spain","Liechtenstein","Total","Total","Number","372"
"2019","Spain","Liechtenstein","Total","Males","Number","198"
"2019","Spain","Liechtenstein","Total","Females","Number","174"
"2019","France","Liechtenstein","Total","Total","Number","91"
"2019","France","Liechtenstein","Total","Males","Number","50"
"2019","France","Liechtenstein","Total","Females","Number","41"
"2019","Croatia","Liechtenstein","Total","Total","Number","121"
"2019","Croatia","Liechtenstein","Total","Males","Number","55"
"2019","Croatia","Liechtenstein","Total","Females","Number","66"
"2019","Italy","Liechtenstein","Total","Total","Number","1,189"
"2019","Italy","Liechtenstein","Total","Males","Number","724"
"2019","Italy","Liechtenstein","Total","Females","Number","465"
"2019","Cyprus","Liechtenstein","Total","Total","Number","0"
"2019","Cyprus","Liechtenstein","Total","Males","Number","0"
"2019","Cyprus","Liechtenstein","Total","Females","Number","0"
"2019","Latvia","Liechtenstein","Total","Total","Number","4"
"2019","Latvia","Liechtenstein","Total","Males","Number","1"
"2019","Latvia","Liechtenstein","Total","Females","Number","3"
"2019","Lithuania","Liechtenstein","Total","Total","Number","3"
"2019","Lithuania","Liechtenstein","Total","Males","Number","1"
"2019","Lithuania","Liechtenstein","Total","Females","Number","2"
"2019","Luxembourg","Liechtenstein","Total","Total","Number","6"
"2019","Luxembourg","Liechtenstein","Total","Males","Number","2"
"2019","Luxembourg","Liechtenstein","Total","Females","Number","4"
"2019","Hungary","Liechtenstein","Total","Total","Number","56"
"2019","Hungary","Liechtenstein","Total","Males","Number","18"
"2019","Hungary","Liechtenstein","Total","Females","Number","38"
"2019","Malta","Liechtenstein","Total","Total","Number","3"
"2019","Malta","Liechtenstein","Total","Males","Number","1"
"2019","Malta","Liechtenstein","Total","Females","Number","2"
"2019","Netherlands","Liechtenstein","Total","Total","Number","69"
"2019","Netherlands","Liechtenstein","Total","Males","Number","39"
"2019","Netherlands","Liechtenstein","Total","Females","Number","30"
"2019","Austria","Liechtenstein","Total","Total","Number","2,256"
"2019","Austria","Liechtenstein","Total","Males","Number","1,022"
"2019","Austria","Liechtenstein","Total","Females","Number","1,234"
"2019","Poland","Liechtenstein","Total","Total","Number","42"
"2019","Poland","Liechtenstein","Total","Males","Number","13"
"2019","Poland","Liechtenstein","Total","Females","Number","29"
"2019","Portugal","Liechtenstein","Total","Total","Number","704"
"2019","Portugal","Liechtenstein","Total","Males","Number","382"
"2019","Portugal","Liechtenstein","Total","Females","Number","322"
"2019","Romania","Liechtenstein","Total","Total","Number","18"
"2019","Romania","Liechtenstein","Total","Males","Number","3"
"2019","Romania","Liechtenstein","Total","Females","Number","15"
"2019","Slovenia","Liechtenstein","Total","Total","Number","47"
