"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Lithuania","Total","Total","Number","2,794,184"
"2019","Total","Lithuania","Total","Males","Number","1,295,591"
"2019","Total","Lithuania","Total","Females","Number","1,498,593"
"2019","Belgium","Lithuania","Total","Total","Number","96"
"2019","Belgium","Lithuania","Total","Males","Number","85"
"2019","Belgium","Lithuania","Total","Females","Number","11"
"2019","Bulgaria","Lithuania","Total","Total","Number","143"
"2019","Bulgaria","Lithuania","Total","Males","Number","101"
"2019","Bulgaria","Lithuania","Total","Females","Number","42"
"2019","Czechia","Lithuania","Total","Total","Number","48"
"2019","Czechia","Lithuania","Total","Males","Number","24"
"2019","Czechia","Lithuania","Total","Females","Number","24"
"2019","Denmark","Lithuania","Total","Total","Number","171"
"2019","Denmark","Lithuania","Total","Males","Number","143"
"2019","Denmark","Lithuania","Total","Females","Number","28"
"2019","Germany (until 1990 former territory of the FRG)","Lithuania","Total","Total","Number","691"
"2019","Germany (until 1990 former territory of the FRG)","Lithuania","Total","Males","Number","477"
"2019","Germany (until 1990 former territory of the FRG)","Lithuania","Total","Females","Number","214"
"2019","Estonia","Lithuania","Total","Total","Number","157"
"2019","Estonia","Lithuania","Total","Males","Number","87"
"2019","Estonia","Lithuania","Total","Females","Number","70"
"2019","Ireland","Lithuania","Total","Total","Number","560"
"2019","Ireland","Lithuania","Total","Males","Number","289"
"2019","Ireland","Lithuania","Total","Females","Number","271"
"2019","Greece","Lithuania","Total","Total","Number","65"
"2019","Greece","Lithuania","Total","Males","Number","52"
"2019","Greece","Lithuania","Total","Females","Number","13"
"2019","Spain","Lithuania","Total","Total","Number","321"
"2019","Spain","Lithuania","Total","Males","Number","214"
"2019","Spain","Lithuania","Total","Females","Number","107"
"2019","France","Lithuania","Total","Total","Number","327"
"2019","France","Lithuania","Total","Males","Number","236"
"2019","France","Lithuania","Total","Females","Number","91"
"2019","Croatia","Lithuania","Total","Total","Number","39"
"2019","Croatia","Lithuania","Total","Males","Number","30"
"2019","Croatia","Lithuania","Total","Females","Number","9"
"2019","Italy","Lithuania","Total","Total","Number","448"
"2019","Italy","Lithuania","Total","Males","Number","371"
"2019","Italy","Lithuania","Total","Females","Number","77"
"2019","Cyprus","Lithuania","Total","Total","Number","10"
"2019","Cyprus","Lithuania","Total","Males","Number","8"
"2019","Cyprus","Lithuania","Total","Females","Number","2"
"2019","Latvia","Lithuania","Total","Total","Number","1,169"
"2019","Latvia","Lithuania","Total","Males","Number","560"
"2019","Latvia","Lithuania","Total","Females","Number","609"
"2019","Lithuania","Lithuania","Total","Total","Number","2,746,998"
"2019","Lithuania","Lithuania","Total","Males","Number","1,262,773"
"2019","Lithuania","Lithuania","Total","Females","Number","1,484,225"
"2019","Luxembourg","Lithuania","Total","Total","Number","2"
"2019","Luxembourg","Lithuania","Total","Males","Number","1"
"2019","Luxembourg","Lithuania","Total","Females","Number","1"
"2019","Hungary","Lithuania","Total","Total","Number","61"
"2019","Hungary","Lithuania","Total","Males","Number","42"
"2019","Hungary","Lithuania","Total","Females","Number","19"
"2019","Malta","Lithuania","Total","Total","Number","13"
"2019","Malta","Lithuania","Total","Males","Number","8"
"2019","Malta","Lithuania","Total","Females","Number","5"
