"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Luxembourg","Total","Total","Number","613,894"
"2019","Total","Luxembourg","Total","Males","Number","308,720"
"2019","Total","Luxembourg","Total","Females","Number","305,174"
"2019","Belgium","Luxembourg","Total","Total","Number","19,953"
"2019","Belgium","Luxembourg","Total","Males","Number","10,889"
"2019","Belgium","Luxembourg","Total","Females","Number","9,064"
"2019","Bulgaria","Luxembourg","Total","Total","Number","1,726"
"2019","Bulgaria","Luxembourg","Total","Males","Number","713"
"2019","Bulgaria","Luxembourg","Total","Females","Number","1,013"
"2019","Czechia","Luxembourg","Total","Total","Number","1,130"
"2019","Czechia","Luxembourg","Total","Males","Number","453"
"2019","Czechia","Luxembourg","Total","Females","Number","677"
"2019","Denmark","Luxembourg","Total","Total","Number","1,763"
"2019","Denmark","Luxembourg","Total","Males","Number","913"
"2019","Denmark","Luxembourg","Total","Females","Number","850"
"2019","Germany (until 1990 former territory of the FRG)","Luxembourg","Total","Total","Number","13,015"
"2019","Germany (until 1990 former territory of the FRG)","Luxembourg","Total","Males","Number","6,524"
"2019","Germany (until 1990 former territory of the FRG)","Luxembourg","Total","Females","Number","6,491"
"2019","Estonia","Luxembourg","Total","Total","Number","645"
"2019","Estonia","Luxembourg","Total","Males","Number","222"
"2019","Estonia","Luxembourg","Total","Females","Number","423"
"2019","Ireland","Luxembourg","Total","Total","Number","1,909"
"2019","Ireland","Luxembourg","Total","Males","Number","1,019"
"2019","Ireland","Luxembourg","Total","Females","Number","890"
"2019","Greece","Luxembourg","Total","Total","Number","3,442"
"2019","Greece","Luxembourg","Total","Males","Number","1,713"
"2019","Greece","Luxembourg","Total","Females","Number","1,729"
"2019","Spain","Luxembourg","Total","Total","Number","6,801"
"2019","Spain","Luxembourg","Total","Males","Number","3,494"
"2019","Spain","Luxembourg","Total","Females","Number","3,307"
"2019","France","Luxembourg","Total","Total","Number","46,938"
"2019","France","Luxembourg","Total","Males","Number","24,809"
"2019","France","Luxembourg","Total","Females","Number","22,129"
"2019","Croatia","Luxembourg","Total","Total","Number","1,118"
"2019","Croatia","Luxembourg","Total","Males","Number","576"
"2019","Croatia","Luxembourg","Total","Females","Number","542"
"2019","Italy","Luxembourg","Total","Total","Number","22,465"
"2019","Italy","Luxembourg","Total","Males","Number","12,509"
"2019","Italy","Luxembourg","Total","Females","Number","9,956"
"2019","Cyprus","Luxembourg","Total","Total","Number","167"
"2019","Cyprus","Luxembourg","Total","Males","Number","75"
"2019","Cyprus","Luxembourg","Total","Females","Number","92"
"2019","Latvia","Luxembourg","Total","Total","Number","727"
"2019","Latvia","Luxembourg","Total","Males","Number","254"
"2019","Latvia","Luxembourg","Total","Females","Number","473"
"2019","Lithuania","Luxembourg","Total","Total","Number","1,007"
"2019","Lithuania","Luxembourg","Total","Males","Number","371"
"2019","Lithuania","Luxembourg","Total","Females","Number","636"
"2019","Luxembourg","Luxembourg","Total","Total","Number","322,430"
"2019","Luxembourg","Luxembourg","Total","Males","Number","158,708"
"2019","Luxembourg","Luxembourg","Total","Females","Number","163,722"
"2019","Hungary","Luxembourg","Total","Total","Number","1,880"
"2019","Hungary","Luxembourg","Total","Males","Number","813"
"2019","Hungary","Luxembourg","Total","Females","Number","1,067"
"2019","Malta","Luxembourg","Total","Total","Number","272"
"2019","Malta","Luxembourg","Total","Males","Number","131"
"2019","Malta","Luxembourg","Total","Females","Number","141"
"2019","Netherlands","Luxembourg","Total","Total","Number","4,207"
"2019","Netherlands","Luxembourg","Total","Males","Number","2,268"
"2019","Netherlands","Luxembourg","Total","Females","Number","1,939"
"2019","Austria","Luxembourg","Total","Total","Number","936"
"2019","Austria","Luxembourg","Total","Males","Number","422"
"2019","Austria","Luxembourg","Total","Females","Number","514"
"2019","Poland","Luxembourg","Total","Total","Number","4,708"
"2019","Poland","Luxembourg","Total","Males","Number","2,063"
"2019","Poland","Luxembourg","Total","Females","Number","2,645"
"2019","Portugal","Luxembourg","Total","Total","Number","95,516"
"2019","Portugal","Luxembourg","Total","Males","Number","50,406"
"2019","Portugal","Luxembourg","Total","Females","Number","45,110"
"2019","Romania","Luxembourg","Total","Total","Number","5,209"
"2019","Romania","Luxembourg","Total","Males","Number","2,136"
"2019","Romania","Luxembourg","Total","Females","Number","3,073"
"2019","Slovenia","Luxembourg","Total","Total","Number","750"
"2019","Slovenia","Luxembourg","Total","Males","Number","343"
"2019","Slovenia","Luxembourg","Total","Females","Number","407"
"2019","Slovakia","Luxembourg","Total","Total","Number","950"
"2019","Slovakia","Luxembourg","Total","Males","Number","383"
"2019","Slovakia","Luxembourg","Total","Females","Number","567"
"2019","Finland","Luxembourg","Total","Total","Number","1,304"
"2019","Finland","Luxembourg","Total","Males","Number","580"
"2019","Finland","Luxembourg","Total","Females","Number","724"
"2019","Sweden","Luxembourg","Total","Total","Number","1,749"
"2019","Sweden","Luxembourg","Total","Males","Number","897"
"2019","Sweden","Luxembourg","Total","Females","Number","852"
"2019","Iceland","Luxembourg","Total","Total","Number","376"
"2019","Iceland","Luxembourg","Total","Males","Number","180"
"2019","Iceland","Luxembourg","Total","Females","Number","196"
"2019","Liechtenstein","Luxembourg","Total","Total","Number","5"
"2019","Liechtenstein","Luxembourg","Total","Males","Number","2"
"2019","Liechtenstein","Luxembourg","Total","Females","Number","3"
"2019","Norway","Luxembourg","Total","Total","Number","262"
"2019","Norway","Luxembourg","Total","Males","Number","139"
"2019","Norway","Luxembourg","Total","Females","Number","123"
"2019","Switzerland","Luxembourg","Total","Total","Number","536"
"2019","Switzerland","Luxembourg","Total","Males","Number","268"
"2019","Switzerland","Luxembourg","Total","Females","Number","268"
"2019","North Macedonia","Luxembourg","Total","Total","Number","402"
"2019","North Macedonia","Luxembourg","Total","Males","Number","183"
"2019","North Macedonia","Luxembourg","Total","Females","Number","219"
"2019","Turkey","Luxembourg","Total","Total","Number","962"
"2019","Turkey","Luxembourg","Total","Males","Number","515"
"2019","Turkey","Luxembourg","Total","Females","Number","447"
"2019","Andorra","Luxembourg","Total","Total","Number","8"
"2019","Andorra","Luxembourg","Total","Males","Number","5"
"2019","Andorra","Luxembourg","Total","Females","Number","3"
"2019","Albania","Luxembourg","Total","Total","Number","626"
"2019","Albania","Luxembourg","Total","Males","Number","316"
"2019","Albania","Luxembourg","Total","Females","Number","310"
"2019","Bosnia and Herzegovina","Luxembourg","Total","Total","Number","1,622"
"2019","Bosnia and Herzegovina","Luxembourg","Total","Males","Number","793"
"2019","Bosnia and Herzegovina","Luxembourg","Total","Females","Number","829"
"2019","Belarus","Luxembourg","Total","Total","Number","199"
"2019","Belarus","Luxembourg","Total","Males","Number","45"
"2019","Belarus","Luxembourg","Total","Females","Number","154"
"2019","Faroes (DK)","Luxembourg","Total","Total","Number","0"
"2019","Faroes (DK)","Luxembourg","Total","Males","Number","0"
"2019","Faroes (DK)","Luxembourg","Total","Females","Number","0"
"2019","Guernsey","Luxembourg","Total","Total","Number","0"
"2019","Guernsey","Luxembourg","Total","Males","Number","0"
"2019","Guernsey","Luxembourg","Total","Females","Number","0"
"2019","Gibraltar (UK)","Luxembourg","Total","Total","Number","0"
"2019","Gibraltar (UK)","Luxembourg","Total","Males","Number","0"
"2019","Gibraltar (UK)","Luxembourg","Total","Females","Number","0"
"2019","Isle of Man","Luxembourg","Total","Total","Number","0"
"2019","Isle of Man","Luxembourg","Total","Males","Number","0"
"2019","Isle of Man","Luxembourg","Total","Females","Number","0"
"2019","Jersey","Luxembourg","Total","Total","Number","0"
"2019","Jersey","Luxembourg","Total","Males","Number","0"
"2019","Jersey","Luxembourg","Total","Females","Number","0"
"2019","Monaco","Luxembourg","Total","Total","Number","2"
"2019","Monaco","Luxembourg","Total","Males","Number","2"
"2019","Monaco","Luxembourg","Total","Females","Number","0"
"2019","Moldova","Luxembourg","Total","Total","Number","74"
"2019","Moldova","Luxembourg","Total","Males","Number","25"
"2019","Moldova","Luxembourg","Total","Females","Number","49"
"2019","Montenegro","Luxembourg","Total","Total","Number","3,589"
"2019","Montenegro","Luxembourg","Total","Males","Number","1,858"
"2019","Montenegro","Luxembourg","Total","Females","Number","1,731"
"2019","Serbia","Luxembourg","Total","Total","Number","2,008"
"2019","Serbia","Luxembourg","Total","Males","Number","923"
"2019","Serbia","Luxembourg","Total","Females","Number","1,085"
"2019","Russia","Luxembourg","Total","Total","Number","1,782"
"2019","Russia","Luxembourg","Total","Males","Number","652"
"2019","Russia","Luxembourg","Total","Females","Number","1,130"
"2019","San Marino","Luxembourg","Total","Total","Number","1"
"2019","San Marino","Luxembourg","Total","Males","Number","0"
"2019","San Marino","Luxembourg","Total","Females","Number","1"
"2019","Ukraine","Luxembourg","Total","Total","Number","912"
"2019","Ukraine","Luxembourg","Total","Males","Number","287"
"2019","Ukraine","Luxembourg","Total","Females","Number","625"
"2019","Vatican City State","Luxembourg","Total","Total","Number","0"
"2019","Vatican City State","Luxembourg","Total","Males","Number","0"
"2019","Vatican City State","Luxembourg","Total","Females","Number","0"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Luxembourg","Total","Total","Number","1,434"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Luxembourg","Total","Males","Number","735"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Luxembourg","Total","Females","Number","699"
"2019","United Kingdom","Luxembourg","Total","Total","Number","5,766"
"2019","United Kingdom","Luxembourg","Total","Males","Number","3,294"
"2019","United Kingdom","Luxembourg","Total","Females","Number","2,472"
