"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2011","Total","Montenegro","Total","Total","Number","619,872"
"2011","Total","Montenegro","Total","Males","Number","306,140"
"2011","Total","Montenegro","Total","Females","Number","313,732"
"2011","Belgium","Montenegro","Total","Total","Number","1"
"2011","Belgium","Montenegro","Total","Males","Number","0"
"2011","Belgium","Montenegro","Total","Females","Number","1"
"2011","Bulgaria","Montenegro","Total","Total","Number","32"
"2011","Bulgaria","Montenegro","Total","Males","Number","5"
"2011","Bulgaria","Montenegro","Total","Females","Number","27"
"2011","Czechia","Montenegro","Total","Total","Number","23"
"2011","Czechia","Montenegro","Total","Males","Number","4"
"2011","Czechia","Montenegro","Total","Females","Number","19"
"2011","Denmark","Montenegro","Total","Total","Number","3"
"2011","Denmark","Montenegro","Total","Males","Number","1"
"2011","Denmark","Montenegro","Total","Females","Number","2"
"2011","Germany (until 1990 former territory of the FRG)","Montenegro","Total","Total","Number","157"
"2011","Germany (until 1990 former territory of the FRG)","Montenegro","Total","Males","Number","60"
"2011","Germany (until 1990 former territory of the FRG)","Montenegro","Total","Females","Number","97"
"2011","Estonia","Montenegro","Total","Total","Number","3"
"2011","Estonia","Montenegro","Total","Males","Number","1"
"2011","Estonia","Montenegro","Total","Females","Number","2"
"2011","Ireland","Montenegro","Total","Total","Number","15"
"2011","Ireland","Montenegro","Total","Males","Number","7"
"2011","Ireland","Montenegro","Total","Females","Number","8"
"2011","Greece","Montenegro","Total","Total","Number","3"
"2011","Greece","Montenegro","Total","Males","Number","2"
"2011","Greece","Montenegro","Total","Females","Number","1"
"2011","Spain","Montenegro","Total","Total","Number","1"
"2011","Spain","Montenegro","Total","Males","Number","1"
"2011","Spain","Montenegro","Total","Females","Number","0"
"2011","France","Montenegro","Total","Total","Number","33"
"2011","France","Montenegro","Total","Males","Number","15"
"2011","France","Montenegro","Total","Females","Number","18"
"2011","Croatia","Montenegro","Total","Total","Number","1,413"
"2011","Croatia","Montenegro","Total","Males","Number","615"
"2011","Croatia","Montenegro","Total","Females","Number","797"
"2011","Italy","Montenegro","Total","Total","Number","53"
"2011","Italy","Montenegro","Total","Males","Number","31"
"2011","Italy","Montenegro","Total","Females","Number","22"
"2011","Cyprus","Montenegro","Total","Total","Number","0"
"2011","Cyprus","Montenegro","Total","Males","Number","0"
"2011","Cyprus","Montenegro","Total","Females","Number","0"
"2011","Latvia","Montenegro","Total","Total","Number","2"
"2011","Latvia","Montenegro","Total","Males","Number","1"
"2011","Latvia","Montenegro","Total","Females","Number","1"
"2011","Lithuania","Montenegro","Total","Total","Number","3"
"2011","Lithuania","Montenegro","Total","Males","Number","0"
"2011","Lithuania","Montenegro","Total","Females","Number","3"
"2011","Luxembourg","Montenegro","Total","Total","Number","1"
"2011","Luxembourg","Montenegro","Total","Males","Number","1"
"2011","Luxembourg","Montenegro","Total","Females","Number","0"
"2011","Hungary","Montenegro","Total","Total","Number","12"
"2011","Hungary","Montenegro","Total","Males","Number","7"
"2011","Hungary","Montenegro","Total","Females","Number","5"
"2011","Malta","Montenegro","Total","Total","Number","0"
"2011","Malta","Montenegro","Total","Males","Number","0"
"2011","Malta","Montenegro","Total","Females","Number","0"
"2011","Netherlands","Montenegro","Total","Total","Number","19"
"2011","Netherlands","Montenegro","Total","Males","Number","9"
"2011","Netherlands","Montenegro","Total","Females","Number","10"
"2011","Austria","Montenegro","Total","Total","Number","22"
