"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Netherlands","Total","Total","Number","17,282,163"
"2019","Total","Netherlands","Total","Males","Number","8,581,086"
"2019","Total","Netherlands","Total","Females","Number","8,701,077"
"2019","Belgium","Netherlands","Total","Total","Number","34,447"
"2019","Belgium","Netherlands","Total","Males","Number","16,120"
"2019","Belgium","Netherlands","Total","Females","Number","18,327"
"2019","Bulgaria","Netherlands","Total","Total","Number","31,208"
"2019","Bulgaria","Netherlands","Total","Males","Number","15,916"
"2019","Bulgaria","Netherlands","Total","Females","Number","15,292"
"2019","Czechia","Netherlands","Total","Total","Number","4,144"
"2019","Czechia","Netherlands","Total","Males","Number","1,619"
"2019","Czechia","Netherlands","Total","Females","Number","2,525"
"2019","Denmark","Netherlands","Total","Total","Number","3,370"
"2019","Denmark","Netherlands","Total","Males","Number","1,484"
"2019","Denmark","Netherlands","Total","Females","Number","1,886"
"2019","Germany (until 1990 former territory of the FRG)","Netherlands","Total","Total","Number","77,092"
"2019","Germany (until 1990 former territory of the FRG)","Netherlands","Total","Males","Number","34,049"
"2019","Germany (until 1990 former territory of the FRG)","Netherlands","Total","Females","Number","43,043"
"2019","Estonia","Netherlands","Total","Total","Number","1,383"
"2019","Estonia","Netherlands","Total","Males","Number","472"
"2019","Estonia","Netherlands","Total","Females","Number","911"
"2019","Ireland","Netherlands","Total","Total","Number","6,873"
"2019","Ireland","Netherlands","Total","Males","Number","3,794"
"2019","Ireland","Netherlands","Total","Females","Number","3,079"
"2019","Greece","Netherlands","Total","Total","Number","18,863"
"2019","Greece","Netherlands","Total","Males","Number","10,762"
"2019","Greece","Netherlands","Total","Females","Number","8,101"
"2019","Spain","Netherlands","Total","Total","Number","32,726"
"2019","Spain","Netherlands","Total","Males","Number","16,153"
"2019","Spain","Netherlands","Total","Females","Number","16,573"
"2019","France","Netherlands","Total","Total","Number","25,759"
"2019","France","Netherlands","Total","Males","Number","12,424"
"2019","France","Netherlands","Total","Females","Number","13,335"
"2019","Croatia","Netherlands","Total","Total","Number","3,024"
"2019","Croatia","Netherlands","Total","Males","Number","1,457"
"2019","Croatia","Netherlands","Total","Females","Number","1,567"
"2019","Italy","Netherlands","Total","Total","Number","39,065"
"2019","Italy","Netherlands","Total","Males","Number","22,958"
"2019","Italy","Netherlands","Total","Females","Number","16,107"
"2019","Cyprus","Netherlands","Total","Total","Number","843"
"2019","Cyprus","Netherlands","Total","Males","Number","446"
"2019","Cyprus","Netherlands","Total","Females","Number","397"
"2019","Latvia","Netherlands","Total","Total","Number","5,215"
"2019","Latvia","Netherlands","Total","Males","Number","2,443"
"2019","Latvia","Netherlands","Total","Females","Number","2,772"
"2019","Lithuania","Netherlands","Total","Total","Number","7,706"
"2019","Lithuania","Netherlands","Total","Males","Number","3,402"
"2019","Lithuania","Netherlands","Total","Females","Number","4,304"
"2019","Luxembourg","Netherlands","Total","Total","Number","833"
"2019","Luxembourg","Netherlands","Total","Males","Number","403"
"2019","Luxembourg","Netherlands","Total","Females","Number","430"
"2019","Hungary","Netherlands","Total","Total","Number","15,478"
"2019","Hungary","Netherlands","Total","Males","Number","7,585"
"2019","Hungary","Netherlands","Total","Females","Number","7,893"
"2019","Malta","Netherlands","Total","Total","Number","331"
"2019","Malta","Netherlands","Total","Males","Number","157"
"2019","Malta","Netherlands","Total","Females","Number","174"
"2019","Netherlands","Netherlands","Total","Total","Number","16,171,304"
"2019","Netherlands","Netherlands","Total","Males","Number","8,024,287"
"2019","Netherlands","Netherlands","Total","Females","Number","8,147,017"
"2019","Austria","Netherlands","Total","Total","Number","4,671"
"2019","Austria","Netherlands","Total","Males","Number","2,015"
"2019","Austria","Netherlands","Total","Females","Number","2,656"
"2019","Poland","Netherlands","Total","Total","Number","144,001"
"2019","Poland","Netherlands","Total","Males","Number","71,692"
"2019","Poland","Netherlands","Total","Females","Number","72,309"
"2019","Portugal","Netherlands","Total","Total","Number","22,398"
"2019","Portugal","Netherlands","Total","Males","Number","12,222"
"2019","Portugal","Netherlands","Total","Females","Number","10,176"
"2019","Romania","Netherlands","Total","Total","Number","24,878"
"2019","Romania","Netherlands","Total","Males","Number","12,594"
"2019","Romania","Netherlands","Total","Females","Number","12,284"
"2019","Slovenia","Netherlands","Total","Total","Number","1,349"
"2019","Slovenia","Netherlands","Total","Males","Number","592"
"2019","Slovenia","Netherlands","Total","Females","Number","757"
"2019","Slovakia","Netherlands","Total","Total","Number","6,289"
"2019","Slovakia","Netherlands","Total","Males","Number","3,104"
"2019","Slovakia","Netherlands","Total","Females","Number","3,185"
"2019","Finland","Netherlands","Total","Total","Number","3,636"
"2019","Finland","Netherlands","Total","Males","Number","1,197"
"2019","Finland","Netherlands","Total","Females","Number","2,439"
"2019","Sweden","Netherlands","Total","Total","Number","4,849"
"2019","Sweden","Netherlands","Total","Males","Number","2,067"
"2019","Sweden","Netherlands","Total","Females","Number","2,782"
"2019","Iceland","Netherlands","Total","Total","Number","548"
"2019","Iceland","Netherlands","Total","Males","Number","268"
"2019","Iceland","Netherlands","Total","Females","Number","280"
"2019","Liechtenstein","Netherlands","Total","Total","Number","5"
"2019","Liechtenstein","Netherlands","Total","Males","Number","2"
"2019","Liechtenstein","Netherlands","Total","Females","Number","3"
"2019","Norway","Netherlands","Total","Total","Number","2,454"
"2019","Norway","Netherlands","Total","Males","Number","1,062"
"2019","Norway","Netherlands","Total","Females","Number","1,392"
"2019","Switzerland","Netherlands","Total","Total","Number","2,810"
"2019","Switzerland","Netherlands","Total","Males","Number","1,309"
"2019","Switzerland","Netherlands","Total","Females","Number","1,501"
"2019","North Macedonia","Netherlands","Total","Total","Number","1,162"
"2019","North Macedonia","Netherlands","Total","Males","Number","539"
"2019","North Macedonia","Netherlands","Total","Females","Number","623"
"2019","Turkey","Netherlands","Total","Total","Number","74,834"
"2019","Turkey","Netherlands","Total","Males","Number","38,217"
"2019","Turkey","Netherlands","Total","Females","Number","36,617"
"2019","Andorra","Netherlands","Total","Total","Number","5"
"2019","Andorra","Netherlands","Total","Males","Number","4"
"2019","Andorra","Netherlands","Total","Females","Number","1"
"2019","Albania","Netherlands","Total","Total","Number","1,247"
"2019","Albania","Netherlands","Total","Males","Number","649"
"2019","Albania","Netherlands","Total","Females","Number","598"
"2019","Bosnia and Herzegovina","Netherlands","Total","Total","Number","2,165"
"2019","Bosnia and Herzegovina","Netherlands","Total","Males","Number","1,003"
"2019","Bosnia and Herzegovina","Netherlands","Total","Females","Number","1,162"
"2019","Belarus","Netherlands","Total","Total","Number","1,264"
"2019","Belarus","Netherlands","Total","Males","Number","455"
"2019","Belarus","Netherlands","Total","Females","Number","809"
"2019","Faroes (DK)","Netherlands","Total","Total","Number","0"
"2019","Faroes (DK)","Netherlands","Total","Males","Number","0"
"2019","Faroes (DK)","Netherlands","Total","Females","Number","0"
"2019","Guernsey","Netherlands","Total","Total","Number","0"
"2019","Guernsey","Netherlands","Total","Males","Number","0"
"2019","Guernsey","Netherlands","Total","Females","Number","0"
"2019","Gibraltar (UK)","Netherlands","Total","Total","Number","0"
"2019","Gibraltar (UK)","Netherlands","Total","Males","Number","0"
"2019","Gibraltar (UK)","Netherlands","Total","Females","Number","0"
"2019","Isle of Man","Netherlands","Total","Total","Number","0"
"2019","Isle of Man","Netherlands","Total","Males","Number","0"
"2019","Isle of Man","Netherlands","Total","Females","Number","0"
"2019","Jersey","Netherlands","Total","Total","Number","0"
"2019","Jersey","Netherlands","Total","Males","Number","0"
"2019","Jersey","Netherlands","Total","Females","Number","0"
"2019","Monaco","Netherlands","Total","Total","Number","2"
"2019","Monaco","Netherlands","Total","Males","Number","0"
"2019","Monaco","Netherlands","Total","Females","Number","2"
"2019","Moldova","Netherlands","Total","Total","Number","518"
"2019","Moldova","Netherlands","Total","Males","Number","195"
"2019","Moldova","Netherlands","Total","Females","Number","323"
"2019","Montenegro","Netherlands","Total","Total","Number","391"
"2019","Montenegro","Netherlands","Total","Males","Number","183"
"2019","Montenegro","Netherlands","Total","Females","Number","208"
"2019","Serbia","Netherlands","Total","Total","Number","2,796"
"2019","Serbia","Netherlands","Total","Males","Number","1,261"
"2019","Serbia","Netherlands","Total","Females","Number","1,535"
"2019","Russia","Netherlands","Total","Total","Number","10,767"
"2019","Russia","Netherlands","Total","Males","Number","3,842"
"2019","Russia","Netherlands","Total","Females","Number","6,925"
"2019","San Marino","Netherlands","Total","Total","Number","2"
"2019","San Marino","Netherlands","Total","Males","Number","0"
"2019","San Marino","Netherlands","Total","Females","Number","2"
"2019","Ukraine","Netherlands","Total","Total","Number","6,268"
"2019","Ukraine","Netherlands","Total","Males","Number","2,308"
"2019","Ukraine","Netherlands","Total","Females","Number","3,960"
"2019","Vatican City State","Netherlands","Total","Total","Number","0"
"2019","Vatican City State","Netherlands","Total","Males","Number","0"
"2019","Vatican City State","Netherlands","Total","Females","Number","0"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Netherlands","Total","Total","Number","0"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Netherlands","Total","Males","Number","0"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Netherlands","Total","Females","Number","0"
"2019","United Kingdom","Netherlands","Total","Total","Number","47,291"
"2019","United Kingdom","Netherlands","Total","Males","Number","27,670"
"2019","United Kingdom","Netherlands","Total","Females","Number","19,621"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Netherlands","Total","Total","Number","23"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Netherlands","Total","Males","Number","12"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Netherlands","Total","Females","Number","11"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Netherlands","Total","Total","Number","2"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Netherlands","Total","Males","Number","1"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Netherlands","Total","Females","Number","1"
"2019","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Netherlands","Total","Total","Number","7"
