"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Norway","Total","Total","Number","5,328,212"
"2019","Total","Norway","Total","Males","Number","2,685,073"
"2019","Total","Norway","Total","Females","Number","2,643,139"
"2019","Belgium","Norway","Total","Total","Number","1,284"
"2019","Belgium","Norway","Total","Males","Number","691"
"2019","Belgium","Norway","Total","Females","Number","593"
"2019","Bulgaria","Norway","Total","Total","Number","7,349"
"2019","Bulgaria","Norway","Total","Males","Number","4,151"
"2019","Bulgaria","Norway","Total","Females","Number","3,198"
"2019","Czechia","Norway","Total","Total","Number","1,898"
"2019","Czechia","Norway","Total","Males","Number","992"
"2019","Czechia","Norway","Total","Females","Number","906"
"2019","Denmark","Norway","Total","Total","Number","22,838"
"2019","Denmark","Norway","Total","Males","Number","12,454"
"2019","Denmark","Norway","Total","Females","Number","10,384"
"2019","Germany (until 1990 former territory of the FRG)","Norway","Total","Total","Number","24,835"
"2019","Germany (until 1990 former territory of the FRG)","Norway","Total","Males","Number","13,149"
"2019","Germany (until 1990 former territory of the FRG)","Norway","Total","Females","Number","11,686"
"2019","Estonia","Norway","Total","Total","Number","4,801"
"2019","Estonia","Norway","Total","Males","Number","2,658"
"2019","Estonia","Norway","Total","Females","Number","2,143"
"2019","Ireland","Norway","Total","Total","Number","1,188"
"2019","Ireland","Norway","Total","Males","Number","738"
"2019","Ireland","Norway","Total","Females","Number","450"
"2019","Greece","Norway","Total","Total","Number","3,922"
"2019","Greece","Norway","Total","Males","Number","2,365"
"2019","Greece","Norway","Total","Females","Number","1,557"
"2019","Spain","Norway","Total","Total","Number","8,811"
"2019","Spain","Norway","Total","Males","Number","4,976"
"2019","Spain","Norway","Total","Females","Number","3,835"
"2019","France","Norway","Total","Total","Number","6,243"
"2019","France","Norway","Total","Males","Number","3,502"
"2019","France","Norway","Total","Females","Number","2,741"
"2019","Croatia","Norway","Total","Total","Number","3,534"
"2019","Croatia","Norway","Total","Males","Number","1,992"
"2019","Croatia","Norway","Total","Females","Number","1,542"
"2019","Italy","Norway","Total","Total","Number","5,788"
"2019","Italy","Norway","Total","Males","Number","3,667"
"2019","Italy","Norway","Total","Females","Number","2,121"
"2019","Cyprus","Norway","Total","Total","Number","104"
"2019","Cyprus","Norway","Total","Males","Number","61"
"2019","Cyprus","Norway","Total","Females","Number","43"
"2019","Latvia","Norway","Total","Total","Number","11,494"
"2019","Latvia","Norway","Total","Males","Number","6,588"
"2019","Latvia","Norway","Total","Females","Number","4,906"
"2019","Lithuania","Norway","Total","Total","Number","45,067"
"2019","Lithuania","Norway","Total","Males","Number","25,840"
"2019","Lithuania","Norway","Total","Females","Number","19,227"
"2019","Luxembourg","Norway","Total","Total","Number","40"
"2019","Luxembourg","Norway","Total","Males","Number","23"
"2019","Luxembourg","Norway","Total","Females","Number","17"
"2019","Hungary","Norway","Total","Total","Number","3,808"
"2019","Hungary","Norway","Total","Males","Number","1,922"
"2019","Hungary","Norway","Total","Females","Number","1,886"
"2019","Malta","Norway","Total","Total","Number","60"
"2019","Malta","Norway","Total","Males","Number","31"
"2019","Malta","Norway","Total","Females","Number","29"
"2019","Netherlands","Norway","Total","Total","Number","8,662"
"2019","Netherlands","Norway","Total","Males","Number","4,826"
"2019","Netherlands","Norway","Total","Females","Number","3,836"
"2019","Austria","Norway","Total","Total","Number","1,314"
"2019","Austria","Norway","Total","Males","Number","683"
"2019","Austria","Norway","Total","Females","Number","631"
"2019","Poland","Norway","Total","Total","Number","105,192"
"2019","Poland","Norway","Total","Males","Number","66,912"
"2019","Poland","Norway","Total","Females","Number","38,280"
"2019","Portugal","Norway","Total","Total","Number","4,698"
"2019","Portugal","Norway","Total","Males","Number","2,890"
"2019","Portugal","Norway","Total","Females","Number","1,808"
"2019","Romania","Norway","Total","Total","Number","15,564"
"2019","Romania","Norway","Total","Males","Number","8,858"
"2019","Romania","Norway","Total","Females","Number","6,706"
"2019","Slovenia","Norway","Total","Total","Number","401"
"2019","Slovenia","Norway","Total","Males","Number","220"
"2019","Slovenia","Norway","Total","Females","Number","181"
"2019","Slovakia","Norway","Total","Total","Number","4,006"
"2019","Slovakia","Norway","Total","Males","Number","2,423"
"2019","Slovakia","Norway","Total","Females","Number","1,583"
"2019","Finland","Norway","Total","Total","Number","6,752"
"2019","Finland","Norway","Total","Males","Number","2,695"
"2019","Finland","Norway","Total","Females","Number","4,057"
"2019","Sweden","Norway","Total","Total","Number","43,965"
"2019","Sweden","Norway","Total","Males","Number","22,988"
"2019","Sweden","Norway","Total","Females","Number","20,977"
"2019","Iceland","Norway","Total","Total","Number","8,625"
"2019","Iceland","Norway","Total","Males","Number","4,428"
"2019","Iceland","Norway","Total","Females","Number","4,197"
"2019","Liechtenstein","Norway","Total","Total","Number","6"
"2019","Liechtenstein","Norway","Total","Males","Number","2"
"2019","Liechtenstein","Norway","Total","Females","Number","4"
"2019","Norway","Norway","Total","Total","Number","4,743,979"
"2019","Norway","Norway","Total","Males","Number","2,368,932"
"2019","Norway","Norway","Total","Females","Number","2,375,047"
"2019","Switzerland","Norway","Total","Total","Number","1,464"
