"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Poland","Total","Total","Number","37,972,812"
"2019","Total","Poland","Total","Males","Number","18,380,376"
"2019","Total","Poland","Total","Females","Number","19,592,436"
"2019","Belgium","Poland","Total","Total","Number","660"
"2019","Belgium","Poland","Total","Males","Number",":"
"2019","Belgium","Poland","Total","Females","Number",":"
"2019","Bulgaria","Poland","Total","Total","Number","2,327"
"2019","Bulgaria","Poland","Total","Males","Number",":"
"2019","Bulgaria","Poland","Total","Females","Number",":"
"2019","Czechia","Poland","Total","Total","Number","1,123"
"2019","Czechia","Poland","Total","Males","Number",":"
"2019","Czechia","Poland","Total","Females","Number",":"
"2019","Denmark","Poland","Total","Total","Number","464"
"2019","Denmark","Poland","Total","Males","Number",":"
"2019","Denmark","Poland","Total","Females","Number",":"
"2019","Germany (until 1990 former territory of the FRG)","Poland","Total","Total","Number","6,382"
"2019","Germany (until 1990 former territory of the FRG)","Poland","Total","Males","Number",":"
"2019","Germany (until 1990 former territory of the FRG)","Poland","Total","Females","Number",":"
"2019","Estonia","Poland","Total","Total","Number","69"
"2019","Estonia","Poland","Total","Males","Number",":"
"2019","Estonia","Poland","Total","Females","Number",":"
"2019","Ireland","Poland","Total","Total","Number","347"
"2019","Ireland","Poland","Total","Males","Number",":"
"2019","Ireland","Poland","Total","Females","Number",":"
"2019","Greece","Poland","Total","Total","Number","754"
"2019","Greece","Poland","Total","Males","Number",":"
"2019","Greece","Poland","Total","Females","Number",":"
"2019","Spain","Poland","Total","Total","Number","1,263"
"2019","Spain","Poland","Total","Males","Number",":"
"2019","Spain","Poland","Total","Females","Number",":"
"2019","France","Poland","Total","Total","Number","2,165"
"2019","France","Poland","Total","Males","Number",":"
"2019","France","Poland","Total","Females","Number",":"
"2019","Croatia","Poland","Total","Total","Number","287"
"2019","Croatia","Poland","Total","Males","Number",":"
"2019","Croatia","Poland","Total","Females","Number",":"
"2019","Italy","Poland","Total","Total","Number","3,775"
"2019","Italy","Poland","Total","Males","Number",":"
"2019","Italy","Poland","Total","Females","Number",":"
"2019","Cyprus","Poland","Total","Total","Number","40"
"2019","Cyprus","Poland","Total","Males","Number",":"
"2019","Cyprus","Poland","Total","Females","Number",":"
"2019","Latvia","Poland","Total","Total","Number","340"
"2019","Latvia","Poland","Total","Males","Number",":"
"2019","Latvia","Poland","Total","Females","Number",":"
"2019","Lithuania","Poland","Total","Total","Number","1,259"
"2019","Lithuania","Poland","Total","Males","Number",":"
"2019","Lithuania","Poland","Total","Females","Number",":"
"2019","Luxembourg","Poland","Total","Total","Number","14"
"2019","Luxembourg","Poland","Total","Males","Number",":"
"2019","Luxembourg","Poland","Total","Females","Number",":"
"2019","Hungary","Poland","Total","Total","Number","853"
"2019","Hungary","Poland","Total","Males","Number",":"
"2019","Hungary","Poland","Total","Females","Number",":"
"2019","Malta","Poland","Total","Total","Number","23"
"2019","Malta","Poland","Total","Males","Number",":"
"2019","Malta","Poland","Total","Females","Number",":"
"2019","Netherlands","Poland","Total","Total","Number","1,581"
"2019","Netherlands","Poland","Total","Males","Number",":"
"2019","Netherlands","Poland","Total","Females","Number",":"
