"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Portugal","Total","Total","Number","10,276,617"
"2019","Total","Portugal","Total","Males","Number","4,852,366"
"2019","Total","Portugal","Total","Females","Number","5,424,251"
"2019","Belgium","Portugal","Total","Total","Number","4,147"
"2019","Belgium","Portugal","Total","Males","Number","2,279"
"2019","Belgium","Portugal","Total","Females","Number","1,868"
"2019","Bulgaria","Portugal","Total","Total","Number","6,931"
"2019","Bulgaria","Portugal","Total","Males","Number","3,391"
"2019","Bulgaria","Portugal","Total","Females","Number","3,540"
"2019","Czechia","Portugal","Total","Total","Number","463"
"2019","Czechia","Portugal","Total","Males","Number","160"
"2019","Czechia","Portugal","Total","Females","Number","303"
"2019","Denmark","Portugal","Total","Total","Number","979"
"2019","Denmark","Portugal","Total","Males","Number","584"
"2019","Denmark","Portugal","Total","Females","Number","395"
"2019","Germany (until 1990 former territory of the FRG)","Portugal","Total","Total","Number","12,817"
"2019","Germany (until 1990 former territory of the FRG)","Portugal","Total","Males","Number","6,690"
"2019","Germany (until 1990 former territory of the FRG)","Portugal","Total","Females","Number","6,127"
"2019","Estonia","Portugal","Total","Total","Number","228"
"2019","Estonia","Portugal","Total","Males","Number","61"
"2019","Estonia","Portugal","Total","Females","Number","167"
"2019","Ireland","Portugal","Total","Total","Number","1,752"
"2019","Ireland","Portugal","Total","Males","Number","1,001"
"2019","Ireland","Portugal","Total","Females","Number","751"
"2019","Greece","Portugal","Total","Total","Number","516"
"2019","Greece","Portugal","Total","Males","Number","249"
"2019","Greece","Portugal","Total","Females","Number","267"
"2019","Spain","Portugal","Total","Total","Number","14,066"
"2019","Spain","Portugal","Total","Males","Number","7,171"
"2019","Spain","Portugal","Total","Females","Number","6,895"
"2019","France","Portugal","Total","Total","Number","19,771"
"2019","France","Portugal","Total","Males","Number","10,596"
"2019","France","Portugal","Total","Females","Number","9,175"
"2019","Croatia","Portugal","Total","Total","Number","350"
"2019","Croatia","Portugal","Total","Males","Number","178"
"2019","Croatia","Portugal","Total","Females","Number","172"
"2019","Italy","Portugal","Total","Total","Number","18,862"
"2019","Italy","Portugal","Total","Males","Number","11,122"
"2019","Italy","Portugal","Total","Females","Number","7,740"
"2019","Cyprus","Portugal","Total","Total","Number","59"
"2019","Cyprus","Portugal","Total","Males","Number","28"
"2019","Cyprus","Portugal","Total","Females","Number","31"
"2019","Latvia","Portugal","Total","Total","Number","443"
"2019","Latvia","Portugal","Total","Males","Number","135"
"2019","Latvia","Portugal","Total","Females","Number","308"
"2019","Lithuania","Portugal","Total","Total","Number","748"
"2019","Lithuania","Portugal","Total","Males","Number","232"
"2019","Lithuania","Portugal","Total","Females","Number","516"
"2019","Luxembourg","Portugal","Total","Total","Number","237"
"2019","Luxembourg","Portugal","Total","Males","Number","125"
"2019","Luxembourg","Portugal","Total","Females","Number","112"
"2019","Hungary","Portugal","Total","Total","Number","748"
"2019","Hungary","Portugal","Total","Males","Number","266"
"2019","Hungary","Portugal","Total","Females","Number","482"
"2019","Malta","Portugal","Total","Total","Number","47"
"2019","Malta","Portugal","Total","Males","Number","26"
"2019","Malta","Portugal","Total","Females","Number","21"
"2019","Netherlands","Portugal","Total","Total","Number","8,984"
"2019","Netherlands","Portugal","Total","Males","Number","4,825"
"2019","Netherlands","Portugal","Total","Females","Number","4,159"
"2019","Austria","Portugal","Total","Total","Number","1,119"
"2019","Austria","Portugal","Total","Males","Number","580"
