"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Romania","Total","Total","Number","19,414,458"
"2019","Total","Romania","Total","Males","Number","9,500,450"
"2019","Total","Romania","Total","Females","Number","9,914,008"
"2019","Belgium","Romania","Total","Total","Number","985"
"2019","Belgium","Romania","Total","Males","Number","790"
"2019","Belgium","Romania","Total","Females","Number","195"
"2019","Bulgaria","Romania","Total","Total","Number","2,814"
"2019","Bulgaria","Romania","Total","Males","Number","1,941"
"2019","Bulgaria","Romania","Total","Females","Number","873"
"2019","Czechia","Romania","Total","Total","Number","543"
"2019","Czechia","Romania","Total","Males","Number","332"
"2019","Czechia","Romania","Total","Females","Number","211"
"2019","Denmark","Romania","Total","Total","Number","435"
"2019","Denmark","Romania","Total","Males","Number","341"
"2019","Denmark","Romania","Total","Females","Number","94"
"2019","Germany (until 1990 former territory of the FRG)","Romania","Total","Total","Number","6,571"
"2019","Germany (until 1990 former territory of the FRG)","Romania","Total","Males","Number","4,617"
"2019","Germany (until 1990 former territory of the FRG)","Romania","Total","Females","Number","1,954"
"2019","Estonia","Romania","Total","Total","Number","134"
"2019","Estonia","Romania","Total","Males","Number","57"
"2019","Estonia","Romania","Total","Females","Number","77"
"2019","Ireland","Romania","Total","Total","Number","451"
"2019","Ireland","Romania","Total","Males","Number","287"
"2019","Ireland","Romania","Total","Females","Number","164"
"2019","Greece","Romania","Total","Total","Number","3,606"
"2019","Greece","Romania","Total","Males","Number","2,676"
"2019","Greece","Romania","Total","Females","Number","930"
"2019","Spain","Romania","Total","Total","Number","2,278"
"2019","Spain","Romania","Total","Males","Number","1,787"
"2019","Spain","Romania","Total","Females","Number","491"
"2019","France","Romania","Total","Total","Number","7,683"
"2019","France","Romania","Total","Males","Number","4,951"
"2019","France","Romania","Total","Females","Number","2,732"
"2019","Croatia","Romania","Total","Total","Number","544"
"2019","Croatia","Romania","Total","Males","Number","409"
"2019","Croatia","Romania","Total","Females","Number","135"
"2019","Italy","Romania","Total","Total","Number","15,185"
"2019","Italy","Romania","Total","Males","Number","13,306"
"2019","Italy","Romania","Total","Females","Number","1,879"
"2019","Cyprus","Romania","Total","Total","Number","201"
"2019","Cyprus","Romania","Total","Males","Number","139"
"2019","Cyprus","Romania","Total","Females","Number","62"
"2019","Latvia","Romania","Total","Total","Number","276"
"2019","Latvia","Romania","Total","Males","Number","107"
"2019","Latvia","Romania","Total","Females","Number","169"
"2019","Lithuania","Romania","Total","Total","Number","461"
"2019","Lithuania","Romania","Total","Males","Number","225"
"2019","Lithuania","Romania","Total","Females","Number","236"
"2019","Luxembourg","Romania","Total","Total","Number","74"
"2019","Luxembourg","Romania","Total","Males","Number","29"
"2019","Luxembourg","Romania","Total","Females","Number","45"
"2019","Hungary","Romania","Total","Total","Number","4,446"
"2019","Hungary","Romania","Total","Males","Number","3,080"
"2019","Hungary","Romania","Total","Females","Number","1,366"
"2019","Malta","Romania","Total","Total","Number","70"
"2019","Malta","Romania","Total","Males","Number","26"
"2019","Malta","Romania","Total","Females","Number","44"
"2019","Netherlands","Romania","Total","Total","Number","2,007"
"2019","Netherlands","Romania","Total","Males","Number","1,498"
"2019","Netherlands","Romania","Total","Females","Number","509"
"2019","Austria","Romania","Total","Total","Number","2,000"
"2019","Austria","Romania","Total","Males","Number","1,481"
"2019","Austria","Romania","Total","Females","Number","519"
"2019","Poland","Romania","Total","Total","Number","2,791"
"2019","Poland","Romania","Total","Males","Number","1,796"
"2019","Poland","Romania","Total","Females","Number","995"
"2019","Portugal","Romania","Total","Total","Number","1,501"
"2019","Portugal","Romania","Total","Males","Number","1,092"
"2019","Portugal","Romania","Total","Females","Number","409"
"2019","Romania","Romania","Total","Total","Number","19,293,182"
"2019","Romania","Romania","Total","Males","Number","9,419,122"
"2019","Romania","Romania","Total","Females","Number","9,874,060"
"2019","Slovenia","Romania","Total","Total","Number","127"
"2019","Slovenia","Romania","Total","Males","Number","52"
"2019","Slovenia","Romania","Total","Females","Number","75"
"2019","Slovakia","Romania","Total","Total","Number","774"
"2019","Slovakia","Romania","Total","Males","Number","428"
"2019","Slovakia","Romania","Total","Females","Number","346"
"2019","Finland","Romania","Total","Total","Number","406"
"2019","Finland","Romania","Total","Males","Number","210"
"2019","Finland","Romania","Total","Females","Number","196"
"2019","Sweden","Romania","Total","Total","Number","1,360"
"2019","Sweden","Romania","Total","Males","Number","857"
"2019","Sweden","Romania","Total","Females","Number","503"
"2019","Iceland","Romania","Total","Total","Number","101"
"2019","Iceland","Romania","Total","Males","Number","22"
"2019","Iceland","Romania","Total","Females","Number","79"
"2019","Liechtenstein","Romania","Total","Total","Number","352"
"2019","Liechtenstein","Romania","Total","Males","Number","240"
"2019","Liechtenstein","Romania","Total","Females","Number","112"
"2019","Norway","Romania","Total","Total","Number","351"
"2019","Norway","Romania","Total","Males","Number","197"
"2019","Norway","Romania","Total","Females","Number","154"
"2019","Switzerland","Romania","Total","Total","Number","345"
"2019","Switzerland","Romania","Total","Males","Number","176"
"2019","Switzerland","Romania","Total","Females","Number","169"
"2019","North Macedonia","Romania","Total","Total","Number","210"
"2019","North Macedonia","Romania","Total","Males","Number","133"
"2019","North Macedonia","Romania","Total","Females","Number","77"
"2019","Turkey","Romania","Total","Total","Number","7,636"
"2019","Turkey","Romania","Total","Males","Number","6,044"
"2019","Turkey","Romania","Total","Females","Number","1,592"
"2019","Andorra","Romania","Total","Total","Number","1"
"2019","Andorra","Romania","Total","Males","Number","1"
"2019","Andorra","Romania","Total","Females","Number","0"
"2019","Albania","Romania","Total","Total","Number","910"
"2019","Albania","Romania","Total","Males","Number","682"
"2019","Albania","Romania","Total","Females","Number","228"
"2019","Bosnia and Herzegovina","Romania","Total","Total","Number","92"
"2019","Bosnia and Herzegovina","Romania","Total","Males","Number","62"
"2019","Bosnia and Herzegovina","Romania","Total","Females","Number","30"
"2019","Belarus","Romania","Total","Total","Number","103"
"2019","Belarus","Romania","Total","Males","Number","21"
"2019","Belarus","Romania","Total","Females","Number","82"
"2019","Faroes (DK)","Romania","Total","Total","Number","0"
"2019","Faroes (DK)","Romania","Total","Males","Number","0"
"2019","Faroes (DK)","Romania","Total","Females","Number","0"
"2019","Guernsey","Romania","Total","Total","Number","0"
"2019","Guernsey","Romania","Total","Males","Number","0"
"2019","Guernsey","Romania","Total","Females","Number","0"
"2019","Gibraltar (UK)","Romania","Total","Total","Number","0"
"2019","Gibraltar (UK)","Romania","Total","Males","Number","0"
"2019","Gibraltar (UK)","Romania","Total","Females","Number","0"
"2019","Isle of Man","Romania","Total","Total","Number","0"
"2019","Isle of Man","Romania","Total","Males","Number","0"
"2019","Isle of Man","Romania","Total","Females","Number","0"
"2019","Jersey","Romania","Total","Total","Number","0"
"2019","Jersey","Romania","Total","Males","Number","0"
"2019","Jersey","Romania","Total","Females","Number","0"
"2019","Monaco","Romania","Total","Total","Number","1"
"2019","Monaco","Romania","Total","Males","Number","0"
"2019","Monaco","Romania","Total","Females","Number","1"
"2019","Moldova","Romania","Total","Total","Number","9,346"
"2019","Moldova","Romania","Total","Males","Number","3,141"
"2019","Moldova","Romania","Total","Females","Number","6,205"
"2019","Montenegro","Romania","Total","Total","Number","32"
"2019","Montenegro","Romania","Total","Males","Number","23"
"2019","Montenegro","Romania","Total","Females","Number","9"
"2019","Serbia","Romania","Total","Total","Number","1,661"
"2019","Serbia","Romania","Total","Males","Number","1,075"
"2019","Serbia","Romania","Total","Females","Number","586"
"2019","Russia","Romania","Total","Total","Number","822"
"2019","Russia","Romania","Total","Males","Number","212"
"2019","Russia","Romania","Total","Females","Number","610"
