"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Slovenia","Total","Total","Number","2,080,908"
"2019","Total","Slovenia","Total","Males","Number","1,038,656"
"2019","Total","Slovenia","Total","Females","Number","1,042,252"
"2019","Belgium","Slovenia","Total","Total","Number","86"
"2019","Belgium","Slovenia","Total","Males","Number","63"
"2019","Belgium","Slovenia","Total","Females","Number","23"
"2019","Bulgaria","Slovenia","Total","Total","Number","3,409"
"2019","Bulgaria","Slovenia","Total","Males","Number","2,484"
"2019","Bulgaria","Slovenia","Total","Females","Number","925"
"2019","Czechia","Slovenia","Total","Total","Number","174"
"2019","Czechia","Slovenia","Total","Males","Number","46"
"2019","Czechia","Slovenia","Total","Females","Number","128"
"2019","Denmark","Slovenia","Total","Total","Number","35"
"2019","Denmark","Slovenia","Total","Males","Number","18"
"2019","Denmark","Slovenia","Total","Females","Number","17"
"2019","Germany (until 1990 former territory of the FRG)","Slovenia","Total","Total","Number","933"
"2019","Germany (until 1990 former territory of the FRG)","Slovenia","Total","Males","Number","482"
"2019","Germany (until 1990 former territory of the FRG)","Slovenia","Total","Females","Number","451"
"2019","Estonia","Slovenia","Total","Total","Number","23"
"2019","Estonia","Slovenia","Total","Males","Number","9"
"2019","Estonia","Slovenia","Total","Females","Number","14"
"2019","Ireland","Slovenia","Total","Total","Number","57"
"2019","Ireland","Slovenia","Total","Males","Number","38"
"2019","Ireland","Slovenia","Total","Females","Number","19"
"2019","Greece","Slovenia","Total","Total","Number","57"
"2019","Greece","Slovenia","Total","Males","Number","38"
"2019","Greece","Slovenia","Total","Females","Number","19"
"2019","Spain","Slovenia","Total","Total","Number","145"
"2019","Spain","Slovenia","Total","Males","Number","83"
"2019","Spain","Slovenia","Total","Females","Number","62"
"2019","France","Slovenia","Total","Total","Number","299"
"2019","France","Slovenia","Total","Males","Number","189"
"2019","France","Slovenia","Total","Females","Number","110"
"2019","Croatia","Slovenia","Total","Total","Number","9,802"
"2019","Croatia","Slovenia","Total","Males","Number","6,246"
"2019","Croatia","Slovenia","Total","Females","Number","3,556"
"2019","Italy","Slovenia","Total","Total","Number","2,416"
"2019","Italy","Slovenia","Total","Males","Number","1,606"
"2019","Italy","Slovenia","Total","Females","Number","810"
"2019","Cyprus","Slovenia","Total","Total","Number","15"
"2019","Cyprus","Slovenia","Total","Males","Number","9"
