"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Spain","Total","Total","Number","46,937,060"
"2019","Total","Spain","Total","Males","Number","23,009,259"
"2019","Total","Spain","Total","Females","Number","23,927,801"
"2019","Belgium","Spain","Total","Total","Number","36,980"
"2019","Belgium","Spain","Total","Males","Number","19,115"
"2019","Belgium","Spain","Total","Females","Number","17,865"
"2019","Bulgaria","Spain","Total","Total","Number","123,335"
"2019","Bulgaria","Spain","Total","Males","Number","61,610"
"2019","Bulgaria","Spain","Total","Females","Number","61,725"
"2019","Czechia","Spain","Total","Total","Number",":"
"2019","Czechia","Spain","Total","Males","Number",":"
"2019","Czechia","Spain","Total","Females","Number",":"
"2019","Denmark","Spain","Total","Total","Number","11,432"
"2019","Denmark","Spain","Total","Males","Number","5,898"
"2019","Denmark","Spain","Total","Females","Number","5,534"
"2019","Germany (until 1990 former territory of the FRG)","Spain","Total","Total","Number","138,321"
"2019","Germany (until 1990 former territory of the FRG)","Spain","Total","Males","Number","67,912"
"2019","Germany (until 1990 former territory of the FRG)","Spain","Total","Females","Number","70,409"
"2019","Estonia","Spain","Total","Total","Number",":"
"2019","Estonia","Spain","Total","Males","Number",":"
"2019","Estonia","Spain","Total","Females","Number",":"
"2019","Ireland","Spain","Total","Total","Number","16,428"
"2019","Ireland","Spain","Total","Males","Number","8,689"
"2019","Ireland","Spain","Total","Females","Number","7,739"
"2019","Greece","Spain","Total","Total","Number",":"
"2019","Greece","Spain","Total","Males","Number",":"
"2019","Greece","Spain","Total","Females","Number",":"
"2019","Spain","Spain","Total","Total","Number","42,096,853"
"2019","Spain","Spain","Total","Males","Number","20,624,448"
"2019","Spain","Spain","Total","Females","Number","21,472,405"
"2019","France","Spain","Total","Total","Number","111,509"
"2019","France","Spain","Total","Males","Number","55,867"
"2019","France","Spain","Total","Females","Number","55,642"
"2019","Croatia","Spain","Total","Total","Number",":"
"2019","Croatia","Spain","Total","Males","Number",":"
"2019","Croatia","Spain","Total","Females","Number",":"
"2019","Italy","Spain","Total","Total","Number","243,749"
"2019","Italy","Spain","Total","Males","Number","136,452"
"2019","Italy","Spain","Total","Females","Number","107,297"
"2019","Cyprus","Spain","Total","Total","Number",":"
"2019","Cyprus","Spain","Total","Males","Number",":"
"2019","Cyprus","Spain","Total","Females","Number",":"
"2019","Latvia","Spain","Total","Total","Number",":"
"2019","Latvia","Spain","Total","Males","Number",":"
"2019","Latvia","Spain","Total","Females","Number",":"
"2019","Lithuania","Spain","Total","Total","Number","17,439"
"2019","Lithuania","Spain","Total","Males","Number","7,676"
"2019","Lithuania","Spain","Total","Females","Number","9,763"
"2019","Luxembourg","Spain","Total","Total","Number",":"
"2019","Luxembourg","Spain","Total","Males","Number",":"
"2019","Luxembourg","Spain","Total","Females","Number",":"
"2019","Hungary","Spain","Total","Total","Number",":"
"2019","Hungary","Spain","Total","Males","Number",":"
"2019","Hungary","Spain","Total","Females","Number",":"
"2019","Malta","Spain","Total","Total","Number",":"
"2019","Malta","Spain","Total","Males","Number",":"
"2019","Malta","Spain","Total","Females","Number",":"
"2019","Netherlands","Spain","Total","Total","Number","49,626"
"2019","Netherlands","Spain","Total","Males","Number","25,974"
"2019","Netherlands","Spain","Total","Females","Number","23,652"
"2019","Austria","Spain","Total","Total","Number",":"
"2019","Austria","Spain","Total","Males","Number",":"
"2019","Austria","Spain","Total","Females","Number",":"
"2019","Poland","Spain","Total","Total","Number","65,067"
"2019","Poland","Spain","Total","Males","Number","29,412"
"2019","Poland","Spain","Total","Females","Number","35,655"
"2019","Portugal","Spain","Total","Total","Number","102,837"
"2019","Portugal","Spain","Total","Males","Number","59,904"
"2019","Portugal","Spain","Total","Females","Number","42,933"
"2019","Romania","Spain","Total","Total","Number","670,187"
"2019","Romania","Spain","Total","Males","Number","332,007"
"2019","Romania","Spain","Total","Females","Number","338,180"
"2019","Slovenia","Spain","Total","Total","Number",":"
"2019","Slovenia","Spain","Total","Males","Number",":"
"2019","Slovenia","Spain","Total","Females","Number",":"
"2019","Slovakia","Spain","Total","Total","Number",":"
"2019","Slovakia","Spain","Total","Males","Number",":"
"2019","Slovakia","Spain","Total","Females","Number",":"
"2019","Finland","Spain","Total","Total","Number","12,422"
"2019","Finland","Spain","Total","Males","Number","5,584"
"2019","Finland","Spain","Total","Females","Number","6,838"
"2019","Sweden","Spain","Total","Total","Number","22,659"
"2019","Sweden","Spain","Total","Males","Number","10,747"
"2019","Sweden","Spain","Total","Females","Number","11,912"
"2019","Iceland","Spain","Total","Total","Number",":"
"2019","Iceland","Spain","Total","Males","Number",":"
"2019","Iceland","Spain","Total","Females","Number",":"
"2019","Liechtenstein","Spain","Total","Total","Number",":"
"2019","Liechtenstein","Spain","Total","Males","Number",":"
