"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Sweden","Total","Total","Number","10,230,185"
"2019","Total","Sweden","Total","Males","Number","5,142,438"
"2019","Total","Sweden","Total","Females","Number","5,087,747"
"2019","Belgium","Sweden","Total","Total","Number","1,925"
"2019","Belgium","Sweden","Total","Males","Number","1,086"
"2019","Belgium","Sweden","Total","Females","Number","839"
"2019","Bulgaria","Sweden","Total","Total","Number","7,021"
"2019","Bulgaria","Sweden","Total","Males","Number","4,059"
"2019","Bulgaria","Sweden","Total","Females","Number","2,962"
"2019","Czechia","Sweden","Total","Total","Number","1,695"
"2019","Czechia","Sweden","Total","Males","Number","835"
"2019","Czechia","Sweden","Total","Females","Number","860"
"2019","Denmark","Sweden","Total","Total","Number","31,466"
"2019","Denmark","Sweden","Total","Males","Number","18,054"
"2019","Denmark","Sweden","Total","Females","Number","13,412"
"2019","Germany (until 1990 former territory of the FRG)","Sweden","Total","Total","Number","29,213"
"2019","Germany (until 1990 former territory of the FRG)","Sweden","Total","Males","Number","14,789"
"2019","Germany (until 1990 former territory of the FRG)","Sweden","Total","Females","Number","14,424"
"2019","Estonia","Sweden","Total","Total","Number","4,930"
"2019","Estonia","Sweden","Total","Males","Number","2,472"
"2019","Estonia","Sweden","Total","Females","Number","2,458"
"2019","Ireland","Sweden","Total","Total","Number","2,616"
"2019","Ireland","Sweden","Total","Males","Number","1,848"
"2019","Ireland","Sweden","Total","Females","Number","768"
"2019","Greece","Sweden","Total","Total","Number","10,731"
"2019","Greece","Sweden","Total","Males","Number","6,045"
"2019","Greece","Sweden","Total","Females","Number","4,686"
"2019","Spain","Sweden","Total","Total","Number","11,035"
"2019","Spain","Sweden","Total","Males","Number","6,188"
"2019","Spain","Sweden","Total","Females","Number","4,847"
"2019","France","Sweden","Total","Total","Number","8,855"
"2019","France","Sweden","Total","Males","Number","5,224"
"2019","France","Sweden","Total","Females","Number","3,631"
"2019","Croatia","Sweden","Total","Total","Number","8,880"
"2019","Croatia","Sweden","Total","Males","Number","5,176"
"2019","Croatia","Sweden","Total","Females","Number","3,704"
"2019","Italy","Sweden","Total","Total","Number","10,589"
"2019","Italy","Sweden","Total","Males","Number","6,542"
"2019","Italy","Sweden","Total","Females","Number","4,047"
"2019","Cyprus","Sweden","Total","Total","Number","352"
"2019","Cyprus","Sweden","Total","Males","Number","187"
"2019","Cyprus","Sweden","Total","Females","Number","165"
"2019","Latvia","Sweden","Total","Total","Number","6,381"
"2019","Latvia","Sweden","Total","Males","Number","3,431"
"2019","Latvia","Sweden","Total","Females","Number","2,950"
"2019","Lithuania","Sweden","Total","Total","Number","14,608"
"2019","Lithuania","Sweden","Total","Males","Number","8,043"
"2019","Lithuania","Sweden","Total","Females","Number","6,565"
"2019","Luxembourg","Sweden","Total","Total","Number","69"
"2019","Luxembourg","Sweden","Total","Males","Number","32"
"2019","Luxembourg","Sweden","Total","Females","Number","37"
"2019","Hungary","Sweden","Total","Total","Number","7,436"
"2019","Hungary","Sweden","Total","Males","Number","3,868"
"2019","Hungary","Sweden","Total","Females","Number","3,568"
"2019","Malta","Sweden","Total","Total","Number","123"
"2019","Malta","Sweden","Total","Males","Number","73"
"2019","Malta","Sweden","Total","Females","Number","50"
"2019","Netherlands","Sweden","Total","Total","Number","11,137"
"2019","Netherlands","Sweden","Total","Males","Number","6,289"
"2019","Netherlands","Sweden","Total","Females","Number","4,848"
"2019","Austria","Sweden","Total","Total","Number","3,417"
"2019","Austria","Sweden","Total","Males","Number","1,960"
"2019","Austria","Sweden","Total","Females","Number","1,457"
"2019","Poland","Sweden","Total","Total","Number","54,869"
"2019","Poland","Sweden","Total","Males","Number","30,271"
"2019","Poland","Sweden","Total","Females","Number","24,598"
"2019","Portugal","Sweden","Total","Total","Number","2,924"
"2019","Portugal","Sweden","Total","Males","Number","1,611"
"2019","Portugal","Sweden","Total","Females","Number","1,313"
"2019","Romania","Sweden","Total","Total","Number","18,159"
"2019","Romania","Sweden","Total","Males","Number","10,078"
"2019","Romania","Sweden","Total","Females","Number","8,081"
"2019","Slovenia","Sweden","Total","Total","Number","932"
"2019","Slovenia","Sweden","Total","Males","Number","481"
"2019","Slovenia","Sweden","Total","Females","Number","451"
"2019","Slovakia","Sweden","Total","Total","Number","1,679"
"2019","Slovakia","Sweden","Total","Males","Number","817"
"2019","Slovakia","Sweden","Total","Females","Number","862"
"2019","Finland","Sweden","Total","Total","Number","50,957"
"2019","Finland","Sweden","Total","Males","Number","21,367"
"2019","Finland","Sweden","Total","Females","Number","29,590"
"2019","Sweden","Sweden","Total","Total","Number","9,297,919"
"2019","Sweden","Sweden","Total","Males","Number","4,635,342"
"2019","Sweden","Sweden","Total","Females","Number","4,662,577"
"2019","Iceland","Sweden","Total","Total","Number","4,468"
"2019","Iceland","Sweden","Total","Males","Number","2,273"
"2019","Iceland","Sweden","Total","Females","Number","2,195"
"2019","Liechtenstein","Sweden","Total","Total","Number","9"
"2019","Liechtenstein","Sweden","Total","Males","Number","5"
"2019","Liechtenstein","Sweden","Total","Females","Number","4"
"2019","Norway","Sweden","Total","Total","Number","34,461"
"2019","Norway","Sweden","Total","Males","Number","16,699"
"2019","Norway","Sweden","Total","Females","Number","17,762"
"2019","Switzerland","Sweden","Total","Total","Number","2,023"
"2019","Switzerland","Sweden","Total","Males","Number","1,112"
"2019","Switzerland","Sweden","Total","Females","Number","911"
"2019","North Macedonia","Sweden","Total","Total","Number","2,691"
"2019","North Macedonia","Sweden","Total","Males","Number","1,272"
"2019","North Macedonia","Sweden","Total","Females","Number","1,419"
"2019","Turkey","Sweden","Total","Total","Number","12,248"
"2019","Turkey","Sweden","Total","Males","Number","7,388"
"2019","Turkey","Sweden","Total","Females","Number","4,860"
"2019","Andorra","Sweden","Total","Total","Number","2"
"2019","Andorra","Sweden","Total","Males","Number","0"
"2019","Andorra","Sweden","Total","Females","Number","2"
"2019","Albania","Sweden","Total","Total","Number","4,115"
"2019","Albania","Sweden","Total","Males","Number","2,379"
"2019","Albania","Sweden","Total","Females","Number","1,736"
"2019","Bosnia and Herzegovina","Sweden","Total","Total","Number","6,473"
"2019","Bosnia and Herzegovina","Sweden","Total","Males","Number","3,462"
"2019","Bosnia and Herzegovina","Sweden","Total","Females","Number","3,011"
"2019","Belarus","Sweden","Total","Total","Number","1,564"
"2019","Belarus","Sweden","Total","Males","Number","683"
"2019","Belarus","Sweden","Total","Females","Number","881"
"2019","Faroes (DK)","Sweden","Total","Total","Number","0"
"2019","Faroes (DK)","Sweden","Total","Males","Number","0"
"2019","Faroes (DK)","Sweden","Total","Females","Number","0"
"2019","Guernsey","Sweden","Total","Total","Number","0"
"2019","Guernsey","Sweden","Total","Males","Number","0"
"2019","Guernsey","Sweden","Total","Females","Number","0"
"2019","Gibraltar (UK)","Sweden","Total","Total","Number","0"
"2019","Gibraltar (UK)","Sweden","Total","Males","Number","0"
"2019","Gibraltar (UK)","Sweden","Total","Females","Number","0"
"2019","Isle of Man","Sweden","Total","Total","Number","0"
"2019","Isle of Man","Sweden","Total","Males","Number","0"
"2019","Isle of Man","Sweden","Total","Females","Number","0"
"2019","Jersey","Sweden","Total","Total","Number","0"
"2019","Jersey","Sweden","Total","Males","Number","0"
"2019","Jersey","Sweden","Total","Females","Number","0"
"2019","Monaco","Sweden","Total","Total","Number","3"
"2019","Monaco","Sweden","Total","Males","Number","1"
"2019","Monaco","Sweden","Total","Females","Number","2"
"2019","Moldova","Sweden","Total","Total","Number","262"
"2019","Moldova","Sweden","Total","Males","Number","89"
"2019","Moldova","Sweden","Total","Females","Number","173"
"2019","Montenegro","Sweden","Total","Total","Number","689"
"2019","Montenegro","Sweden","Total","Males","Number","377"
"2019","Montenegro","Sweden","Total","Females","Number","312"
"2019","Serbia","Sweden","Total","Total","Number","11,870"
"2019","Serbia","Sweden","Total","Males","Number","6,052"
"2019","Serbia","Sweden","Total","Females","Number","5,818"
"2019","Russia","Sweden","Total","Total","Number","8,000"
"2019","Russia","Sweden","Total","Males","Number","3,291"
"2019","Russia","Sweden","Total","Females","Number","4,709"
"2019","San Marino","Sweden","Total","Total","Number","0"
"2019","San Marino","Sweden","Total","Males","Number","0"
"2019","San Marino","Sweden","Total","Females","Number","0"
"2019","Ukraine","Sweden","Total","Total","Number","5,116"
"2019","Ukraine","Sweden","Total","Males","Number","2,073"
"2019","Ukraine","Sweden","Total","Females","Number","3,043"
"2019","Vatican City State","Sweden","Total","Total","Number","0"
"2019","Vatican City State","Sweden","Total","Males","Number","0"
"2019","Vatican City State","Sweden","Total","Females","Number","0"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Sweden","Total","Total","Number","1,183"
