"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Switzerland","Total","Total","Number","8,544,527"
"2019","Total","Switzerland","Total","Males","Number","4,237,121"
"2019","Total","Switzerland","Total","Females","Number","4,307,406"
"2019","Belgium","Switzerland","Total","Total","Number","13,474"
"2019","Belgium","Switzerland","Total","Males","Number","7,347"
"2019","Belgium","Switzerland","Total","Females","Number","6,127"
"2019","Bulgaria","Switzerland","Total","Total","Number","10,054"
"2019","Bulgaria","Switzerland","Total","Males","Number","5,181"
"2019","Bulgaria","Switzerland","Total","Females","Number","4,873"
"2019","Czechia","Switzerland","Total","Total","Number","8,407"
"2019","Czechia","Switzerland","Total","Males","Number","3,854"
"2019","Czechia","Switzerland","Total","Females","Number","4,553"
"2019","Denmark","Switzerland","Total","Total","Number","4,457"
"2019","Denmark","Switzerland","Total","Males","Number","2,333"
"2019","Denmark","Switzerland","Total","Females","Number","2,124"
"2019","Germany (until 1990 former territory of the FRG)","Switzerland","Total","Total","Number","306,188"
"2019","Germany (until 1990 former territory of the FRG)","Switzerland","Total","Males","Number","168,323"
"2019","Germany (until 1990 former territory of the FRG)","Switzerland","Total","Females","Number","137,865"
"2019","Estonia","Switzerland","Total","Total","Number","908"
"2019","Estonia","Switzerland","Total","Males","Number","314"
"2019","Estonia","Switzerland","Total","Females","Number","594"
"2019","Ireland","Switzerland","Total","Total","Number","4,503"
"2019","Ireland","Switzerland","Total","Males","Number","2,566"
"2019","Ireland","Switzerland","Total","Females","Number","1,937"
"2019","Greece","Switzerland","Total","Total","Number","14,439"
"2019","Greece","Switzerland","Total","Males","Number","7,989"
"2019","Greece","Switzerland","Total","Females","Number","6,450"
"2019","Spain","Switzerland","Total","Total","Number","83,657"
"2019","Spain","Switzerland","Total","Males","Number","45,432"
"2019","Spain","Switzerland","Total","Females","Number","38,225"
"2019","France","Switzerland","Total","Total","Number","134,844"
"2019","France","Switzerland","Total","Males","Number","73,528"
"2019","France","Switzerland","Total","Females","Number","61,316"
"2019","Croatia","Switzerland","Total","Total","Number","28,227"
"2019","Croatia","Switzerland","Total","Males","Number","14,077"
"2019","Croatia","Switzerland","Total","Females","Number","14,150"
"2019","Italy","Switzerland","Total","Total","Number","319,313"
"2019","Italy","Switzerland","Total","Males","Number","184,945"
"2019","Italy","Switzerland","Total","Females","Number","134,368"
"2019","Cyprus","Switzerland","Total","Total","Number","600"
"2019","Cyprus","Switzerland","Total","Males","Number","307"
"2019","Cyprus","Switzerland","Total","Females","Number","293"
"2019","Latvia","Switzerland","Total","Total","Number","2,568"
"2019","Latvia","Switzerland","Total","Males","Number","893"
"2019","Latvia","Switzerland","Total","Females","Number","1,675"
"2019","Lithuania","Switzerland","Total","Total","Number","2,619"
"2019","Lithuania","Switzerland","Total","Males","Number","944"
"2019","Lithuania","Switzerland","Total","Females","Number","1,675"
"2019","Luxembourg","Switzerland","Total","Total","Number","1,458"
"2019","Luxembourg","Switzerland","Total","Males","Number","837"
"2019","Luxembourg","Switzerland","Total","Females","Number","621"
"2019","Hungary","Switzerland","Total","Total","Number","22,634"
"2019","Hungary","Switzerland","Total","Males","Number","11,552"
"2019","Hungary","Switzerland","Total","Females","Number","11,082"
"2019","Malta","Switzerland","Total","Total","Number","313"
"2019","Malta","Switzerland","Total","Males","Number","169"
"2019","Malta","Switzerland","Total","Females","Number","144"
"2019","Netherlands","Switzerland","Total","Total","Number","20,974"
"2019","Netherlands","Switzerland","Total","Males","Number","11,538"
"2019","Netherlands","Switzerland","Total","Females","Number","9,436"
"2019","Austria","Switzerland","Total","Total","Number","42,964"
"2019","Austria","Switzerland","Total","Males","Number","22,908"
"2019","Austria","Switzerland","Total","Females","Number","20,056"
"2019","Poland","Switzerland","Total","Total","Number","31,624"
"2019","Poland","Switzerland","Total","Males","Number","15,889"
"2019","Poland","Switzerland","Total","Females","Number","15,735"
"2019","Portugal","Switzerland","Total","Total","Number","263,311"
"2019","Portugal","Switzerland","Total","Males","Number","145,231"
"2019","Portugal","Switzerland","Total","Females","Number","118,080"
"2019","Romania","Switzerland","Total","Total","Number","16,870"
"2019","Romania","Switzerland","Total","Males","Number","6,399"
"2019","Romania","Switzerland","Total","Females","Number","10,471"
"2019","Slovenia","Switzerland","Total","Total","Number","7,123"
