"TIME","CITIZEN","GEO","AGE","SEX","UNIT","Value"
"2019","Total","United Kingdom","Total","Total","Number","66,647,112"
"2019","Total","United Kingdom","Total","Males","Number","32,901,036"
"2019","Total","United Kingdom","Total","Females","Number","33,746,076"
"2019","Belgium","United Kingdom","Total","Total","Number","23,135"
"2019","Belgium","United Kingdom","Total","Males","Number","10,526"
"2019","Belgium","United Kingdom","Total","Females","Number","12,609"
"2019","Bulgaria","United Kingdom","Total","Total","Number","102,345"
"2019","Bulgaria","United Kingdom","Total","Males","Number","49,201"
"2019","Bulgaria","United Kingdom","Total","Females","Number","53,144"
"2019","Czechia","United Kingdom","Total","Total","Number","46,573"
"2019","Czechia","United Kingdom","Total","Males","Number","15,686"
"2019","Czechia","United Kingdom","Total","Females","Number","30,887"
"2019","Denmark","United Kingdom","Total","Total","Number","28,823"
"2019","Denmark","United Kingdom","Total","Males","Number","14,824"
"2019","Denmark","United Kingdom","Total","Females","Number","13,999"
"2019","Germany (until 1990 former territory of the FRG)","United Kingdom","Total","Total","Number","142,368"
"2019","Germany (until 1990 former territory of the FRG)","United Kingdom","Total","Males","Number","58,862"
"2019","Germany (until 1990 former territory of the FRG)","United Kingdom","Total","Females","Number","83,506"
"2019","Estonia","United Kingdom","Total","Total","Number","12,400"
"2019","Estonia","United Kingdom","Total","Males","Number","3,451"
"2019","Estonia","United Kingdom","Total","Females","Number","8,949"
"2019","Ireland","United Kingdom","Total","Total","Number","336,256"
"2019","Ireland","United Kingdom","Total","Males","Number","146,286"
"2019","Ireland","United Kingdom","Total","Females","Number","189,970"
"2019","Greece","United Kingdom","Total","Total","Number","74,970"
"2019","Greece","United Kingdom","Total","Males","Number","45,807"
"2019","Greece","United Kingdom","Total","Females","Number","29,163"
"2019","Spain","United Kingdom","Total","Total","Number","179,188"
"2019","Spain","United Kingdom","Total","Males","Number","85,755"
"2019","Spain","United Kingdom","Total","Females","Number","93,433"
"2019","France","United Kingdom","Total","Total","Number","185,569"
"2019","France","United Kingdom","Total","Males","Number","86,604"
"2019","France","United Kingdom","Total","Females","Number","98,965"
"2019","Croatia","United Kingdom","Total","Total","Number","8,565"
"2019","Croatia","United Kingdom","Total","Males","Number","3,008"
"2019","Croatia","United Kingdom","Total","Females","Number","5,557"
"2019","Italy","United Kingdom","Total","Total","Number","304,281"
"2019","Italy","United Kingdom","Total","Males","Number","171,055"
"2019","Italy","United Kingdom","Total","Females","Number","133,226"
"2019","Cyprus","United Kingdom","Total","Total","Number","11,577"
"2019","Cyprus","United Kingdom","Total","Males","Number","4,373"
"2019","Cyprus","United Kingdom","Total","Females","Number","7,204"
"2019","Latvia","United Kingdom","Total","Total","Number","99,325"
"2019","Latvia","United Kingdom","Total","Males","Number","48,308"
"2019","Latvia","United Kingdom","Total","Females","Number","51,017"
"2019","Lithuania","United Kingdom","Total","Total","Number","217,975"
"2019","Lithuania","United Kingdom","Total","Males","Number","99,742"
"2019","Lithuania","United Kingdom","Total","Females","Number","118,233"
"2019","Luxembourg","United Kingdom","Total","Total","Number","518"
