"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Austria","Total","Total","Number","8,858,775"
"2019","Total","Austria","Total","Males","Number","4,357,033"
"2019","Total","Austria","Total","Females","Number","4,501,742"
"2019","Belgium","Austria","Total","Total","Number","3,007"
"2019","Belgium","Austria","Total","Males","Number","1,505"
"2019","Belgium","Austria","Total","Females","Number","1,502"
"2019","Bulgaria","Austria","Total","Total","Number","29,200"
"2019","Bulgaria","Austria","Total","Males","Number","13,193"
"2019","Bulgaria","Austria","Total","Females","Number","16,007"
"2019","Czechia","Austria","Total","Total","Number","37,046"
"2019","Czechia","Austria","Total","Males","Number","13,756"
"2019","Czechia","Austria","Total","Females","Number","23,290"
"2019","Denmark","Austria","Total","Total","Number","1,365"
"2019","Denmark","Austria","Total","Males","Number","606"
"2019","Denmark","Austria","Total","Females","Number","759"
"2019","Germany (until 1990 former territory of the FRG)","Austria","Total","Total","Number","232,236"
"2019","Germany (until 1990 former territory of the FRG)","Austria","Total","Males","Number","110,040"
"2019","Germany (until 1990 former territory of the FRG)","Austria","Total","Females","Number","122,196"
"2019","Estonia","Austria","Total","Total","Number","570"
"2019","Estonia","Austria","Total","Males","Number","171"
"2019","Estonia","Austria","Total","Females","Number","399"
"2019","Ireland","Austria","Total","Total","Number","1,288"
"2019","Ireland","Austria","Total","Males","Number","753"
"2019","Ireland","Austria","Total","Females","Number","535"
"2019","Greece","Austria","Total","Total","Number","6,766"
"2019","Greece","Austria","Total","Males","Number","3,933"
"2019","Greece","Austria","Total","Females","Number","2,833"
"2019","Spain","Austria","Total","Total","Number","7,560"
"2019","Spain","Austria","Total","Males","Number","3,679"
"2019","Spain","Austria","Total","Females","Number","3,881"
"2019","France","Austria","Total","Total","Number","9,166"
"2019","France","Austria","Total","Males","Number","4,227"
"2019","France","Austria","Total","Females","Number","4,939"
"2019","Croatia","Austria","Total","Total","Number","46,678"
"2019","Croatia","Austria","Total","Males","Number","22,061"
"2019","Croatia","Austria","Total","Females","Number","24,617"
"2019","Italy","Austria","Total","Total","Number","34,138"
"2019","Italy","Austria","Total","Males","Number","18,458"
"2019","Italy","Austria","Total","Females","Number","15,680"
