"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Belgium","Total","Total","Number","11,455,519"
"2019","Total","Belgium","Total","Males","Number","5,644,826"
"2019","Total","Belgium","Total","Females","Number","5,810,693"
"2019","Belgium","Belgium","Total","Total","Number","9,482,503"
"2019","Belgium","Belgium","Total","Males","Number","4,676,447"
"2019","Belgium","Belgium","Total","Females","Number","4,806,056"
"2019","Bulgaria","Belgium","Total","Total","Number","36,915"
"2019","Bulgaria","Belgium","Total","Males","Number","18,372"
"2019","Bulgaria","Belgium","Total","Females","Number","18,543"
"2019","Czechia","Belgium","Total","Total","Number","786"
"2019","Czechia","Belgium","Total","Males","Number","346"
"2019","Czechia","Belgium","Total","Females","Number","440"
"2019","Denmark","Belgium","Total","Total","Number","2,423"
"2019","Denmark","Belgium","Total","Males","Number","1,115"
"2019","Denmark","Belgium","Total","Females","Number","1,308"
"2019","Germany (until 1990 former territory of the FRG)","Belgium","Total","Total","Number","80,173"
"2019","Germany (until 1990 former territory of the FRG)","Belgium","Total","Males","Number","36,802"
"2019","Germany (until 1990 former territory of the FRG)","Belgium","Total","Females","Number","43,371"
"2019","Estonia","Belgium","Total","Total","Number","945"
"2019","Estonia","Belgium","Total","Males","Number","286"
"2019","Estonia","Belgium","Total","Females","Number","659"
"2019","Ireland","Belgium","Total","Total","Number","3,364"
"2019","Ireland","Belgium","Total","Males","Number","1,693"
"2019","Ireland","Belgium","Total","Females","Number","1,671"
"2019","Greece","Belgium","Total","Total","Number","17,873"
"2019","Greece","Belgium","Total","Males","Number","8,878"
"2019","Greece","Belgium","Total","Females","Number","8,995"
"2019","Spain","Belgium","Total","Total","Number","48,854"
"2019","Spain","Belgium","Total","Males","Number","22,932"
"2019","Spain","Belgium","Total","Females","Number","25,922"
"2019","France","Belgium","Total","Total","Number","186,113"
"2019","France","Belgium","Total","Males","Number","85,332"
"2019","France","Belgium","Total","Females","Number","100,781"
"2019","Croatia","Belgium","Total","Total","Number","549"
"2019","Croatia","Belgium","Total","Males","Number","252"
"2019","Croatia","Belgium","Total","Females","Number","297"
"2019","Italy","Belgium","Total","Total","Number","119,088"
"2019","Italy","Belgium","Total","Males","Number","61,290"
"2019","Italy","Belgium","Total","Females","Number","57,798"
"2019","Cyprus","Belgium","Total","Total","Number","548"
"2019","Cyprus","Belgium","Total","Males","Number","277"
"2019","Cyprus","Belgium","Total","Females","Number","271"
"2019","Latvia","Belgium","Total","Total","Number","1,821"
"2019","Latvia","Belgium","Total","Males","Number","651"
"2019","Latvia","Belgium","Total","Females","Number","1,170"
"2019","Lithuania","Belgium","Total","Total","Number","2,404"
"2019","Lithuania","Belgium","Total","Males","Number","816"
"2019","Lithuania","Belgium","Total","Females","Number","1,588"
"2019","Luxembourg","Belgium","Total","Total","Number","14,174"
"2019","Luxembourg","Belgium","Total","Males","Number","6,754"
"2019","Luxembourg","Belgium","Total","Females","Number","7,420"
"2019","Hungary","Belgium","Total","Total","Number","8,144"
"2019","Hungary","Belgium","Total","Males","Number","3,531"
"2019","Hungary","Belgium","Total","Females","Number","4,613"
"2019","Malta","Belgium","Total","Total","Number","480"
"2019","Malta","Belgium","Total","Males","Number","223"
"2019","Malta","Belgium","Total","Females","Number","257"
"2019","Netherlands","Belgium","Total","Total","Number","130,653"
"2019","Netherlands","Belgium","Total","Males","Number","64,868"
"2019","Netherlands","Belgium","Total","Females","Number","65,785"
