"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Bulgaria","Total","Total","Number","7,000,039"
"2019","Total","Bulgaria","Total","Males","Number","3,395,701"
"2019","Total","Bulgaria","Total","Females","Number","3,604,338"
"2019","Belgium","Bulgaria","Total","Total","Number","2,468"
"2019","Belgium","Bulgaria","Total","Males","Number","1,299"
"2019","Belgium","Bulgaria","Total","Females","Number","1,169"
"2019","Bulgaria","Bulgaria","Total","Total","Number","6,825,767"
"2019","Bulgaria","Bulgaria","Total","Males","Number","3,309,851"
"2019","Bulgaria","Bulgaria","Total","Females","Number","3,515,916"
"2019","Czechia","Bulgaria","Total","Total","Number","1,453"
"2019","Czechia","Bulgaria","Total","Males","Number","649"
"2019","Czechia","Bulgaria","Total","Females","Number","804"
"2019","Denmark","Bulgaria","Total","Total","Number","526"
"2019","Denmark","Bulgaria","Total","Males","Number","297"
"2019","Denmark","Bulgaria","Total","Females","Number","229"
"2019","Germany (until 1990 former territory of the FRG)","Bulgaria","Total","Total","Number","11,922"
"2019","Germany (until 1990 former territory of the FRG)","Bulgaria","Total","Males","Number","6,283"
"2019","Germany (until 1990 former territory of the FRG)","Bulgaria","Total","Females","Number","5,639"
"2019","Estonia","Bulgaria","Total","Total","Number","98"
"2019","Estonia","Bulgaria","Total","Males","Number","32"
"2019","Estonia","Bulgaria","Total","Females","Number","66"
"2019","Ireland","Bulgaria","Total","Total","Number","364"
"2019","Ireland","Bulgaria","Total","Males","Number","197"
"2019","Ireland","Bulgaria","Total","Females","Number","167"
"2019","Greece","Bulgaria","Total","Total","Number","7,634"
"2019","Greece","Bulgaria","Total","Males","Number","4,256"
"2019","Greece","Bulgaria","Total","Females","Number","3,378"
"2019","Spain","Bulgaria","Total","Total","Number","7,056"
"2019","Spain","Bulgaria","Total","Males","Number","3,722"
"2019","Spain","Bulgaria","Total","Females","Number","3,334"
"2019","France","Bulgaria","Total","Total","Number","2,862"
"2019","France","Bulgaria","Total","Males","Number","1,576"
"2019","France","Bulgaria","Total","Females","Number","1,286"
"2019","Croatia","Bulgaria","Total","Total","Number","119"
"2019","Croatia","Bulgaria","Total","Males","Number","70"
"2019","Croatia","Bulgaria","Total","Females","Number","49"
"2019","Italy","Bulgaria","Total","Total","Number","3,783"
"2019","Italy","Bulgaria","Total","Males","Number","2,269"
"2019","Italy","Bulgaria","Total","Females","Number","1,514"
"2019","Cyprus","Bulgaria","Total","Total","Number","1,402"
"2019","Cyprus","Bulgaria","Total","Males","Number","760"
"2019","Cyprus","Bulgaria","Total","Females","Number","642"
"2019","Latvia","Bulgaria","Total","Total","Number","207"
"2019","Latvia","Bulgaria","Total","Males","Number","49"
"2019","Latvia","Bulgaria","Total","Females","Number","158"
"2019","Lithuania","Bulgaria","Total","Total","Number","151"
"2019","Lithuania","Bulgaria","Total","Males","Number","42"
"2019","Lithuania","Bulgaria","Total","Females","Number","109"
"2019","Luxembourg","Bulgaria","Total","Total","Number","103"
"2019","Luxembourg","Bulgaria","Total","Males","Number","53"
"2019","Luxembourg","Bulgaria","Total","Females","Number","50"
"2019","Hungary","Bulgaria","Total","Total","Number","372"
"2019","Hungary","Bulgaria","Total","Males","Number","166"
"2019","Hungary","Bulgaria","Total","Females","Number","206"
"2019","Malta","Bulgaria","Total","Total","Number","157"
"2019","Malta","Bulgaria","Total","Males","Number","87"
"2019","Malta","Bulgaria","Total","Females","Number","70"
"2019","Netherlands","Bulgaria","Total","Total","Number","1,679"
"2019","Netherlands","Bulgaria","Total","Males","Number","923"
"2019","Netherlands","Bulgaria","Total","Females","Number","756"
"2019","Austria","Bulgaria","Total","Total","Number","1,837"
"2019","Austria","Bulgaria","Total","Males","Number","1,005"
"2019","Austria","Bulgaria","Total","Females","Number","832"
"2019","Poland","Bulgaria","Total","Total","Number","1,844"
"2019","Poland","Bulgaria","Total","Males","Number","643"
"2019","Poland","Bulgaria","Total","Females","Number","1,201"
"2019","Portugal","Bulgaria","Total","Total","Number","539"
"2019","Portugal","Bulgaria","Total","Males","Number","269"
"2019","Portugal","Bulgaria","Total","Females","Number","270"
"2019","Romania","Bulgaria","Total","Total","Number","3,334"
"2019","Romania","Bulgaria","Total","Males","Number","1,362"
"2019","Romania","Bulgaria","Total","Females","Number","1,972"
"2019","Slovenia","Bulgaria","Total","Total","Number","123"
"2019","Slovenia","Bulgaria","Total","Males","Number","73"
