"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Czechia","Total","Total","Number","10,649,800"
"2019","Total","Czechia","Total","Males","Number","5,244,194"
"2019","Total","Czechia","Total","Females","Number","5,405,606"
"2019","Belgium","Czechia","Total","Total","Number","769"
"2019","Belgium","Czechia","Total","Males","Number","581"
"2019","Belgium","Czechia","Total","Females","Number","188"
"2019","Bulgaria","Czechia","Total","Total","Number","14,215"
"2019","Bulgaria","Czechia","Total","Males","Number","8,987"
"2019","Bulgaria","Czechia","Total","Females","Number","5,228"
"2019","Czechia","Czechia","Total","Total","Number","10,142,749"
"2019","Czechia","Czechia","Total","Males","Number","4,952,758"
"2019","Czechia","Czechia","Total","Females","Number","5,189,991"
"2019","Denmark","Czechia","Total","Total","Number","397"
"2019","Denmark","Czechia","Total","Males","Number","292"
"2019","Denmark","Czechia","Total","Females","Number","105"
"2019","Germany (until 1990 former territory of the FRG)","Czechia","Total","Total","Number","16,856"
"2019","Germany (until 1990 former territory of the FRG)","Czechia","Total","Males","Number","13,697"
"2019","Germany (until 1990 former territory of the FRG)","Czechia","Total","Females","Number","3,159"
"2019","Estonia","Czechia","Total","Total","Number","241"
"2019","Estonia","Czechia","Total","Males","Number","106"
"2019","Estonia","Czechia","Total","Females","Number","135"
"2019","Ireland","Czechia","Total","Total","Number","647"
"2019","Ireland","Czechia","Total","Males","Number","502"
"2019","Ireland","Czechia","Total","Females","Number","145"
"2019","Greece","Czechia","Total","Total","Number","1,171"
"2019","Greece","Czechia","Total","Males","Number","841"
"2019","Greece","Czechia","Total","Females","Number","330"
"2019","Spain","Czechia","Total","Total","Number","1,430"
"2019","Spain","Czechia","Total","Males","Number","1,013"
"2019","Spain","Czechia","Total","Females","Number","417"
"2019","France","Czechia","Total","Total","Number","3,579"
"2019","France","Czechia","Total","Males","Number","2,547"
"2019","France","Czechia","Total","Females","Number","1,032"
"2019","Croatia","Czechia","Total","Total","Number","1,780"
"2019","Croatia","Czechia","Total","Males","Number","1,193"
"2019","Croatia","Czechia","Total","Females","Number","587"
"2019","Italy","Czechia","Total","Total","Number","4,587"
"2019","Italy","Czechia","Total","Males","Number","3,853"
"2019","Italy","Czechia","Total","Females","Number","734"
"2019","Cyprus","Czechia","Total","Total","Number","130"
"2019","Cyprus","Czechia","Total","Males","Number","99"
"2019","Cyprus","Czechia","Total","Females","Number","31"
"2019","Latvia","Czechia","Total","Total","Number","638"
"2019","Latvia","Czechia","Total","Males","Number","308"
"2019","Latvia","Czechia","Total","Females","Number","330"
"2019","Lithuania","Czechia","Total","Total","Number","702"
"2019","Lithuania","Czechia","Total","Males","Number","328"
"2019","Lithuania","Czechia","Total","Females","Number","374"
"2019","Luxembourg","Czechia","Total","Total","Number","25"
"2019","Luxembourg","Czechia","Total","Males","Number","19"
"2019","Luxembourg","Czechia","Total","Females","Number","6"
"2019","Hungary","Czechia","Total","Total","Number","1,590"
"2019","Hungary","Czechia","Total","Males","Number","951"
"2019","Hungary","Czechia","Total","Females","Number","639"
"2019","Malta","Czechia","Total","Total","Number","31"
"2019","Malta","Czechia","Total","Males","Number","23"
"2019","Malta","Czechia","Total","Females","Number","8"
"2019","Netherlands","Czechia","Total","Total","Number","2,855"
"2019","Netherlands","Czechia","Total","Males","Number","2,030"
"2019","Netherlands","Czechia","Total","Females","Number","825"
"2019","Austria","Czechia","Total","Total","Number","2,815"
"2019","Austria","Czechia","Total","Males","Number","2,370"
"2019","Austria","Czechia","Total","Females","Number","445"
"2019","Poland","Czechia","Total","Total","Number","20,334"
"2019","Poland","Czechia","Total","Males","Number","10,511"
"2019","Poland","Czechia","Total","Females","Number","9,823"
"2019","Portugal","Czechia","Total","Total","Number","476"
"2019","Portugal","Czechia","Total","Males","Number","331"
"2019","Portugal","Czechia","Total","Females","Number","145"
"2019","Romania","Czechia","Total","Total","Number","9,054"
"2019","Romania","Czechia","Total","Males","Number","6,395"
"2019","Romania","Czechia","Total","Females","Number","2,659"
"2019","Slovenia","Czechia","Total","Total","Number","449"
"2019","Slovenia","Czechia","Total","Males","Number","287"
"2019","Slovenia","Czechia","Total","Females","Number","162"
"2019","Slovakia","Czechia","Total","Total","Number","106,633"
"2019","Slovakia","Czechia","Total","Males","Number","57,603"
"2019","Slovakia","Czechia","Total","Females","Number","49,030"
"2019","Finland","Czechia","Total","Total","Number","387"
"2019","Finland","Czechia","Total","Males","Number","230"
"2019","Finland","Czechia","Total","Females","Number","157"
"2019","Sweden","Czechia","Total","Total","Number","541"
"2019","Sweden","Czechia","Total","Males","Number","396"
"2019","Sweden","Czechia","Total","Females","Number","145"
"2019","United Kingdom","Czechia","Total","Total","Number","6,008"
"2019","United Kingdom","Czechia","Total","Males","Number","4,770"
"2019","United Kingdom","Czechia","Total","Females","Number","1,238"
"2019","Iceland","Czechia","Total","Total","Number","41"
"2019","Iceland","Czechia","Total","Males","Number","30"
"2019","Iceland","Czechia","Total","Females","Number","11"
"2019","Liechtenstein","Czechia","Total","Total","Number","1"
"2019","Liechtenstein","Czechia","Total","Males","Number","1"
"2019","Liechtenstein","Czechia","Total","Females","Number","0"
"2019","Norway","Czechia","Total","Total","Number","224"
"2019","Norway","Czechia","Total","Males","Number","162"
"2019","Norway","Czechia","Total","Females","Number","62"
"2019","Switzerland","Czechia","Total","Total","Number","642"
"2019","Switzerland","Czechia","Total","Males","Number","444"
"2019","Switzerland","Czechia","Total","Females","Number","198"
"2019","North Macedonia","Czechia","Total","Total","Number","2,412"
"2019","North Macedonia","Czechia","Total","Males","Number","1,768"
"2019","North Macedonia","Czechia","Total","Females","Number","644"
"2019","Turkey","Czechia","Total","Total","Number","2,885"
"2019","Turkey","Czechia","Total","Males","Number","2,109"
"2019","Turkey","Czechia","Total","Females","Number","776"
"2019","Andorra","Czechia","Total","Total","Number","1"
"2019","Andorra","Czechia","Total","Males","Number","1"
"2019","Andorra","Czechia","Total","Females","Number","0"
"2019","Albania","Czechia","Total","Total","Number","458"
"2019","Albania","Czechia","Total","Males","Number","281"
"2019","Albania","Czechia","Total","Females","Number","177"
"2019","Bosnia and Herzegovina","Czechia","Total","Total","Number","2,980"
"2019","Bosnia and Herzegovina","Czechia","Total","Males","Number","2,092"
"2019","Bosnia and Herzegovina","Czechia","Total","Females","Number","888"
"2019","Belarus","Czechia","Total","Total","Number","5,497"
"2019","Belarus","Czechia","Total","Males","Number","2,647"
"2019","Belarus","Czechia","Total","Females","Number","2,850"
"2019","Faroes (DK)","Czechia","Total","Total","Number","0"
"2019","Faroes (DK)","Czechia","Total","Males","Number","0"
"2019","Faroes (DK)","Czechia","Total","Females","Number","0"
"2019","Guernsey","Czechia","Total","Total","Number","0"
"2019","Guernsey","Czechia","Total","Males","Number","0"
"2019","Guernsey","Czechia","Total","Females","Number","0"
"2019","Gibraltar (UK)","Czechia","Total","Total","Number","3"
"2019","Gibraltar (UK)","Czechia","Total","Males","Number","1"
"2019","Gibraltar (UK)","Czechia","Total","Females","Number","2"
"2019","Isle of Man","Czechia","Total","Total","Number","0"
"2019","Isle of Man","Czechia","Total","Males","Number","0"
"2019","Isle of Man","Czechia","Total","Females","Number","0"
"2019","Jersey","Czechia","Total","Total","Number","3"
"2019","Jersey","Czechia","Total","Males","Number","2"
"2019","Jersey","Czechia","Total","Females","Number","1"
"2019","Monaco","Czechia","Total","Total","Number","7"
"2019","Monaco","Czechia","Total","Males","Number","5"
"2019","Monaco","Czechia","Total","Females","Number","2"
"2019","Moldova","Czechia","Total","Total","Number","9,469"
"2019","Moldova","Czechia","Total","Males","Number","5,621"
"2019","Moldova","Czechia","Total","Females","Number","3,848"
"2019","Montenegro","Czechia","Total","Total","Number","140"
"2019","Montenegro","Czechia","Total","Males","Number","77"
"2019","Montenegro","Czechia","Total","Females","Number","63"
"2019","Serbia","Czechia","Total","Total","Number","3,436"
"2019","Serbia","Czechia","Total","Males","Number","2,392"
"2019","Serbia","Czechia","Total","Females","Number","1,044"
"2019","Russia","Czechia","Total","Total","Number","35,121"
"2019","Russia","Czechia","Total","Males","Number","15,298"
"2019","Russia","Czechia","Total","Females","Number","19,823"
"2019","Svalbard and Jan Mayen (NO)","Czechia","Total","Total","Number",":"
"2019","Svalbard and Jan Mayen (NO)","Czechia","Total","Males","Number",":"
"2019","Svalbard and Jan Mayen (NO)","Czechia","Total","Females","Number",":"
"2019","San Marino","Czechia","Total","Total","Number","1"
"2019","San Marino","Czechia","Total","Males","Number","0"
"2019","San Marino","Czechia","Total","Females","Number","1"
"2019","Ukraine","Czechia","Total","Total","Number","122,948"
"2019","Ukraine","Czechia","Total","Males","Number","67,970"
"2019","Ukraine","Czechia","Total","Females","Number","54,978"
"2019","Vatican City State","Czechia","Total","Total","Number","0"
"2019","Vatican City State","Czechia","Total","Males","Number","0"
"2019","Vatican City State","Czechia","Total","Females","Number","0"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Czechia","Total","Total","Number","45"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Czechia","Total","Males","Number","33"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Czechia","Total","Females","Number","12"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Czechia","Total","Total","Number","447"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Czechia","Total","Males","Number","329"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Czechia","Total","Females","Number","118"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Czechia","Total","Total","Number","46"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Czechia","Total","Males","Number","32"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Czechia","Total","Females","Number","14"
"2019","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Czechia","Total","Total","Number","156"
"2019","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Czechia","Total","Males","Number","52"
"2019","Former Soviet Union (before 1991) / Total components of the former Soviet Union","Czechia","Total","Females","Number","104"
"2019","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Czechia","Total","Total","Number","1,220"
"2019","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Czechia","Total","Males","Number","878"
"2019","Former Yugoslavia (before 1992) / Total components of the former republic of Yugoslavia","Czechia","Total","Females","Number","342"
"2019","Burundi","Czechia","Total","Total","Number","6"
"2019","Burundi","Czechia","Total","Males","Number","5"
"2019","Burundi","Czechia","Total","Females","Number","1"
"2019","Djibouti","Czechia","Total","Total","Number","2"
"2019","Djibouti","Czechia","Total","Males","Number","1"
"2019","Djibouti","Czechia","Total","Females","Number","1"
"2019","Eritrea","Czechia","Total","Total","Number","9"
"2019","Eritrea","Czechia","Total","Males","Number","5"
"2019","Eritrea","Czechia","Total","Females","Number","4"
"2019","Ethiopia","Czechia","Total","Total","Number","116"
"2019","Ethiopia","Czechia","Total","Males","Number","75"
"2019","Ethiopia","Czechia","Total","Females","Number","41"
"2019","Réunion (NUTS 2010)","Czechia","Total","Total","Number",":"
"2019","Réunion (NUTS 2010)","Czechia","Total","Males","Number",":"
"2019","Réunion (NUTS 2010)","Czechia","Total","Females","Number",":"
