"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Denmark","Total","Total","Number","5,806,081"
"2019","Total","Denmark","Total","Males","Number","2,889,073"
"2019","Total","Denmark","Total","Females","Number","2,917,008"
"2019","Belgium","Denmark","Total","Total","Number","2,394"
"2019","Belgium","Denmark","Total","Males","Number","1,270"
"2019","Belgium","Denmark","Total","Females","Number","1,124"
"2019","Bulgaria","Denmark","Total","Total","Number","9,890"
"2019","Bulgaria","Denmark","Total","Males","Number","5,671"
"2019","Bulgaria","Denmark","Total","Females","Number","4,219"
"2019","Czechia","Denmark","Total","Total","Number","1,960"
"2019","Czechia","Denmark","Total","Males","Number","938"
"2019","Czechia","Denmark","Total","Females","Number","1,022"
"2019","Denmark","Denmark","Total","Total","Number","5,097,499"
"2019","Denmark","Denmark","Total","Males","Number","2,538,774"
"2019","Denmark","Denmark","Total","Females","Number","2,558,725"
"2019","Germany (until 1990 former territory of the FRG)","Denmark","Total","Total","Number","36,607"
"2019","Germany (until 1990 former territory of the FRG)","Denmark","Total","Males","Number","17,805"
"2019","Germany (until 1990 former territory of the FRG)","Denmark","Total","Females","Number","18,802"
"2019","Estonia","Denmark","Total","Total","Number","1,466"
"2019","Estonia","Denmark","Total","Males","Number","450"
"2019","Estonia","Denmark","Total","Females","Number","1,016"
"2019","Ireland","Denmark","Total","Total","Number","2,180"
"2019","Ireland","Denmark","Total","Males","Number","1,443"
"2019","Ireland","Denmark","Total","Females","Number","737"
"2019","Greece","Denmark","Total","Total","Number","3,653"
"2019","Greece","Denmark","Total","Males","Number","2,185"
"2019","Greece","Denmark","Total","Females","Number","1,468"
"2019","Spain","Denmark","Total","Total","Number","7,828"
"2019","Spain","Denmark","Total","Males","Number","4,089"
"2019","Spain","Denmark","Total","Females","Number","3,739"
"2019","France","Denmark","Total","Total","Number","8,073"
"2019","France","Denmark","Total","Males","Number","4,342"
"2019","France","Denmark","Total","Females","Number","3,731"
"2019","Croatia","Denmark","Total","Total","Number","2,215"
"2019","Croatia","Denmark","Total","Males","Number","1,184"
"2019","Croatia","Denmark","Total","Females","Number","1,031"
"2019","Italy","Denmark","Total","Total","Number","9,754"
"2019","Italy","Denmark","Total","Males","Number","6,127"
"2019","Italy","Denmark","Total","Females","Number","3,627"
"2019","Cyprus","Denmark","Total","Total","Number","278"
"2019","Cyprus","Denmark","Total","Males","Number","130"
"2019","Cyprus","Denmark","Total","Females","Number","148"
"2019","Latvia","Denmark","Total","Total","Number","5,230"
"2019","Latvia","Denmark","Total","Males","Number","2,431"
"2019","Latvia","Denmark","Total","Females","Number","2,799"
"2019","Lithuania","Denmark","Total","Total","Number","13,248"
"2019","Lithuania","Denmark","Total","Males","Number","6,946"
"2019","Lithuania","Denmark","Total","Females","Number","6,302"
"2019","Luxembourg","Denmark","Total","Total","Number","592"
"2019","Luxembourg","Denmark","Total","Males","Number","302"
"2019","Luxembourg","Denmark","Total","Females","Number","290"
"2019","Hungary","Denmark","Total","Total","Number","5,592"
"2019","Hungary","Denmark","Total","Males","Number","2,724"
"2019","Hungary","Denmark","Total","Females","Number","2,868"
"2019","Malta","Denmark","Total","Total","Number","135"
"2019","Malta","Denmark","Total","Males","Number","71"
"2019","Malta","Denmark","Total","Females","Number","64"
"2019","Netherlands","Denmark","Total","Total","Number","7,976"
"2019","Netherlands","Denmark","Total","Males","Number","4,523"
"2019","Netherlands","Denmark","Total","Females","Number","3,453"
"2019","Austria","Denmark","Total","Total","Number","1,958"
"2019","Austria","Denmark","Total","Males","Number","937"
