"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Estonia","Total","Total","Number","1,324,820"
"2019","Total","Estonia","Total","Males","Number","625,635"
"2019","Total","Estonia","Total","Females","Number","699,185"
"2019","Belgium","Estonia","Total","Total","Number","272"
"2019","Belgium","Estonia","Total","Males","Number","163"
"2019","Belgium","Estonia","Total","Females","Number","109"
"2019","Bulgaria","Estonia","Total","Total","Number","335"
"2019","Bulgaria","Estonia","Total","Males","Number","267"
"2019","Bulgaria","Estonia","Total","Females","Number","68"
"2019","Czechia","Estonia","Total","Total","Number","301"
"2019","Czechia","Estonia","Total","Males","Number","138"
"2019","Czechia","Estonia","Total","Females","Number","163"
"2019","Denmark","Estonia","Total","Total","Number","225"
"2019","Denmark","Estonia","Total","Males","Number","164"
"2019","Denmark","Estonia","Total","Females","Number","61"
"2019","Germany (until 1990 former territory of the FRG)","Estonia","Total","Total","Number","2,491"
"2019","Germany (until 1990 former territory of the FRG)","Estonia","Total","Males","Number","1,286"
"2019","Germany (until 1990 former territory of the FRG)","Estonia","Total","Females","Number","1,205"
"2019","Estonia","Estonia","Total","Total","Number","1,126,756"
"2019","Estonia","Estonia","Total","Males","Number","540,306"
"2019","Estonia","Estonia","Total","Females","Number","586,450"
"2019","Ireland","Estonia","Total","Total","Number","329"
"2019","Ireland","Estonia","Total","Males","Number","181"
"2019","Ireland","Estonia","Total","Females","Number","148"
"2019","Greece","Estonia","Total","Total","Number","171"
"2019","Greece","Estonia","Total","Males","Number","104"
"2019","Greece","Estonia","Total","Females","Number","67"
"2019","Spain","Estonia","Total","Total","Number","726"
"2019","Spain","Estonia","Total","Males","Number","403"
"2019","Spain","Estonia","Total","Females","Number","323"
"2019","France","Estonia","Total","Total","Number","954"
"2019","France","Estonia","Total","Males","Number","566"
"2019","France","Estonia","Total","Females","Number","388"
"2019","Croatia","Estonia","Total","Total","Number","48"
"2019","Croatia","Estonia","Total","Males","Number","24"
"2019","Croatia","Estonia","Total","Females","Number","24"
"2019","Italy","Estonia","Total","Total","Number","1,244"
"2019","Italy","Estonia","Total","Males","Number","783"
"2019","Italy","Estonia","Total","Females","Number","461"
"2019","Cyprus","Estonia","Total","Total","Number","48"
"2019","Cyprus","Estonia","Total","Males","Number","33"
"2019","Cyprus","Estonia","Total","Females","Number","15"
"2019","Latvia","Estonia","Total","Total","Number","5,987"
"2019","Latvia","Estonia","Total","Males","Number","3,065"
"2019","Latvia","Estonia","Total","Females","Number","2,922"
"2019","Lithuania","Estonia","Total","Total","Number","2,155"
"2019","Lithuania","Estonia","Total","Males","Number","954"
"2019","Lithuania","Estonia","Total","Females","Number","1,201"
"2019","Luxembourg","Estonia","Total","Total","Number","29"
"2019","Luxembourg","Estonia","Total","Males","Number","21"
