"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Finland","Total","Total","Number","5,517,919"
"2019","Total","Finland","Total","Males","Number","2,723,290"
"2019","Total","Finland","Total","Females","Number","2,794,629"
"2019","Belgium","Finland","Total","Total","Number","675"
"2019","Belgium","Finland","Total","Males","Number","438"
"2019","Belgium","Finland","Total","Females","Number","237"
"2019","Bulgaria","Finland","Total","Total","Number","2,509"
"2019","Bulgaria","Finland","Total","Males","Number","1,383"
"2019","Bulgaria","Finland","Total","Females","Number","1,126"
"2019","Czechia","Finland","Total","Total","Number","325"
"2019","Czechia","Finland","Total","Males","Number","153"
"2019","Czechia","Finland","Total","Females","Number","172"
"2019","Denmark","Finland","Total","Total","Number","1,097"
"2019","Denmark","Finland","Total","Males","Number","678"
"2019","Denmark","Finland","Total","Females","Number","419"
"2019","Germany (until 1990 former territory of the FRG)","Finland","Total","Total","Number","6,680"
"2019","Germany (until 1990 former territory of the FRG)","Finland","Total","Males","Number","3,778"
"2019","Germany (until 1990 former territory of the FRG)","Finland","Total","Females","Number","2,902"
"2019","Estonia","Finland","Total","Total","Number","46,206"
"2019","Estonia","Finland","Total","Males","Number","23,188"
"2019","Estonia","Finland","Total","Females","Number","23,018"
"2019","Ireland","Finland","Total","Total","Number","654"
"2019","Ireland","Finland","Total","Males","Number","479"
"2019","Ireland","Finland","Total","Females","Number","175"
"2019","Greece","Finland","Total","Total","Number","1,637"
"2019","Greece","Finland","Total","Males","Number","1,108"
"2019","Greece","Finland","Total","Females","Number","529"
"2019","Spain","Finland","Total","Total","Number","2,979"
"2019","Spain","Finland","Total","Males","Number","1,766"
"2019","Spain","Finland","Total","Females","Number","1,213"
"2019","France","Finland","Total","Total","Number","2,624"
"2019","France","Finland","Total","Males","Number","1,659"
"2019","France","Finland","Total","Females","Number","965"
"2019","Croatia","Finland","Total","Total","Number","288"
"2019","Croatia","Finland","Total","Males","Number","165"
"2019","Croatia","Finland","Total","Females","Number","123"
"2019","Italy","Finland","Total","Total","Number","2,956"
"2019","Italy","Finland","Total","Males","Number","1,981"
"2019","Italy","Finland","Total","Females","Number","975"
"2019","Cyprus","Finland","Total","Total","Number","199"
"2019","Cyprus","Finland","Total","Males","Number","138"
"2019","Cyprus","Finland","Total","Females","Number","61"
"2019","Latvia","Finland","Total","Total","Number","2,382"
"2019","Latvia","Finland","Total","Males","Number","1,210"
"2019","Latvia","Finland","Total","Females","Number","1,172"
"2019","Lithuania","Finland","Total","Total","Number","1,336"
"2019","Lithuania","Finland","Total","Males","Number","642"
"2019","Lithuania","Finland","Total","Females","Number","694"
"2019","Luxembourg","Finland","Total","Total","Number","104"
"2019","Luxembourg","Finland","Total","Males","Number","54"
"2019","Luxembourg","Finland","Total","Females","Number","50"
"2019","Hungary","Finland","Total","Total","Number","2,323"
"2019","Hungary","Finland","Total","Males","Number","1,194"
"2019","Hungary","Finland","Total","Females","Number","1,129"
"2019","Malta","Finland","Total","Total","Number","53"
"2019","Malta","Finland","Total","Males","Number","33"
"2019","Malta","Finland","Total","Females","Number","20"
"2019","Netherlands","Finland","Total","Total","Number","1,617"
"2019","Netherlands","Finland","Total","Males","Number","1,191"
"2019","Netherlands","Finland","Total","Females","Number","426"
"2019","Austria","Finland","Total","Total","Number","646"
"2019","Austria","Finland","Total","Males","Number","356"
"2019","Austria","Finland","Total","Females","Number","290"
"2019","Poland","Finland","Total","Total","Number","4,905"
"2019","Poland","Finland","Total","Males","Number","2,717"
"2019","Poland","Finland","Total","Females","Number","2,188"
"2019","Portugal","Finland","Total","Total","Number","586"
"2019","Portugal","Finland","Total","Males","Number","390"
"2019","Portugal","Finland","Total","Females","Number","196"
"2019","Romania","Finland","Total","Total","Number","3,785"
"2019","Romania","Finland","Total","Males","Number","2,197"
"2019","Romania","Finland","Total","Females","Number","1,588"
"2019","Slovenia","Finland","Total","Total","Number","101"
"2019","Slovenia","Finland","Total","Males","Number","53"
"2019","Slovenia","Finland","Total","Females","Number","48"
"2019","Slovakia","Finland","Total","Total","Number","327"
"2019","Slovakia","Finland","Total","Males","Number","168"
"2019","Slovakia","Finland","Total","Females","Number","159"
"2019","Finland","Finland","Total","Total","Number","5,130,704"
"2019","Finland","Finland","Total","Males","Number","2,523,567"
"2019","Finland","Finland","Total","Females","Number","2,607,137"
"2019","Sweden","Finland","Total","Total","Number","32,654"
"2019","Sweden","Finland","Total","Males","Number","17,063"
"2019","Sweden","Finland","Total","Females","Number","15,591"
"2019","United Kingdom","Finland","Total","Total","Number","6,315"
"2019","United Kingdom","Finland","Total","Males","Number","4,554"
"2019","United Kingdom","Finland","Total","Females","Number","1,761"
"2019","Iceland","Finland","Total","Total","Number","176"
"2019","Iceland","Finland","Total","Males","Number","118"
"2019","Iceland","Finland","Total","Females","Number","58"
"2019","Liechtenstein","Finland","Total","Total","Number","0"
"2019","Liechtenstein","Finland","Total","Males","Number","0"
"2019","Liechtenstein","Finland","Total","Females","Number","0"
"2019","Norway","Finland","Total","Total","Number","1,812"
"2019","Norway","Finland","Total","Males","Number","967"
"2019","Norway","Finland","Total","Females","Number","845"
"2019","Switzerland","Finland","Total","Total","Number","1,123"
"2019","Switzerland","Finland","Total","Males","Number","680"
"2019","Switzerland","Finland","Total","Females","Number","443"
"2019","North Macedonia","Finland","Total","Total","Number","208"
"2019","North Macedonia","Finland","Total","Males","Number","110"
"2019","North Macedonia","Finland","Total","Females","Number","98"
"2019","Turkey","Finland","Total","Total","Number","7,472"
"2019","Turkey","Finland","Total","Males","Number","5,120"
"2019","Turkey","Finland","Total","Females","Number","2,352"
"2019","Andorra","Finland","Total","Total","Number","3"
"2019","Andorra","Finland","Total","Males","Number","2"
"2019","Andorra","Finland","Total","Females","Number","1"
"2019","Albania","Finland","Total","Total","Number","691"
"2019","Albania","Finland","Total","Males","Number","475"
"2019","Albania","Finland","Total","Females","Number","216"
"2019","Bosnia and Herzegovina","Finland","Total","Total","Number","794"
"2019","Bosnia and Herzegovina","Finland","Total","Males","Number","431"
"2019","Bosnia and Herzegovina","Finland","Total","Females","Number","363"
"2019","Belarus","Finland","Total","Total","Number","434"
"2019","Belarus","Finland","Total","Males","Number","164"
"2019","Belarus","Finland","Total","Females","Number","270"
"2019","Faroes (DK)","Finland","Total","Total","Number","0"
"2019","Faroes (DK)","Finland","Total","Males","Number","0"
"2019","Faroes (DK)","Finland","Total","Females","Number","0"
"2019","Guernsey","Finland","Total","Total","Number","0"
"2019","Guernsey","Finland","Total","Males","Number","0"
"2019","Guernsey","Finland","Total","Females","Number","0"
"2019","Gibraltar (UK)","Finland","Total","Total","Number","0"
"2019","Gibraltar (UK)","Finland","Total","Males","Number","0"
"2019","Gibraltar (UK)","Finland","Total","Females","Number","0"
"2019","Isle of Man","Finland","Total","Total","Number","0"
"2019","Isle of Man","Finland","Total","Males","Number","0"
"2019","Isle of Man","Finland","Total","Females","Number","0"
"2019","Jersey","Finland","Total","Total","Number","1"
"2019","Jersey","Finland","Total","Males","Number","1"
"2019","Jersey","Finland","Total","Females","Number","0"
"2019","Monaco","Finland","Total","Total","Number","10"
"2019","Monaco","Finland","Total","Males","Number","6"
"2019","Monaco","Finland","Total","Females","Number","4"
"2019","Moldova","Finland","Total","Total","Number","338"
"2019","Moldova","Finland","Total","Males","Number","174"
"2019","Moldova","Finland","Total","Females","Number","164"
"2019","Montenegro","Finland","Total","Total","Number","16"
"2019","Montenegro","Finland","Total","Males","Number","9"
