"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Hungary","Total","Total","Number","9,772,756"
"2019","Total","Hungary","Total","Males","Number","4,675,821"
"2019","Total","Hungary","Total","Females","Number","5,096,935"
"2019","Belgium","Hungary","Total","Total","Number","2,488"
"2019","Belgium","Hungary","Total","Males","Number","1,334"
"2019","Belgium","Hungary","Total","Females","Number","1,154"
"2019","Bulgaria","Hungary","Total","Total","Number","1,374"
"2019","Bulgaria","Hungary","Total","Males","Number","670"
"2019","Bulgaria","Hungary","Total","Females","Number","704"
"2019","Czechia","Hungary","Total","Total","Number","1,438"
"2019","Czechia","Hungary","Total","Males","Number","633"
"2019","Czechia","Hungary","Total","Females","Number","805"
"2019","Denmark","Hungary","Total","Total","Number","622"
"2019","Denmark","Hungary","Total","Males","Number","362"
"2019","Denmark","Hungary","Total","Females","Number","260"
"2019","Germany (until 1990 former territory of the FRG)","Hungary","Total","Total","Number","34,424"
"2019","Germany (until 1990 former territory of the FRG)","Hungary","Total","Males","Number","18,010"
"2019","Germany (until 1990 former territory of the FRG)","Hungary","Total","Females","Number","16,414"
"2019","Estonia","Hungary","Total","Total","Number","155"
"2019","Estonia","Hungary","Total","Males","Number","42"
"2019","Estonia","Hungary","Total","Females","Number","113"
"2019","Ireland","Hungary","Total","Total","Number","1,978"
"2019","Ireland","Hungary","Total","Males","Number","1,032"
"2019","Ireland","Hungary","Total","Females","Number","946"
"2019","Greece","Hungary","Total","Total","Number","1,315"
"2019","Greece","Hungary","Total","Males","Number","683"
"2019","Greece","Hungary","Total","Females","Number","632"
"2019","Spain","Hungary","Total","Total","Number","2,512"
"2019","Spain","Hungary","Total","Males","Number","1,311"
"2019","Spain","Hungary","Total","Females","Number","1,201"
"2019","France","Hungary","Total","Total","Number","4,676"
"2019","France","Hungary","Total","Males","Number","2,530"
"2019","France","Hungary","Total","Females","Number","2,146"
"2019","Croatia","Hungary","Total","Total","Number","2,206"
"2019","Croatia","Hungary","Total","Males","Number","1,113"
"2019","Croatia","Hungary","Total","Females","Number","1,093"
"2019","Italy","Hungary","Total","Total","Number","5,978"
"2019","Italy","Hungary","Total","Males","Number","3,771"
"2019","Italy","Hungary","Total","Females","Number","2,207"
"2019","Cyprus","Hungary","Total","Total","Number","298"
"2019","Cyprus","Hungary","Total","Males","Number","163"
"2019","Cyprus","Hungary","Total","Females","Number","135"
"2019","Latvia","Hungary","Total","Total","Number","188"
"2019","Latvia","Hungary","Total","Males","Number","67"
"2019","Latvia","Hungary","Total","Females","Number","121"
"2019","Lithuania","Hungary","Total","Total","Number","256"
"2019","Lithuania","Hungary","Total","Males","Number","93"
"2019","Lithuania","Hungary","Total","Females","Number","163"
"2019","Luxembourg","Hungary","Total","Total","Number","277"
"2019","Luxembourg","Hungary","Total","Males","Number","150"
"2019","Luxembourg","Hungary","Total","Females","Number","127"
"2019","Hungary","Hungary","Total","Total","Number","9,207,629"
"2019","Hungary","Hungary","Total","Males","Number","4,385,635"
"2019","Hungary","Hungary","Total","Females","Number","4,821,994"
"2019","Malta","Hungary","Total","Total","Number","154"
"2019","Malta","Hungary","Total","Males","Number","75"
"2019","Malta","Hungary","Total","Females","Number","79"
"2019","Netherlands","Hungary","Total","Total","Number","4,121"
"2019","Netherlands","Hungary","Total","Males","Number","2,358"
"2019","Netherlands","Hungary","Total","Females","Number","1,763"
"2019","Austria","Hungary","Total","Total","Number","10,809"
"2019","Austria","Hungary","Total","Males","Number","5,828"
"2019","Austria","Hungary","Total","Females","Number","4,981"
"2019","Poland","Hungary","Total","Total","Number","3,269"
"2019","Poland","Hungary","Total","Males","Number","1,182"
"2019","Poland","Hungary","Total","Females","Number","2,087"
"2019","Portugal","Hungary","Total","Total","Number","610"
"2019","Portugal","Hungary","Total","Males","Number","365"
"2019","Portugal","Hungary","Total","Females","Number","245"
"2019","Romania","Hungary","Total","Total","Number","207,085"
"2019","Romania","Hungary","Total","Males","Number","101,596"
"2019","Romania","Hungary","Total","Females","Number","105,489"
"2019","Slovenia","Hungary","Total","Total","Number","440"
"2019","Slovenia","Hungary","Total","Males","Number","237"
"2019","Slovenia","Hungary","Total","Females","Number","203"
"2019","Slovakia","Hungary","Total","Total","Number","20,267"
"2019","Slovakia","Hungary","Total","Males","Number","7,904"
"2019","Slovakia","Hungary","Total","Females","Number","12,363"
"2019","Finland","Hungary","Total","Total","Number","892"
"2019","Finland","Hungary","Total","Males","Number","436"
"2019","Finland","Hungary","Total","Females","Number","456"
"2019","Sweden","Hungary","Total","Total","Number","1,796"
