"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Iceland","Total","Total","Number","356,991"
"2019","Total","Iceland","Total","Males","Number","182,837"
"2019","Total","Iceland","Total","Females","Number","174,154"
"2019","Belgium","Iceland","Total","Total","Number","190"
"2019","Belgium","Iceland","Total","Males","Number","99"
"2019","Belgium","Iceland","Total","Females","Number","91"
"2019","Bulgaria","Iceland","Total","Total","Number","473"
"2019","Bulgaria","Iceland","Total","Males","Number","267"
"2019","Bulgaria","Iceland","Total","Females","Number","206"
"2019","Czechia","Iceland","Total","Total","Number","744"
"2019","Czechia","Iceland","Total","Males","Number","395"
"2019","Czechia","Iceland","Total","Females","Number","349"
"2019","Denmark","Iceland","Total","Total","Number","3,590"
"2019","Denmark","Iceland","Total","Males","Number","1,791"
"2019","Denmark","Iceland","Total","Females","Number","1,799"
"2019","Germany (until 1990 former territory of the FRG)","Iceland","Total","Total","Number","1,969"
"2019","Germany (until 1990 former territory of the FRG)","Iceland","Total","Males","Number","755"
"2019","Germany (until 1990 former territory of the FRG)","Iceland","Total","Females","Number","1,214"
"2019","Estonia","Iceland","Total","Total","Number","164"
"2019","Estonia","Iceland","Total","Males","Number","65"
"2019","Estonia","Iceland","Total","Females","Number","99"
"2019","Ireland","Iceland","Total","Total","Number","139"
"2019","Ireland","Iceland","Total","Males","Number","82"
"2019","Ireland","Iceland","Total","Females","Number","57"
"2019","Greece","Iceland","Total","Total","Number","167"
"2019","Greece","Iceland","Total","Males","Number","109"
"2019","Greece","Iceland","Total","Females","Number","58"
"2019","Spain","Iceland","Total","Total","Number","909"
"2019","Spain","Iceland","Total","Males","Number","519"
"2019","Spain","Iceland","Total","Females","Number","390"
"2019","France","Iceland","Total","Total","Number","835"
"2019","France","Iceland","Total","Males","Number","432"
"2019","France","Iceland","Total","Females","Number","403"
"2019","Croatia","Iceland","Total","Total","Number","657"
"2019","Croatia","Iceland","Total","Males","Number","460"
"2019","Croatia","Iceland","Total","Females","Number","197"
"2019","Italy","Iceland","Total","Total","Number","482"
"2019","Italy","Iceland","Total","Males","Number","295"
"2019","Italy","Iceland","Total","Females","Number","187"
"2019","Cyprus","Iceland","Total","Total","Number","11"
"2019","Cyprus","Iceland","Total","Males","Number","7"
"2019","Cyprus","Iceland","Total","Females","Number","4"
"2019","Latvia","Iceland","Total","Total","Number","1,762"
"2019","Latvia","Iceland","Total","Males","Number","1,175"
"2019","Latvia","Iceland","Total","Females","Number","587"
"2019","Lithuania","Iceland","Total","Total","Number","2,906"
"2019","Lithuania","Iceland","Total","Males","Number","1,808"
"2019","Lithuania","Iceland","Total","Females","Number","1,098"
"2019","Luxembourg","Iceland","Total","Total","Number","166"
"2019","Luxembourg","Iceland","Total","Males","Number","82"
"2019","Luxembourg","Iceland","Total","Females","Number","84"
"2019","Hungary","Iceland","Total","Total","Number","464"
"2019","Hungary","Iceland","Total","Males","Number","250"
"2019","Hungary","Iceland","Total","Females","Number","214"
"2019","Malta","Iceland","Total","Total","Number","9"
"2019","Malta","Iceland","Total","Males","Number","6"
"2019","Malta","Iceland","Total","Females","Number","3"
"2019","Netherlands","Iceland","Total","Total","Number","375"
"2019","Netherlands","Iceland","Total","Males","Number","201"
"2019","Netherlands","Iceland","Total","Females","Number","174"
"2019","Austria","Iceland","Total","Total","Number","150"
"2019","Austria","Iceland","Total","Males","Number","62"
"2019","Austria","Iceland","Total","Females","Number","88"
"2019","Poland","Iceland","Total","Total","Number","19,210"
"2019","Poland","Iceland","Total","Males","Number","11,429"
"2019","Poland","Iceland","Total","Females","Number","7,781"
"2019","Portugal","Iceland","Total","Total","Number","993"
"2019","Portugal","Iceland","Total","Males","Number","661"
"2019","Portugal","Iceland","Total","Females","Number","332"
"2019","Romania","Iceland","Total","Total","Number","1,536"
"2019","Romania","Iceland","Total","Males","Number","1,044"
"2019","Romania","Iceland","Total","Females","Number","492"
"2019","Slovenia","Iceland","Total","Total","Number","65"
"2019","Slovenia","Iceland","Total","Males","Number","31"
"2019","Slovenia","Iceland","Total","Females","Number","34"
"2019","Slovakia","Iceland","Total","Total","Number","475"
"2019","Slovakia","Iceland","Total","Males","Number","307"
"2019","Slovakia","Iceland","Total","Females","Number","168"
"2019","Finland","Iceland","Total","Total","Number","217"
"2019","Finland","Iceland","Total","Males","Number","73"
"2019","Finland","Iceland","Total","Females","Number","144"
"2019","Sweden","Iceland","Total","Total","Number","2,161"
"2019","Sweden","Iceland","Total","Males","Number","1,060"
"2019","Sweden","Iceland","Total","Females","Number","1,101"
"2019","United Kingdom","Iceland","Total","Total","Number","1,702"
"2019","United Kingdom","Iceland","Total","Males","Number","1,022"
"2019","United Kingdom","Iceland","Total","Females","Number","680"
"2019","Iceland","Iceland","Total","Total","Number","295,588"
"2019","Iceland","Iceland","Total","Males","Number","149,388"
"2019","Iceland","Iceland","Total","Females","Number","146,200"
"2019","Liechtenstein","Iceland","Total","Total","Number","0"
"2019","Liechtenstein","Iceland","Total","Males","Number","0"
"2019","Liechtenstein","Iceland","Total","Females","Number","0"
"2019","Norway","Iceland","Total","Total","Number","1,275"
"2019","Norway","Iceland","Total","Males","Number","608"
"2019","Norway","Iceland","Total","Females","Number","667"
"2019","Switzerland","Iceland","Total","Total","Number","208"
"2019","Switzerland","Iceland","Total","Males","Number","96"
"2019","Switzerland","Iceland","Total","Females","Number","112"
"2019","North Macedonia","Iceland","Total","Total","Number","78"
"2019","North Macedonia","Iceland","Total","Males","Number","40"
"2019","North Macedonia","Iceland","Total","Females","Number","38"
"2019","Turkey","Iceland","Total","Total","Number","96"
"2019","Turkey","Iceland","Total","Males","Number","64"
"2019","Turkey","Iceland","Total","Females","Number","32"
"2019","Andorra","Iceland","Total","Total","Number","3"
"2019","Andorra","Iceland","Total","Males","Number","0"
"2019","Andorra","Iceland","Total","Females","Number","3"
"2019","Albania","Iceland","Total","Total","Number","203"
"2019","Albania","Iceland","Total","Males","Number","133"
"2019","Albania","Iceland","Total","Females","Number","70"
"2019","Bosnia and Herzegovina","Iceland","Total","Total","Number","251"
"2019","Bosnia and Herzegovina","Iceland","Total","Males","Number","155"
"2019","Bosnia and Herzegovina","Iceland","Total","Females","Number","96"
"2019","Belarus","Iceland","Total","Total","Number","63"
"2019","Belarus","Iceland","Total","Males","Number","22"
"2019","Belarus","Iceland","Total","Females","Number","41"
"2019","Faroes (DK)","Iceland","Total","Total","Number","301"
"2019","Faroes (DK)","Iceland","Total","Males","Number","132"
"2019","Faroes (DK)","Iceland","Total","Females","Number","169"
"2019","Guernsey","Iceland","Total","Total","Number","1"
"2019","Guernsey","Iceland","Total","Males","Number","1"
"2019","Guernsey","Iceland","Total","Females","Number","0"
"2019","Gibraltar (UK)","Iceland","Total","Total","Number","1"
"2019","Gibraltar (UK)","Iceland","Total","Males","Number","1"
"2019","Gibraltar (UK)","Iceland","Total","Females","Number","0"
"2019","Isle of Man","Iceland","Total","Total","Number","0"
"2019","Isle of Man","Iceland","Total","Males","Number","0"
"2019","Isle of Man","Iceland","Total","Females","Number","0"
"2019","Jersey","Iceland","Total","Total","Number","2"
"2019","Jersey","Iceland","Total","Males","Number","0"
"2019","Jersey","Iceland","Total","Females","Number","2"
"2019","Monaco","Iceland","Total","Total","Number","1"
"2019","Monaco","Iceland","Total","Males","Number","0"
"2019","Monaco","Iceland","Total","Females","Number","1"
"2019","Moldova","Iceland","Total","Total","Number","105"
"2019","Moldova","Iceland","Total","Males","Number","54"
"2019","Moldova","Iceland","Total","Females","Number","51"
"2019","Montenegro","Iceland","Total","Total","Number","12"
"2019","Montenegro","Iceland","Total","Males","Number","6"
"2019","Montenegro","Iceland","Total","Females","Number","6"
"2019","Serbia","Iceland","Total","Total","Number","468"
"2019","Serbia","Iceland","Total","Males","Number","248"
"2019","Serbia","Iceland","Total","Females","Number","220"
"2019","Russia","Iceland","Total","Total","Number","452"
"2019","Russia","Iceland","Total","Males","Number","167"
"2019","Russia","Iceland","Total","Females","Number","285"
"2019","Svalbard and Jan Mayen (NO)","Iceland","Total","Total","Number",":"
"2019","Svalbard and Jan Mayen (NO)","Iceland","Total","Males","Number",":"
"2019","Svalbard and Jan Mayen (NO)","Iceland","Total","Females","Number",":"
"2019","San Marino","Iceland","Total","Total","Number","3"
"2019","San Marino","Iceland","Total","Males","Number","1"
"2019","San Marino","Iceland","Total","Females","Number","2"
"2019","Ukraine","Iceland","Total","Total","Number","402"
"2019","Ukraine","Iceland","Total","Males","Number","158"
"2019","Ukraine","Iceland","Total","Females","Number","244"
"2019","Vatican City State","Iceland","Total","Total","Number","0"
"2019","Vatican City State","Iceland","Total","Males","Number","0"
