"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2011","Total","Ireland","Total","Total","Number","4,570,881"
"2011","Total","Ireland","Total","Males","Number","2,269,426"
"2011","Total","Ireland","Total","Females","Number","2,301,455"
"2011","Belgium","Ireland","Total","Total","Number","1,541"
"2011","Belgium","Ireland","Total","Males","Number","790"
"2011","Belgium","Ireland","Total","Females","Number","751"
"2011","Bulgaria","Ireland","Total","Total","Number","1,877"
"2011","Bulgaria","Ireland","Total","Males","Number","940"
"2011","Bulgaria","Ireland","Total","Females","Number","937"
"2011","Czechia","Ireland","Total","Total","Number","5,792"
"2011","Czechia","Ireland","Total","Males","Number","3,042"
"2011","Czechia","Ireland","Total","Females","Number","2,750"
"2011","Denmark","Ireland","Total","Total","Number","938"
"2011","Denmark","Ireland","Total","Males","Number","489"
"2011","Denmark","Ireland","Total","Females","Number","449"
"2011","Germany (until 1990 former territory of the FRG)","Ireland","Total","Total","Number","13,685"
"2011","Germany (until 1990 former territory of the FRG)","Ireland","Total","Males","Number","6,065"
"2011","Germany (until 1990 former territory of the FRG)","Ireland","Total","Females","Number","7,620"
"2011","Estonia","Ireland","Total","Total","Number","2,630"
"2011","Estonia","Ireland","Total","Males","Number","1,058"
"2011","Estonia","Ireland","Total","Females","Number","1,572"
"2011","Ireland","Ireland","Total","Total","Number","3,833,662"
"2011","Ireland","Ireland","Total","Males","Number","1,905,062"
"2011","Ireland","Ireland","Total","Females","Number","1,928,600"
"2011","Greece","Ireland","Total","Total","Number","602"
"2011","Greece","Ireland","Total","Males","Number","351"
"2011","Greece","Ireland","Total","Females","Number","251"
"2011","Spain","Ireland","Total","Total","Number","7,352"
"2011","Spain","Ireland","Total","Males","Number","2,973"
"2011","Spain","Ireland","Total","Females","Number","4,379"
"2011","France","Ireland","Total","Total","Number","10,669"
"2011","France","Ireland","Total","Males","Number","5,259"
"2011","France","Ireland","Total","Females","Number","5,410"
"2011","Croatia","Ireland","Total","Total","Number","1,051"
"2011","Croatia","Ireland","Total","Males","Number","547"
"2011","Croatia","Ireland","Total","Females","Number","504"
"2011","Italy","Ireland","Total","Total","Number","7,506"
"2011","Italy","Ireland","Total","Males","Number","4,224"
"2011","Italy","Ireland","Total","Females","Number","3,282"
"2011","Cyprus","Ireland","Total","Total","Number","270"
"2011","Cyprus","Ireland","Total","Males","Number","161"
"2011","Cyprus","Ireland","Total","Females","Number","109"
"2011","Latvia","Ireland","Total","Total","Number","21,193"
"2011","Latvia","Ireland","Total","Males","Number","9,288"
"2011","Latvia","Ireland","Total","Females","Number","11,905"
"2011","Lithuania","Ireland","Total","Total","Number","36,816"
"2011","Lithuania","Ireland","Total","Males","Number","17,421"
"2011","Lithuania","Ireland","Total","Females","Number","19,395"
"2011","Luxembourg","Ireland","Total","Total","Number","145"
"2011","Luxembourg","Ireland","Total","Males","Number","90"
"2011","Luxembourg","Ireland","Total","Females","Number","55"
"2011","Hungary","Ireland","Total","Total","Number","7,817"
"2011","Hungary","Ireland","Total","Males","Number","4,071"
"2011","Hungary","Ireland","Total","Females","Number","3,746"
"2011","Malta","Ireland","Total","Total","Number","351"
"2011","Malta","Ireland","Total","Males","Number","185"
"2011","Malta","Ireland","Total","Females","Number","166"
"2011","Netherlands","Ireland","Total","Total","Number","4,729"
"2011","Netherlands","Ireland","Total","Males","Number","2,518"
