"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Italy","Total","Total","Number","60,359,546"
"2019","Total","Italy","Total","Males","Number","29,384,766"
"2019","Total","Italy","Total","Females","Number","30,974,780"
"2019","Belgium","Italy","Total","Total","Number","45,384"
"2019","Belgium","Italy","Total","Males","Number","19,581"
"2019","Belgium","Italy","Total","Females","Number","25,803"
"2019","Bulgaria","Italy","Total","Total","Number","61,086"
"2019","Bulgaria","Italy","Total","Males","Number","20,966"
"2019","Bulgaria","Italy","Total","Females","Number","40,120"
"2019","Czechia","Italy","Total","Total","Number","9,426"
"2019","Czechia","Italy","Total","Males","Number","1,719"
"2019","Czechia","Italy","Total","Females","Number","7,707"
"2019","Denmark","Italy","Total","Total","Number","3,150"
"2019","Denmark","Italy","Total","Males","Number","1,112"
"2019","Denmark","Italy","Total","Females","Number","2,038"
"2019","Germany (until 1990 former territory of the FRG)","Italy","Total","Total","Number","208,762"
"2019","Germany (until 1990 former territory of the FRG)","Italy","Total","Males","Number","90,550"
"2019","Germany (until 1990 former territory of the FRG)","Italy","Total","Females","Number","118,212"
"2019","Estonia","Italy","Total","Total","Number","1,517"
"2019","Estonia","Italy","Total","Males","Number","243"
"2019","Estonia","Italy","Total","Females","Number","1,274"
"2019","Ireland","Italy","Total","Total","Number","3,752"
"2019","Ireland","Italy","Total","Males","Number","1,608"
"2019","Ireland","Italy","Total","Females","Number","2,144"
"2019","Greece","Italy","Total","Total","Number","16,997"
"2019","Greece","Italy","Total","Males","Number","8,195"
"2019","Greece","Italy","Total","Females","Number","8,802"
"2019","Spain","Italy","Total","Total","Number","34,715"
"2019","Spain","Italy","Total","Males","Number","11,169"
"2019","Spain","Italy","Total","Females","Number","23,546"
"2019","France","Italy","Total","Total","Number","126,789"
"2019","France","Italy","Total","Males","Number","50,286"
"2019","France","Italy","Total","Females","Number","76,503"
"2019","Croatia","Italy","Total","Total","Number","21,873"
"2019","Croatia","Italy","Total","Males","Number","9,048"
"2019","Croatia","Italy","Total","Females","Number","12,825"
"2019","Italy","Italy","Total","Total","Number","54,061,553"
"2019","Italy","Italy","Total","Males","Number","26,465,409"
"2019","Italy","Italy","Total","Females","Number","27,596,144"
"2019","Cyprus","Italy","Total","Total","Number","436"
"2019","Cyprus","Italy","Total","Males","Number","180"
"2019","Cyprus","Italy","Total","Females","Number","256"
"2019","Latvia","Italy","Total","Total","Number","3,645"
"2019","Latvia","Italy","Total","Males","Number","789"
"2019","Latvia","Italy","Total","Females","Number","2,856"
"2019","Lithuania","Italy","Total","Total","Number","6,243"
"2019","Lithuania","Italy","Total","Males","Number","1,424"
"2019","Lithuania","Italy","Total","Females","Number","4,819"
"2019","Luxembourg","Italy","Total","Total","Number","4,594"
