"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Latvia","Total","Total","Number","1,919,968"
"2019","Total","Latvia","Total","Males","Number","884,909"
"2019","Total","Latvia","Total","Females","Number","1,035,059"
"2019","Belgium","Latvia","Total","Total","Number","126"
"2019","Belgium","Latvia","Total","Males","Number","68"
"2019","Belgium","Latvia","Total","Females","Number","58"
"2019","Bulgaria","Latvia","Total","Total","Number","114"
"2019","Bulgaria","Latvia","Total","Males","Number","84"
"2019","Bulgaria","Latvia","Total","Females","Number","30"
"2019","Czechia","Latvia","Total","Total","Number","161"
"2019","Czechia","Latvia","Total","Males","Number","57"
"2019","Czechia","Latvia","Total","Females","Number","104"
"2019","Denmark","Latvia","Total","Total","Number","242"
"2019","Denmark","Latvia","Total","Males","Number","190"
"2019","Denmark","Latvia","Total","Females","Number","52"
"2019","Germany (until 1990 former territory of the FRG)","Latvia","Total","Total","Number","2,186"
"2019","Germany (until 1990 former territory of the FRG)","Latvia","Total","Males","Number","1,053"
"2019","Germany (until 1990 former territory of the FRG)","Latvia","Total","Females","Number","1,133"
"2019","Estonia","Latvia","Total","Total","Number","2,874"
"2019","Estonia","Latvia","Total","Males","Number","1,308"
"2019","Estonia","Latvia","Total","Females","Number","1,566"
"2019","Ireland","Latvia","Total","Total","Number","946"
"2019","Ireland","Latvia","Total","Males","Number","547"
"2019","Ireland","Latvia","Total","Females","Number","399"
"2019","Greece","Latvia","Total","Total","Number","52"
"2019","Greece","Latvia","Total","Males","Number","34"
"2019","Greece","Latvia","Total","Females","Number","18"
"2019","Spain","Latvia","Total","Total","Number","223"
"2019","Spain","Latvia","Total","Males","Number","143"
"2019","Spain","Latvia","Total","Females","Number","80"
"2019","France","Latvia","Total","Total","Number","282"
"2019","France","Latvia","Total","Males","Number","167"
"2019","France","Latvia","Total","Females","Number","115"
"2019","Croatia","Latvia","Total","Total","Number","9"
"2019","Croatia","Latvia","Total","Males","Number","7"
"2019","Croatia","Latvia","Total","Females","Number","2"
"2019","Italy","Latvia","Total","Total","Number","332"
"2019","Italy","Latvia","Total","Males","Number","242"
"2019","Italy","Latvia","Total","Females","Number","90"
"2019","Cyprus","Latvia","Total","Total","Number","61"
"2019","Cyprus","Latvia","Total","Males","Number","35"
"2019","Cyprus","Latvia","Total","Females","Number","26"
"2019","Latvia","Latvia","Total","Total","Number","1,678,214"
"2019","Latvia","Latvia","Total","Males","Number","787,989"
"2019","Latvia","Latvia","Total","Females","Number","890,225"
"2019","Lithuania","Latvia","Total","Total","Number","14,343"
"2019","Lithuania","Latvia","Total","Males","Number","5,419"
"2019","Lithuania","Latvia","Total","Females","Number","8,924"
"2019","Luxembourg","Latvia","Total","Total","Number","11"
"2019","Luxembourg","Latvia","Total","Males","Number","6"
"2019","Luxembourg","Latvia","Total","Females","Number","5"
"2019","Hungary","Latvia","Total","Total","Number","186"
"2019","Hungary","Latvia","Total","Males","Number","85"
"2019","Hungary","Latvia","Total","Females","Number","101"
"2019","Malta","Latvia","Total","Total","Number","24"
"2019","Malta","Latvia","Total","Males","Number","14"
"2019","Malta","Latvia","Total","Females","Number","10"
"2019","Netherlands","Latvia","Total","Total","Number","163"
"2019","Netherlands","Latvia","Total","Males","Number","113"
"2019","Netherlands","Latvia","Total","Females","Number","50"
"2019","Austria","Latvia","Total","Total","Number","103"
"2019","Austria","Latvia","Total","Males","Number","63"
"2019","Austria","Latvia","Total","Females","Number","40"
"2019","Poland","Latvia","Total","Total","Number","775"
