"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Lithuania","Total","Total","Number","2,794,184"
"2019","Total","Lithuania","Total","Males","Number","1,295,591"
"2019","Total","Lithuania","Total","Females","Number","1,498,593"
"2019","Belgium","Lithuania","Total","Total","Number","260"
"2019","Belgium","Lithuania","Total","Males","Number","168"
"2019","Belgium","Lithuania","Total","Females","Number","92"
"2019","Bulgaria","Lithuania","Total","Total","Number","134"
"2019","Bulgaria","Lithuania","Total","Males","Number","95"
"2019","Bulgaria","Lithuania","Total","Females","Number","39"
"2019","Czechia","Lithuania","Total","Total","Number","115"
"2019","Czechia","Lithuania","Total","Males","Number","57"
"2019","Czechia","Lithuania","Total","Females","Number","58"
"2019","Denmark","Lithuania","Total","Total","Number","577"
"2019","Denmark","Lithuania","Total","Males","Number","349"
"2019","Denmark","Lithuania","Total","Females","Number","228"
"2019","Germany (until 1990 former territory of the FRG)","Lithuania","Total","Total","Number","1,990"
"2019","Germany (until 1990 former territory of the FRG)","Lithuania","Total","Males","Number","1,067"
"2019","Germany (until 1990 former territory of the FRG)","Lithuania","Total","Females","Number","923"
"2019","Estonia","Lithuania","Total","Total","Number","783"
"2019","Estonia","Lithuania","Total","Males","Number","344"
"2019","Estonia","Lithuania","Total","Females","Number","439"
"2019","Ireland","Lithuania","Total","Total","Number","1,705"
"2019","Ireland","Lithuania","Total","Males","Number","867"
"2019","Ireland","Lithuania","Total","Females","Number","838"
"2019","Greece","Lithuania","Total","Total","Number","99"
"2019","Greece","Lithuania","Total","Males","Number","69"
"2019","Greece","Lithuania","Total","Females","Number","30"
"2019","Spain","Lithuania","Total","Total","Number","794"
"2019","Spain","Lithuania","Total","Males","Number","450"
"2019","Spain","Lithuania","Total","Females","Number","344"
"2019","France","Lithuania","Total","Total","Number","495"
"2019","France","Lithuania","Total","Males","Number","311"
"2019","France","Lithuania","Total","Females","Number","184"
"2019","Croatia","Lithuania","Total","Total","Number","35"
"2019","Croatia","Lithuania","Total","Males","Number","27"
"2019","Croatia","Lithuania","Total","Females","Number","8"
"2019","Italy","Lithuania","Total","Total","Number","613"
"2019","Italy","Lithuania","Total","Males","Number","444"
"2019","Italy","Lithuania","Total","Females","Number","169"
"2019","Cyprus","Lithuania","Total","Total","Number","50"
"2019","Cyprus","Lithuania","Total","Males","Number","29"
"2019","Cyprus","Lithuania","Total","Females","Number","21"
"2019","Latvia","Lithuania","Total","Total","Number","5,444"
"2019","Latvia","Lithuania","Total","Males","Number","2,331"
"2019","Latvia","Lithuania","Total","Females","Number","3,113"
"2019","Lithuania","Lithuania","Total","Total","Number","2,656,013"
"2019","Lithuania","Lithuania","Total","Males","Number","1,229,183"
"2019","Lithuania","Lithuania","Total","Females","Number","1,426,830"
"2019","Luxembourg","Lithuania","Total","Total","Number","24"
"2019","Luxembourg","Lithuania","Total","Males","Number","18"
"2019","Luxembourg","Lithuania","Total","Females","Number","6"
"2019","Hungary","Lithuania","Total","Total","Number","134"
"2019","Hungary","Lithuania","Total","Males","Number","71"
"2019","Hungary","Lithuania","Total","Females","Number","63"
"2019","Malta","Lithuania","Total","Total","Number","19"
"2019","Malta","Lithuania","Total","Males","Number","11"
