"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Luxembourg","Total","Total","Number","613,894"
"2019","Total","Luxembourg","Total","Males","Number","308,720"
"2019","Total","Luxembourg","Total","Females","Number","305,174"
"2019","Belgium","Luxembourg","Total","Total","Number","21,041"
"2019","Belgium","Luxembourg","Total","Males","Number","11,410"
"2019","Belgium","Luxembourg","Total","Females","Number","9,631"
"2019","Bulgaria","Luxembourg","Total","Total","Number","1,668"
"2019","Bulgaria","Luxembourg","Total","Males","Number","646"
"2019","Bulgaria","Luxembourg","Total","Females","Number","1,022"
"2019","Czechia","Luxembourg","Total","Total","Number","1,036"
"2019","Czechia","Luxembourg","Total","Males","Number","404"
"2019","Czechia","Luxembourg","Total","Females","Number","632"
"2019","Denmark","Luxembourg","Total","Total","Number","1,559"
"2019","Denmark","Luxembourg","Total","Males","Number","807"
"2019","Denmark","Luxembourg","Total","Females","Number","752"
"2019","Germany (until 1990 former territory of the FRG)","Luxembourg","Total","Total","Number","16,651"
"2019","Germany (until 1990 former territory of the FRG)","Luxembourg","Total","Males","Number","7,833"
"2019","Germany (until 1990 former territory of the FRG)","Luxembourg","Total","Females","Number","8,818"
"2019","Estonia","Luxembourg","Total","Total","Number","583"
"2019","Estonia","Luxembourg","Total","Males","Number","180"
"2019","Estonia","Luxembourg","Total","Females","Number","403"
"2019","Ireland","Luxembourg","Total","Total","Number","1,394"
"2019","Ireland","Luxembourg","Total","Males","Number","735"
"2019","Ireland","Luxembourg","Total","Females","Number","659"
"2019","Greece","Luxembourg","Total","Total","Number","3,085"
"2019","Greece","Luxembourg","Total","Males","Number","1,556"
"2019","Greece","Luxembourg","Total","Females","Number","1,529"
"2019","Spain","Luxembourg","Total","Total","Number","5,510"
"2019","Spain","Luxembourg","Total","Males","Number","2,803"
"2019","Spain","Luxembourg","Total","Females","Number","2,707"
"2019","France","Luxembourg","Total","Total","Number","41,898"
"2019","France","Luxembourg","Total","Males","Number","22,206"
"2019","France","Luxembourg","Total","Females","Number","19,692"
"2019","Croatia","Luxembourg","Total","Total","Number","854"
"2019","Croatia","Luxembourg","Total","Males","Number","419"
"2019","Croatia","Luxembourg","Total","Females","Number","435"
"2019","Italy","Luxembourg","Total","Total","Number","18,404"
"2019","Italy","Luxembourg","Total","Males","Number","10,725"
"2019","Italy","Luxembourg","Total","Females","Number","7,679"
"2019","Cyprus","Luxembourg","Total","Total","Number","141"
"2019","Cyprus","Luxembourg","Total","Males","Number","72"
"2019","Cyprus","Luxembourg","Total","Females","Number","69"
"2019","Latvia","Luxembourg","Total","Total","Number","641"
"2019","Latvia","Luxembourg","Total","Males","Number","196"
"2019","Latvia","Luxembourg","Total","Females","Number","445"
"2019","Lithuania","Luxembourg","Total","Total","Number","867"
"2019","Lithuania","Luxembourg","Total","Males","Number","294"
"2019","Lithuania","Luxembourg","Total","Females","Number","573"
"2019","Luxembourg","Luxembourg","Total","Total","Number","322,709"
"2019","Luxembourg","Luxembourg","Total","Males","Number","160,550"
"2019","Luxembourg","Luxembourg","Total","Females","Number","162,159"
"2019","Hungary","Luxembourg","Total","Total","Number","1,774"
"2019","Hungary","Luxembourg","Total","Males","Number","752"
"2019","Hungary","Luxembourg","Total","Females","Number","1,022"
"2019","Malta","Luxembourg","Total","Total","Number","239"
"2019","Malta","Luxembourg","Total","Males","Number","122"
"2019","Malta","Luxembourg","Total","Females","Number","117"
"2019","Netherlands","Luxembourg","Total","Total","Number","3,887"
"2019","Netherlands","Luxembourg","Total","Males","Number","2,092"
"2019","Netherlands","Luxembourg","Total","Females","Number","1,795"
"2019","Austria","Luxembourg","Total","Total","Number","1,001"
"2019","Austria","Luxembourg","Total","Males","Number","443"
"2019","Austria","Luxembourg","Total","Females","Number","558"
"2019","Poland","Luxembourg","Total","Total","Number","4,925"
"2019","Poland","Luxembourg","Total","Males","Number","2,059"
"2019","Poland","Luxembourg","Total","Females","Number","2,866"
"2019","Portugal","Luxembourg","Total","Total","Number","73,193"
"2019","Portugal","Luxembourg","Total","Males","Number","38,315"
"2019","Portugal","Luxembourg","Total","Females","Number","34,878"
"2019","Romania","Luxembourg","Total","Total","Number","5,095"
"2019","Romania","Luxembourg","Total","Males","Number","2,063"
"2019","Romania","Luxembourg","Total","Females","Number","3,032"
"2019","Slovenia","Luxembourg","Total","Total","Number","585"
"2019","Slovenia","Luxembourg","Total","Males","Number","250"
"2019","Slovenia","Luxembourg","Total","Females","Number","335"
"2019","Slovakia","Luxembourg","Total","Total","Number","849"
"2019","Slovakia","Luxembourg","Total","Males","Number","328"
"2019","Slovakia","Luxembourg","Total","Females","Number","521"
"2019","Finland","Luxembourg","Total","Total","Number","1,126"
"2019","Finland","Luxembourg","Total","Males","Number","493"
"2019","Finland","Luxembourg","Total","Females","Number","633"
"2019","Sweden","Luxembourg","Total","Total","Number","1,424"
"2019","Sweden","Luxembourg","Total","Males","Number","738"
"2019","Sweden","Luxembourg","Total","Females","Number","686"
"2019","United Kingdom","Luxembourg","Total","Total","Number","5,493"
"2019","United Kingdom","Luxembourg","Total","Males","Number","3,125"
"2019","United Kingdom","Luxembourg","Total","Females","Number","2,368"
"2019","Iceland","Luxembourg","Total","Total","Number","403"
"2019","Iceland","Luxembourg","Total","Males","Number","200"
"2019","Iceland","Luxembourg","Total","Females","Number","203"
"2019","Liechtenstein","Luxembourg","Total","Total","Number","9"
"2019","Liechtenstein","Luxembourg","Total","Males","Number","5"
"2019","Liechtenstein","Luxembourg","Total","Females","Number","4"
"2019","Norway","Luxembourg","Total","Total","Number","257"
"2019","Norway","Luxembourg","Total","Males","Number","134"
"2019","Norway","Luxembourg","Total","Females","Number","123"
"2019","Switzerland","Luxembourg","Total","Total","Number","1,341"
"2019","Switzerland","Luxembourg","Total","Males","Number","699"
"2019","Switzerland","Luxembourg","Total","Females","Number","642"
"2019","North Macedonia","Luxembourg","Total","Total","Number","591"
"2019","North Macedonia","Luxembourg","Total","Males","Number","291"
"2019","North Macedonia","Luxembourg","Total","Females","Number","300"
"2019","Turkey","Luxembourg","Total","Total","Number","1,400"
"2019","Turkey","Luxembourg","Total","Males","Number","760"
"2019","Turkey","Luxembourg","Total","Females","Number","640"
"2019","Andorra","Luxembourg","Total","Total","Number","38"
"2019","Andorra","Luxembourg","Total","Males","Number","20"
"2019","Andorra","Luxembourg","Total","Females","Number","18"
"2019","Albania","Luxembourg","Total","Total","Number","1,033"
"2019","Albania","Luxembourg","Total","Males","Number","505"
"2019","Albania","Luxembourg","Total","Females","Number","528"
"2019","Bosnia and Herzegovina","Luxembourg","Total","Total","Number","2,665"
"2019","Bosnia and Herzegovina","Luxembourg","Total","Males","Number","1,343"
"2019","Bosnia and Herzegovina","Luxembourg","Total","Females","Number","1,322"
"2019","Belarus","Luxembourg","Total","Total","Number","317"
"2019","Belarus","Luxembourg","Total","Males","Number","72"
"2019","Belarus","Luxembourg","Total","Females","Number","245"
"2019","Faroes (DK)","Luxembourg","Total","Total","Number","0"
"2019","Faroes (DK)","Luxembourg","Total","Males","Number","0"
"2019","Faroes (DK)","Luxembourg","Total","Females","Number","0"
"2019","Guernsey","Luxembourg","Total","Total","Number","3"
"2019","Guernsey","Luxembourg","Total","Males","Number","2"
"2019","Guernsey","Luxembourg","Total","Females","Number","1"
"2019","Gibraltar (UK)","Luxembourg","Total","Total","Number","2"
"2019","Gibraltar (UK)","Luxembourg","Total","Males","Number","0"
"2019","Gibraltar (UK)","Luxembourg","Total","Females","Number","2"
"2019","Isle of Man","Luxembourg","Total","Total","Number","0"
"2019","Isle of Man","Luxembourg","Total","Males","Number","0"
"2019","Isle of Man","Luxembourg","Total","Females","Number","0"
"2019","Jersey","Luxembourg","Total","Total","Number","15"
"2019","Jersey","Luxembourg","Total","Males","Number","8"
"2019","Jersey","Luxembourg","Total","Females","Number","7"
"2019","Monaco","Luxembourg","Total","Total","Number","50"
"2019","Monaco","Luxembourg","Total","Males","Number","34"
"2019","Monaco","Luxembourg","Total","Females","Number","16"
"2019","Moldova","Luxembourg","Total","Total","Number","574"
"2019","Moldova","Luxembourg","Total","Males","Number","227"
"2019","Moldova","Luxembourg","Total","Females","Number","347"
"2019","Montenegro","Luxembourg","Total","Total","Number","2,648"
"2019","Montenegro","Luxembourg","Total","Males","Number","1,360"
"2019","Montenegro","Luxembourg","Total","Females","Number","1,288"
"2019","Serbia","Luxembourg","Total","Total","Number","1,836"
"2019","Serbia","Luxembourg","Total","Males","Number","853"
"2019","Serbia","Luxembourg","Total","Females","Number","983"
"2019","Russia","Luxembourg","Total","Total","Number","2,712"
"2019","Russia","Luxembourg","Total","Males","Number","910"
"2019","Russia","Luxembourg","Total","Females","Number","1,802"
"2019","Svalbard and Jan Mayen (NO)","Luxembourg","Total","Total","Number",":"
"2019","Svalbard and Jan Mayen (NO)","Luxembourg","Total","Males","Number",":"
"2019","Svalbard and Jan Mayen (NO)","Luxembourg","Total","Females","Number",":"
"2019","San Marino","Luxembourg","Total","Total","Number","4"
"2019","San Marino","Luxembourg","Total","Males","Number","2"
"2019","San Marino","Luxembourg","Total","Females","Number","2"
"2019","Ukraine","Luxembourg","Total","Total","Number","1,436"
"2019","Ukraine","Luxembourg","Total","Males","Number","432"
"2019","Ukraine","Luxembourg","Total","Females","Number","1,004"
"2019","Vatican City State","Luxembourg","Total","Total","Number","0"
"2019","Vatican City State","Luxembourg","Total","Males","Number","0"
"2019","Vatican City State","Luxembourg","Total","Females","Number","0"
