"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Netherlands","Total","Total","Number","17,282,163"
"2019","Total","Netherlands","Total","Males","Number","8,581,086"
"2019","Total","Netherlands","Total","Females","Number","8,701,077"
"2019","Belgium","Netherlands","Total","Total","Number","60,187"
"2019","Belgium","Netherlands","Total","Males","Number","27,612"
"2019","Belgium","Netherlands","Total","Females","Number","32,575"
"2019","Bulgaria","Netherlands","Total","Total","Number","29,917"
"2019","Bulgaria","Netherlands","Total","Males","Number","14,707"
"2019","Bulgaria","Netherlands","Total","Females","Number","15,210"
"2019","Czechia","Netherlands","Total","Total","Number","1,312"
"2019","Czechia","Netherlands","Total","Males","Number","616"
"2019","Czechia","Netherlands","Total","Females","Number","696"
"2019","Denmark","Netherlands","Total","Total","Number","4,030"
"2019","Denmark","Netherlands","Total","Males","Number","1,726"
"2019","Denmark","Netherlands","Total","Females","Number","2,304"
"2019","Germany (until 1990 former territory of the FRG)","Netherlands","Total","Total","Number","120,580"
"2019","Germany (until 1990 former territory of the FRG)","Netherlands","Total","Males","Number","50,513"
"2019","Germany (until 1990 former territory of the FRG)","Netherlands","Total","Females","Number","70,067"
"2019","Estonia","Netherlands","Total","Total","Number","1,319"
"2019","Estonia","Netherlands","Total","Males","Number","441"
"2019","Estonia","Netherlands","Total","Females","Number","878"
"2019","Ireland","Netherlands","Total","Total","Number","6,483"
"2019","Ireland","Netherlands","Total","Males","Number","3,348"
"2019","Ireland","Netherlands","Total","Females","Number","3,135"
"2019","Greece","Netherlands","Total","Total","Number","19,278"
"2019","Greece","Netherlands","Total","Males","Number","11,101"
"2019","Greece","Netherlands","Total","Females","Number","8,177"
"2019","Spain","Netherlands","Total","Total","Number","30,622"
"2019","Spain","Netherlands","Total","Males","Number","14,904"
"2019","Spain","Netherlands","Total","Females","Number","15,718"
"2019","France","Netherlands","Total","Total","Number","30,138"
"2019","France","Netherlands","Total","Males","Number","13,949"
"2019","France","Netherlands","Total","Females","Number","16,189"
"2019","Croatia","Netherlands","Total","Total","Number","800"
"2019","Croatia","Netherlands","Total","Males","Number","376"
"2019","Croatia","Netherlands","Total","Females","Number","424"
"2019","Italy","Netherlands","Total","Total","Number","35,003"
"2019","Italy","Netherlands","Total","Males","Number","20,979"
"2019","Italy","Netherlands","Total","Females","Number","14,024"
"2019","Cyprus","Netherlands","Total","Total","Number","1,069"
"2019","Cyprus","Netherlands","Total","Males","Number","597"
"2019","Cyprus","Netherlands","Total","Females","Number","472"
"2019","Latvia","Netherlands","Total","Total","Number","4,895"
"2019","Latvia","Netherlands","Total","Males","Number","2,235"
"2019","Latvia","Netherlands","Total","Females","Number","2,660"
"2019","Lithuania","Netherlands","Total","Total","Number","7,141"
"2019","Lithuania","Netherlands","Total","Males","Number","3,068"
"2019","Lithuania","Netherlands","Total","Females","Number","4,073"
"2019","Luxembourg","Netherlands","Total","Total","Number","1,663"
"2019","Luxembourg","Netherlands","Total","Males","Number","794"
"2019","Luxembourg","Netherlands","Total","Females","Number","869"
"2019","Hungary","Netherlands","Total","Total","Number","16,324"
"2019","Hungary","Netherlands","Total","Males","Number","7,487"
"2019","Hungary","Netherlands","Total","Females","Number","8,837"
"2019","Malta","Netherlands","Total","Total","Number","451"
"2019","Malta","Netherlands","Total","Males","Number","196"
"2019","Malta","Netherlands","Total","Females","Number","255"
"2019","Netherlands","Netherlands","Total","Total","Number","14,983,454"
"2019","Netherlands","Netherlands","Total","Males","Number","7,476,074"
"2019","Netherlands","Netherlands","Total","Females","Number","7,507,380"
"2019","Austria","Netherlands","Total","Total","Number","7,060"
"2019","Austria","Netherlands","Total","Males","Number","3,016"
"2019","Austria","Netherlands","Total","Females","Number","4,044"
"2019","Poland","Netherlands","Total","Total","Number","145,231"
"2019","Poland","Netherlands","Total","Males","Number","68,339"
"2019","Poland","Netherlands","Total","Females","Number","76,892"
"2019","Portugal","Netherlands","Total","Total","Number","19,081"
"2019","Portugal","Netherlands","Total","Males","Number","10,077"
"2019","Portugal","Netherlands","Total","Females","Number","9,004"
"2019","Romania","Netherlands","Total","Total","Number","27,968"
"2019","Romania","Netherlands","Total","Males","Number","12,958"
"2019","Romania","Netherlands","Total","Females","Number","15,010"
"2019","Slovenia","Netherlands","Total","Total","Number","536"
"2019","Slovenia","Netherlands","Total","Males","Number","216"
"2019","Slovenia","Netherlands","Total","Females","Number","320"
"2019","Slovakia","Netherlands","Total","Total","Number","1,630"
"2019","Slovakia","Netherlands","Total","Males","Number","834"
"2019","Slovakia","Netherlands","Total","Females","Number","796"
"2019","Finland","Netherlands","Total","Total","Number","3,882"
"2019","Finland","Netherlands","Total","Males","Number","1,232"
"2019","Finland","Netherlands","Total","Females","Number","2,650"
"2019","Sweden","Netherlands","Total","Total","Number","5,262"
"2019","Sweden","Netherlands","Total","Males","Number","2,239"
"2019","Sweden","Netherlands","Total","Females","Number","3,023"
"2019","United Kingdom","Netherlands","Total","Total","Number","55,799"
"2019","United Kingdom","Netherlands","Total","Males","Number","30,773"
"2019","United Kingdom","Netherlands","Total","Females","Number","25,026"
"2019","Iceland","Netherlands","Total","Total","Number","550"
"2019","Iceland","Netherlands","Total","Males","Number","265"
"2019","Iceland","Netherlands","Total","Females","Number","285"
"2019","Liechtenstein","Netherlands","Total","Total","Number","3"
"2019","Liechtenstein","Netherlands","Total","Males","Number","1"
"2019","Liechtenstein","Netherlands","Total","Females","Number","2"
"2019","Norway","Netherlands","Total","Total","Number","3,022"
"2019","Norway","Netherlands","Total","Males","Number","1,325"
"2019","Norway","Netherlands","Total","Females","Number","1,697"
"2019","Switzerland","Netherlands","Total","Total","Number","7,802"
"2019","Switzerland","Netherlands","Total","Males","Number","3,504"
"2019","Switzerland","Netherlands","Total","Females","Number","4,298"
"2019","North Macedonia","Netherlands","Total","Total","Number","467"
"2019","North Macedonia","Netherlands","Total","Males","Number","224"
"2019","North Macedonia","Netherlands","Total","Females","Number","243"
"2019","Turkey","Netherlands","Total","Total","Number","194,250"
"2019","Turkey","Netherlands","Total","Males","Number","99,016"
"2019","Turkey","Netherlands","Total","Females","Number","95,234"
"2019","Andorra","Netherlands","Total","Total","Number","27"
"2019","Andorra","Netherlands","Total","Males","Number","15"
"2019","Andorra","Netherlands","Total","Females","Number","12"
"2019","Albania","Netherlands","Total","Total","Number","2,342"
"2019","Albania","Netherlands","Total","Males","Number","1,195"
"2019","Albania","Netherlands","Total","Females","Number","1,147"
"2019","Bosnia and Herzegovina","Netherlands","Total","Total","Number","1,033"
"2019","Bosnia and Herzegovina","Netherlands","Total","Males","Number","505"
"2019","Bosnia and Herzegovina","Netherlands","Total","Females","Number","528"
"2019","Belarus","Netherlands","Total","Total","Number","516"
"2019","Belarus","Netherlands","Total","Males","Number","215"
"2019","Belarus","Netherlands","Total","Females","Number","301"
"2019","Faroes (DK)","Netherlands","Total","Total","Number","8"
"2019","Faroes (DK)","Netherlands","Total","Males","Number","5"
"2019","Faroes (DK)","Netherlands","Total","Females","Number","3"
"2019","Guernsey","Netherlands","Total","Total","Number","0"
"2019","Guernsey","Netherlands","Total","Males","Number","0"
"2019","Guernsey","Netherlands","Total","Females","Number","0"
"2019","Gibraltar (UK)","Netherlands","Total","Total","Number","34"
"2019","Gibraltar (UK)","Netherlands","Total","Males","Number","22"
"2019","Gibraltar (UK)","Netherlands","Total","Females","Number","12"
"2019","Isle of Man","Netherlands","Total","Total","Number","10"
"2019","Isle of Man","Netherlands","Total","Males","Number","5"
"2019","Isle of Man","Netherlands","Total","Females","Number","5"
"2019","Jersey","Netherlands","Total","Total","Number","0"
"2019","Jersey","Netherlands","Total","Males","Number","0"
"2019","Jersey","Netherlands","Total","Females","Number","0"
"2019","Monaco","Netherlands","Total","Total","Number","110"
"2019","Monaco","Netherlands","Total","Males","Number","49"
"2019","Monaco","Netherlands","Total","Females","Number","61"
"2019","Moldova","Netherlands","Total","Total","Number","976"
"2019","Moldova","Netherlands","Total","Males","Number","502"
"2019","Moldova","Netherlands","Total","Females","Number","474"
"2019","Montenegro","Netherlands","Total","Total","Number","11"
"2019","Montenegro","Netherlands","Total","Males","Number","7"
"2019","Montenegro","Netherlands","Total","Females","Number","4"
"2019","Serbia","Netherlands","Total","Total","Number","313"
"2019","Serbia","Netherlands","Total","Males","Number","174"
"2019","Serbia","Netherlands","Total","Females","Number","139"
"2019","Russia","Netherlands","Total","Total","Number","4,948"
"2019","Russia","Netherlands","Total","Males","Number","2,189"
"2019","Russia","Netherlands","Total","Females","Number","2,759"
"2019","Svalbard and Jan Mayen (NO)","Netherlands","Total","Total","Number",":"
"2019","Svalbard and Jan Mayen (NO)","Netherlands","Total","Males","Number",":"
"2019","Svalbard and Jan Mayen (NO)","Netherlands","Total","Females","Number",":"
"2019","San Marino","Netherlands","Total","Total","Number","5"
"2019","San Marino","Netherlands","Total","Males","Number","3"
"2019","San Marino","Netherlands","Total","Females","Number","2"
"2019","Ukraine","Netherlands","Total","Total","Number","2,946"
"2019","Ukraine","Netherlands","Total","Males","Number","1,319"
"2019","Ukraine","Netherlands","Total","Females","Number","1,627"
"2019","Vatican City State","Netherlands","Total","Total","Number","0"
"2019","Vatican City State","Netherlands","Total","Males","Number","0"
"2019","Vatican City State","Netherlands","Total","Females","Number","0"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Netherlands","Total","Total","Number","56"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Netherlands","Total","Males","Number","25"
"2019","Kosovo (under United Nations Security Council Resolution 1244/99)","Netherlands","Total","Females","Number","31"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Netherlands","Total","Total","Number","1,035"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Netherlands","Total","Males","Number","523"
"2019","Former Serbia and Montenegro (before 2006) / Total components of the former Serbia and Montenegro","Netherlands","Total","Females","Number","512"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Netherlands","Total","Total","Number","9,878"
"2019","Former Czechoslovakia (before 1992) / Total components of former Czechoslovakia","Netherlands","Total","Males","Number","3,843"
