"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Norway","Total","Total","Number","5,328,212"
"2019","Total","Norway","Total","Males","Number","2,685,073"
"2019","Total","Norway","Total","Females","Number","2,643,139"
"2019","Belgium","Norway","Total","Total","Number","1,867"
"2019","Belgium","Norway","Total","Males","Number","986"
"2019","Belgium","Norway","Total","Females","Number","881"
"2019","Bulgaria","Norway","Total","Total","Number","7,203"
"2019","Bulgaria","Norway","Total","Males","Number","3,948"
"2019","Bulgaria","Norway","Total","Females","Number","3,255"
"2019","Czechia","Norway","Total","Total","Number","2,198"
"2019","Czechia","Norway","Total","Males","Number","1,099"
"2019","Czechia","Norway","Total","Females","Number","1,099"
"2019","Denmark","Norway","Total","Total","Number","24,530"
"2019","Denmark","Norway","Total","Males","Number","12,810"
"2019","Denmark","Norway","Total","Females","Number","11,720"
"2019","Germany (until 1990 former territory of the FRG)","Norway","Total","Total","Number","27,971"
"2019","Germany (until 1990 former territory of the FRG)","Norway","Total","Males","Number","14,517"
"2019","Germany (until 1990 former territory of the FRG)","Norway","Total","Females","Number","13,454"
"2019","Estonia","Norway","Total","Total","Number","4,684"
"2019","Estonia","Norway","Total","Males","Number","2,544"
"2019","Estonia","Norway","Total","Females","Number","2,140"
"2019","Ireland","Norway","Total","Total","Number","1,146"
"2019","Ireland","Norway","Total","Males","Number","696"
"2019","Ireland","Norway","Total","Females","Number","450"
"2019","Greece","Norway","Total","Total","Number","3,311"
"2019","Greece","Norway","Total","Males","Number","1,926"
"2019","Greece","Norway","Total","Females","Number","1,385"
"2019","Spain","Norway","Total","Total","Number","7,259"
"2019","Spain","Norway","Total","Males","Number","3,925"
"2019","Spain","Norway","Total","Females","Number","3,334"
"2019","France","Norway","Total","Total","Number","6,593"
"2019","France","Norway","Total","Males","Number","3,660"
"2019","France","Norway","Total","Females","Number","2,933"
"2019","Croatia","Norway","Total","Total","Number","4,836"
"2019","Croatia","Norway","Total","Males","Number","2,640"
"2019","Croatia","Norway","Total","Females","Number","2,196"
"2019","Italy","Norway","Total","Total","Number","4,978"
"2019","Italy","Norway","Total","Males","Number","3,106"
"2019","Italy","Norway","Total","Females","Number","1,872"
"2019","Cyprus","Norway","Total","Total","Number","209"
"2019","Cyprus","Norway","Total","Males","Number","131"
"2019","Cyprus","Norway","Total","Females","Number","78"
"2019","Latvia","Norway","Total","Total","Number","10,456"
"2019","Latvia","Norway","Total","Males","Number","5,961"
"2019","Latvia","Norway","Total","Females","Number","4,495"
"2019","Lithuania","Norway","Total","Total","Number","39,355"
"2019","Lithuania","Norway","Total","Males","Number","22,681"
"2019","Lithuania","Norway","Total","Females","Number","16,674"
"2019","Luxembourg","Norway","Total","Total","Number","148"
"2019","Luxembourg","Norway","Total","Males","Number","93"
"2019","Luxembourg","Norway","Total","Females","Number","55"
"2019","Hungary","Norway","Total","Total","Number","4,253"
"2019","Hungary","Norway","Total","Males","Number","2,205"
"2019","Hungary","Norway","Total","Females","Number","2,048"
"2019","Malta","Norway","Total","Total","Number","105"
"2019","Malta","Norway","Total","Males","Number","52"
"2019","Malta","Norway","Total","Females","Number","53"
"2019","Netherlands","Norway","Total","Total","Number","8,976"
"2019","Netherlands","Norway","Total","Males","Number","4,938"
"2019","Netherlands","Norway","Total","Females","Number","4,038"
"2019","Austria","Norway","Total","Total","Number","1,668"
"2019","Austria","Norway","Total","Males","Number","864"
"2019","Austria","Norway","Total","Females","Number","804"
"2019","Poland","Norway","Total","Total","Number","99,061"
"2019","Poland","Norway","Total","Males","Number","62,681"
"2019","Poland","Norway","Total","Females","Number","36,380"
"2019","Portugal","Norway","Total","Total","Number","3,493"
"2019","Portugal","Norway","Total","Males","Number","2,060"
"2019","Portugal","Norway","Total","Females","Number","1,433"
"2019","Romania","Norway","Total","Total","Number","14,686"
"2019","Romania","Norway","Total","Males","Number","8,047"
"2019","Romania","Norway","Total","Females","Number","6,639"
"2019","Slovenia","Norway","Total","Total","Number","433"
"2019","Slovenia","Norway","Total","Males","Number","225"
"2019","Slovenia","Norway","Total","Females","Number","208"
"2019","Slovakia","Norway","Total","Total","Number","3,732"
"2019","Slovakia","Norway","Total","Males","Number","2,256"
"2019","Slovakia","Norway","Total","Females","Number","1,476"
"2019","Finland","Norway","Total","Total","Number","7,093"
"2019","Finland","Norway","Total","Males","Number","2,804"
"2019","Finland","Norway","Total","Females","Number","4,289"
"2019","Sweden","Norway","Total","Total","Number","47,675"
"2019","Sweden","Norway","Total","Males","Number","24,215"
"2019","Sweden","Norway","Total","Females","Number","23,460"
"2019","United Kingdom","Norway","Total","Total","Number","19,689"
"2019","United Kingdom","Norway","Total","Males","Number","12,042"
"2019","United Kingdom","Norway","Total","Females","Number","7,647"
"2019","Iceland","Norway","Total","Total","Number","7,690"
"2019","Iceland","Norway","Total","Males","Number","3,932"
"2019","Iceland","Norway","Total","Females","Number","3,758"
"2019","Liechtenstein","Norway","Total","Total","Number","21"
"2019","Liechtenstein","Norway","Total","Males","Number","13"
"2019","Liechtenstein","Norway","Total","Females","Number","8"
