"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2009","Total","Poland","Total","Total","Number","38,135,876"
"2009","Total","Poland","Total","Males","Number","18,414,926"
"2009","Total","Poland","Total","Females","Number","19,720,950"
"2009","Belgium","Poland","Total","Total","Number","5,692"
"2009","Belgium","Poland","Total","Males","Number","2,828"
"2009","Belgium","Poland","Total","Females","Number","2,864"
"2009","Bulgaria","Poland","Total","Total","Number","2,621"
"2009","Bulgaria","Poland","Total","Males","Number","1,440"
"2009","Bulgaria","Poland","Total","Females","Number","1,181"
"2009","Czechia","Poland","Total","Total","Number","2,534"
"2009","Czechia","Poland","Total","Males","Number","1,104"
"2009","Czechia","Poland","Total","Females","Number","1,430"
"2009","Denmark","Poland","Total","Total","Number","720"
"2009","Denmark","Poland","Total","Males","Number","351"
"2009","Denmark","Poland","Total","Females","Number","369"
"2009","Germany (until 1990 former territory of the FRG)","Poland","Total","Total","Number","62,873"
"2009","Germany (until 1990 former territory of the FRG)","Poland","Total","Males","Number","28,482"
"2009","Germany (until 1990 former territory of the FRG)","Poland","Total","Females","Number","34,391"
"2009","Estonia","Poland","Total","Total","Number","242"
"2009","Estonia","Poland","Total","Males","Number","93"
"2009","Estonia","Poland","Total","Females","Number","149"
"2009","Ireland","Poland","Total","Total","Number","3,302"
"2009","Ireland","Poland","Total","Males","Number","1,722"
"2009","Ireland","Poland","Total","Females","Number","1,580"
"2009","Greece","Poland","Total","Total","Number","2,406"
"2009","Greece","Poland","Total","Males","Number","1,277"
"2009","Greece","Poland","Total","Females","Number","1,129"
"2009","Spain","Poland","Total","Total","Number","3,136"
"2009","Spain","Poland","Total","Males","Number","1,666"
"2009","Spain","Poland","Total","Females","Number","1,470"
"2009","France","Poland","Total","Total","Number","25,024"
"2009","France","Poland","Total","Males","Number","11,140"
"2009","France","Poland","Total","Females","Number","13,884"
"2009","Croatia","Poland","Total","Total","Number","217"
"2009","Croatia","Poland","Total","Males","Number","121"
"2009","Croatia","Poland","Total","Females","Number","96"
"2009","Italy","Poland","Total","Total","Number","8,958"
"2009","Italy","Poland","Total","Males","Number","4,784"
"2009","Italy","Poland","Total","Females","Number","4,174"
"2009","Cyprus","Poland","Total","Total","Number","180"
"2009","Cyprus","Poland","Total","Males","Number","100"
"2009","Cyprus","Poland","Total","Females","Number","80"
"2009","Latvia","Poland","Total","Total","Number","767"
"2009","Latvia","Poland","Total","Males","Number","307"
"2009","Latvia","Poland","Total","Females","Number","460"
"2009","Lithuania","Poland","Total","Total","Number","33,604"
"2009","Lithuania","Poland","Total","Males","Number","12,837"
"2009","Lithuania","Poland","Total","Females","Number","20,767"
"2009","Luxembourg","Poland","Total","Total","Number","176"
"2009","Luxembourg","Poland","Total","Males","Number","83"
"2009","Luxembourg","Poland","Total","Females","Number","93"
"2009","Hungary","Poland","Total","Total","Number","1,204"
"2009","Hungary","Poland","Total","Males","Number","541"
"2009","Hungary","Poland","Total","Females","Number","663"
"2009","Malta","Poland","Total","Total","Number","13"
"2009","Malta","Poland","Total","Males","Number","8"
"2009","Malta","Poland","Total","Females","Number","5"
"2009","Netherlands","Poland","Total","Total","Number","2,273"
"2009","Netherlands","Poland","Total","Males","Number","1,295"
"2009","Netherlands","Poland","Total","Females","Number","978"
