"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Slovakia","Total","Total","Number","5,450,421"
"2019","Total","Slovakia","Total","Males","Number","2,661,077"
"2019","Total","Slovakia","Total","Females","Number","2,789,344"
"2019","Belgium","Slovakia","Total","Total","Number","1,016"
"2019","Belgium","Slovakia","Total","Males","Number","658"
"2019","Belgium","Slovakia","Total","Females","Number","358"
"2019","Bulgaria","Slovakia","Total","Total","Number","2,561"
"2019","Bulgaria","Slovakia","Total","Males","Number","1,766"
"2019","Bulgaria","Slovakia","Total","Females","Number","795"
"2019","Czechia","Slovakia","Total","Total","Number","88,123"
"2019","Czechia","Slovakia","Total","Males","Number","39,767"
"2019","Czechia","Slovakia","Total","Females","Number","48,356"
"2019","Denmark","Slovakia","Total","Total","Number","323"
"2019","Denmark","Slovakia","Total","Males","Number","213"
"2019","Denmark","Slovakia","Total","Females","Number","110"
"2019","Germany (until 1990 former territory of the FRG)","Slovakia","Total","Total","Number","6,114"
"2019","Germany (until 1990 former territory of the FRG)","Slovakia","Total","Males","Number","4,000"
"2019","Germany (until 1990 former territory of the FRG)","Slovakia","Total","Females","Number","2,114"
"2019","Estonia","Slovakia","Total","Total","Number","69"
"2019","Estonia","Slovakia","Total","Males","Number","23"
"2019","Estonia","Slovakia","Total","Females","Number","46"
"2019","Ireland","Slovakia","Total","Total","Number","1,474"
"2019","Ireland","Slovakia","Total","Males","Number","806"
"2019","Ireland","Slovakia","Total","Females","Number","668"
"2019","Greece","Slovakia","Total","Total","Number","641"
"2019","Greece","Slovakia","Total","Males","Number","422"
"2019","Greece","Slovakia","Total","Females","Number","219"
"2019","Spain","Slovakia","Total","Total","Number","1,287"
"2019","Spain","Slovakia","Total","Males","Number","718"
"2019","Spain","Slovakia","Total","Females","Number","569"
"2019","France","Slovakia","Total","Total","Number","3,001"
"2019","France","Slovakia","Total","Males","Number","1,686"
"2019","France","Slovakia","Total","Females","Number","1,315"
"2019","Croatia","Slovakia","Total","Total","Number","1,225"
"2019","Croatia","Slovakia","Total","Males","Number","857"
"2019","Croatia","Slovakia","Total","Females","Number","368"
"2019","Italy","Slovakia","Total","Total","Number","3,863"
"2019","Italy","Slovakia","Total","Males","Number","2,843"
"2019","Italy","Slovakia","Total","Females","Number","1,020"
