"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Spain","Total","Total","Number","46,937,060"
"2019","Total","Spain","Total","Males","Number","23,009,259"
"2019","Total","Spain","Total","Females","Number","23,927,801"
"2019","Belgium","Spain","Total","Total","Number","49,681"
"2019","Belgium","Spain","Total","Males","Number","25,302"
"2019","Belgium","Spain","Total","Females","Number","24,379"
"2019","Bulgaria","Spain","Total","Total","Number","114,628"
"2019","Bulgaria","Spain","Total","Males","Number","56,978"
"2019","Bulgaria","Spain","Total","Females","Number","57,650"
"2019","Czechia","Spain","Total","Total","Number",":"
"2019","Czechia","Spain","Total","Males","Number",":"
"2019","Czechia","Spain","Total","Females","Number",":"
"2019","Denmark","Spain","Total","Total","Number","11,161"
"2019","Denmark","Spain","Total","Males","Number","5,620"
"2019","Denmark","Spain","Total","Females","Number","5,541"
"2019","Germany (until 1990 former territory of the FRG)","Spain","Total","Total","Number","192,090"
"2019","Germany (until 1990 former territory of the FRG)","Spain","Total","Males","Number","93,735"
"2019","Germany (until 1990 former territory of the FRG)","Spain","Total","Females","Number","98,355"
"2019","Estonia","Spain","Total","Total","Number",":"
"2019","Estonia","Spain","Total","Males","Number",":"
"2019","Estonia","Spain","Total","Females","Number",":"
"2019","Ireland","Spain","Total","Total","Number","15,413"
"2019","Ireland","Spain","Total","Males","Number","7,970"
"2019","Ireland","Spain","Total","Females","Number","7,443"
"2019","Greece","Spain","Total","Total","Number",":"
"2019","Greece","Spain","Total","Males","Number",":"
"2019","Greece","Spain","Total","Females","Number",":"
"2019","Spain","Spain","Total","Total","Number","40,398,099"
"2019","Spain","Spain","Total","Males","Number","19,877,732"
"2019","Spain","Spain","Total","Females","Number","20,520,367"
"2019","France","Spain","Total","Total","Number","211,920"
"2019","France","Spain","Total","Males","Number","102,866"
"2019","France","Spain","Total","Females","Number","109,054"
"2019","Croatia","Spain","Total","Total","Number",":"
"2019","Croatia","Spain","Total","Males","Number",":"
"2019","Croatia","Spain","Total","Females","Number",":"
"2019","Italy","Spain","Total","Total","Number","147,024"
"2019","Italy","Spain","Total","Males","Number","86,379"
"2019","Italy","Spain","Total","Females","Number","60,645"
"2019","Cyprus","Spain","Total","Total","Number",":"
"2019","Cyprus","Spain","Total","Males","Number",":"
"2019","Cyprus","Spain","Total","Females","Number",":"
"2019","Latvia","Spain","Total","Total","Number",":"
"2019","Latvia","Spain","Total","Males","Number",":"
"2019","Latvia","Spain","Total","Females","Number",":"
"2019","Lithuania","Spain","Total","Total","Number","15,788"
"2019","Lithuania","Spain","Total","Males","Number","6,759"
"2019","Lithuania","Spain","Total","Females","Number","9,029"
"2019","Luxembourg","Spain","Total","Total","Number",":"
"2019","Luxembourg","Spain","Total","Males","Number",":"
"2019","Luxembourg","Spain","Total","Females","Number",":"
"2019","Hungary","Spain","Total","Total","Number",":"
"2019","Hungary","Spain","Total","Males","Number",":"
"2019","Hungary","Spain","Total","Females","Number",":"
"2019","Malta","Spain","Total","Total","Number",":"
"2019","Malta","Spain","Total","Males","Number",":"
"2019","Malta","Spain","Total","Females","Number",":"
"2019","Netherlands","Spain","Total","Total","Number","49,568"
"2019","Netherlands","Spain","Total","Males","Number","25,745"
"2019","Netherlands","Spain","Total","Females","Number","23,823"
"2019","Austria","Spain","Total","Total","Number",":"
"2019","Austria","Spain","Total","Males","Number",":"
"2019","Austria","Spain","Total","Females","Number",":"
"2019","Poland","Spain","Total","Total","Number","60,757"
"2019","Poland","Spain","Total","Males","Number","26,731"
"2019","Poland","Spain","Total","Females","Number","34,026"
"2019","Portugal","Spain","Total","Total","Number","103,448"
"2019","Portugal","Spain","Total","Males","Number","57,758"
"2019","Portugal","Spain","Total","Females","Number","45,690"
"2019","Romania","Spain","Total","Total","Number","587,141"
"2019","Romania","Spain","Total","Males","Number","287,928"
"2019","Romania","Spain","Total","Females","Number","299,213"
"2019","Slovenia","Spain","Total","Total","Number",":"
"2019","Slovenia","Spain","Total","Males","Number",":"
"2019","Slovenia","Spain","Total","Females","Number",":"
"2019","Slovakia","Spain","Total","Total","Number",":"
"2019","Slovakia","Spain","Total","Males","Number",":"
"2019","Slovakia","Spain","Total","Females","Number",":"
"2019","Finland","Spain","Total","Total","Number","12,637"
"2019","Finland","Spain","Total","Males","Number","5,550"
"2019","Finland","Spain","Total","Females","Number","7,087"
"2019","Sweden","Spain","Total","Total","Number","20,642"
"2019","Sweden","Spain","Total","Males","Number","9,492"
"2019","Sweden","Spain","Total","Females","Number","11,150"
"2019","United Kingdom","Spain","Total","Total","Number","290,244"
"2019","United Kingdom","Spain","Total","Males","Number","144,706"
"2019","United Kingdom","Spain","Total","Females","Number","145,538"
"2019","Iceland","Spain","Total","Total","Number",":"
"2019","Iceland","Spain","Total","Males","Number",":"
