"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Sweden","Total","Total","Number","10,230,185"
"2019","Total","Sweden","Total","Males","Number","5,142,438"
"2019","Total","Sweden","Total","Females","Number","5,087,747"
"2019","Belgium","Sweden","Total","Total","Number","2,997"
"2019","Belgium","Sweden","Total","Males","Number","1,641"
"2019","Belgium","Sweden","Total","Females","Number","1,356"
"2019","Bulgaria","Sweden","Total","Total","Number","9,624"
"2019","Bulgaria","Sweden","Total","Males","Number","4,911"
"2019","Bulgaria","Sweden","Total","Females","Number","4,713"
"2019","Czechia","Sweden","Total","Total","Number","2,252"
"2019","Czechia","Sweden","Total","Males","Number","1,051"
"2019","Czechia","Sweden","Total","Females","Number","1,201"
"2019","Denmark","Sweden","Total","Total","Number","40,011"
"2019","Denmark","Sweden","Total","Males","Number","21,214"
"2019","Denmark","Sweden","Total","Females","Number","18,797"
"2019","Germany (until 1990 former territory of the FRG)","Sweden","Total","Total","Number","51,140"
"2019","Germany (until 1990 former territory of the FRG)","Sweden","Total","Males","Number","24,281"
"2019","Germany (until 1990 former territory of the FRG)","Sweden","Total","Females","Number","26,859"
"2019","Estonia","Sweden","Total","Total","Number","10,094"
"2019","Estonia","Sweden","Total","Males","Number","4,462"
"2019","Estonia","Sweden","Total","Females","Number","5,632"
"2019","Ireland","Sweden","Total","Total","Number","2,843"
"2019","Ireland","Sweden","Total","Males","Number","1,926"
"2019","Ireland","Sweden","Total","Females","Number","917"
"2019","Greece","Sweden","Total","Total","Number","18,917"
"2019","Greece","Sweden","Total","Males","Number","10,716"
"2019","Greece","Sweden","Total","Females","Number","8,201"
"2019","Spain","Sweden","Total","Total","Number","12,268"
"2019","Spain","Sweden","Total","Males","Number","6,792"
"2019","Spain","Sweden","Total","Females","Number","5,476"
"2019","France","Sweden","Total","Total","Number","11,159"
"2019","France","Sweden","Total","Males","Number","6,447"
"2019","France","Sweden","Total","Females","Number","4,712"
"2019","Croatia","Sweden","Total","Total","Number","11,163"
"2019","Croatia","Sweden","Total","Males","Number","5,943"
"2019","Croatia","Sweden","Total","Females","Number","5,220"
"2019","Italy","Sweden","Total","Total","Number","13,192"
"2019","Italy","Sweden","Total","Males","Number","8,072"
"2019","Italy","Sweden","Total","Females","Number","5,120"
"2019","Cyprus","Sweden","Total","Total","Number","850"
"2019","Cyprus","Sweden","Total","Males","Number","469"
"2019","Cyprus","Sweden","Total","Females","Number","381"
"2019","Latvia","Sweden","Total","Total","Number","8,226"
"2019","Latvia","Sweden","Total","Males","Number","3,975"
"2019","Latvia","Sweden","Total","Females","Number","4,251"
"2019","Lithuania","Sweden","Total","Total","Number","14,732"
"2019","Lithuania","Sweden","Total","Males","Number","7,849"
"2019","Lithuania","Sweden","Total","Females","Number","6,883"
"2019","Luxembourg","Sweden","Total","Total","Number","378"
"2019","Luxembourg","Sweden","Total","Males","Number","181"
"2019","Luxembourg","Sweden","Total","Females","Number","197"
"2019","Hungary","Sweden","Total","Total","Number","16,799"
"2019","Hungary","Sweden","Total","Males","Number","8,216"
"2019","Hungary","Sweden","Total","Females","Number","8,583"
"2019","Malta","Sweden","Total","Total","Number","199"
"2019","Malta","Sweden","Total","Males","Number","106"
"2019","Malta","Sweden","Total","Females","Number","93"
"2019","Netherlands","Sweden","Total","Total","Number","12,095"
"2019","Netherlands","Sweden","Total","Males","Number","6,849"
"2019","Netherlands","Sweden","Total","Females","Number","5,246"
"2019","Austria","Sweden","Total","Total","Number","5,755"
"2019","Austria","Sweden","Total","Males","Number","3,076"
"2019","Austria","Sweden","Total","Females","Number","2,679"
"2019","Poland","Sweden","Total","Total","Number","92,759"
"2019","Poland","Sweden","Total","Males","Number","43,553"
"2019","Poland","Sweden","Total","Females","Number","49,206"
"2019","Portugal","Sweden","Total","Total","Number","4,148"
"2019","Portugal","Sweden","Total","Males","Number","2,237"
"2019","Portugal","Sweden","Total","Females","Number","1,911"
"2019","Romania","Sweden","Total","Total","Number","31,040"
"2019","Romania","Sweden","Total","Males","Number","15,628"
"2019","Romania","Sweden","Total","Females","Number","15,412"
"2019","Slovenia","Sweden","Total","Total","Number","1,377"
"2019","Slovenia","Sweden","Total","Males","Number","690"
"2019","Slovenia","Sweden","Total","Females","Number","687"
"2019","Slovakia","Sweden","Total","Total","Number","1,861"
"2019","Slovakia","Sweden","Total","Males","Number","861"
"2019","Slovakia","Sweden","Total","Females","Number","1,000"
"2019","Finland","Sweden","Total","Total","Number","147,883"
"2019","Finland","Sweden","Total","Males","Number","58,253"
"2019","Finland","Sweden","Total","Females","Number","89,630"
"2019","Sweden","Sweden","Total","Total","Number","8,274,616"
"2019","Sweden","Sweden","Total","Males","Number","4,159,896"
"2019","Sweden","Sweden","Total","Females","Number","4,114,720"
"2019","United Kingdom","Sweden","Total","Total","Number","28,976"
"2019","United Kingdom","Sweden","Total","Males","Number","19,009"
"2019","United Kingdom","Sweden","Total","Females","Number","9,967"
"2019","Iceland","Sweden","Total","Total","Number","5,992"
"2019","Iceland","Sweden","Total","Males","Number","2,937"
"2019","Iceland","Sweden","Total","Females","Number","3,055"
"2019","Liechtenstein","Sweden","Total","Total","Number","5"
"2019","Liechtenstein","Sweden","Total","Males","Number","2"
"2019","Liechtenstein","Sweden","Total","Females","Number","3"
"2019","Norway","Sweden","Total","Total","Number","41,747"
"2019","Norway","Sweden","Total","Males","Number","18,790"
"2019","Norway","Sweden","Total","Females","Number","22,957"
"2019","Switzerland","Sweden","Total","Total","Number","4,021"
"2019","Switzerland","Sweden","Total","Males","Number","2,128"
"2019","Switzerland","Sweden","Total","Females","Number","1,893"
"2019","North Macedonia","Sweden","Total","Total","Number","8,359"
"2019","North Macedonia","Sweden","Total","Males","Number","4,351"
"2019","North Macedonia","Sweden","Total","Females","Number","4,008"
"2019","Turkey","Sweden","Total","Total","Number","49,948"
"2019","Turkey","Sweden","Total","Males","Number","27,470"
"2019","Turkey","Sweden","Total","Females","Number","22,478"
"2019","Andorra","Sweden","Total","Total","Number","5"
"2019","Andorra","Sweden","Total","Males","Number","2"
"2019","Andorra","Sweden","Total","Females","Number","3"
"2019","Albania","Sweden","Total","Total","Number","5,583"
"2019","Albania","Sweden","Total","Males","Number","3,193"
"2019","Albania","Sweden","Total","Females","Number","2,390"
"2019","Bosnia and Herzegovina","Sweden","Total","Total","Number","59,395"
"2019","Bosnia and Herzegovina","Sweden","Total","Males","Number","29,463"
"2019","Bosnia and Herzegovina","Sweden","Total","Females","Number","29,932"
"2019","Belarus","Sweden","Total","Total","Number","3,324"
"2019","Belarus","Sweden","Total","Males","Number","1,313"
"2019","Belarus","Sweden","Total","Females","Number","2,011"
"2019","Faroes (DK)","Sweden","Total","Total","Number","0"
"2019","Faroes (DK)","Sweden","Total","Males","Number","0"
"2019","Faroes (DK)","Sweden","Total","Females","Number","0"
"2019","Guernsey","Sweden","Total","Total","Number","0"
"2019","Guernsey","Sweden","Total","Males","Number","0"
"2019","Guernsey","Sweden","Total","Females","Number","0"
"2019","Gibraltar (UK)","Sweden","Total","Total","Number","5"
"2019","Gibraltar (UK)","Sweden","Total","Males","Number","1"
"2019","Gibraltar (UK)","Sweden","Total","Females","Number","4"
"2019","Isle of Man","Sweden","Total","Total","Number","0"
"2019","Isle of Man","Sweden","Total","Males","Number","0"
"2019","Isle of Man","Sweden","Total","Females","Number","0"
"2019","Jersey","Sweden","Total","Total","Number","0"
"2019","Jersey","Sweden","Total","Males","Number","0"
"2019","Jersey","Sweden","Total","Females","Number","0"
"2019","Monaco","Sweden","Total","Total","Number","47"
"2019","Monaco","Sweden","Total","Males","Number","27"
"2019","Monaco","Sweden","Total","Females","Number","20"
"2019","Moldova","Sweden","Total","Total","Number","1,202"
"2019","Moldova","Sweden","Total","Males","Number","472"
"2019","Moldova","Sweden","Total","Females","Number","730"
"2019","Montenegro","Sweden","Total","Total","Number","1,223"
"2019","Montenegro","Sweden","Total","Males","Number","646"
"2019","Montenegro","Sweden","Total","Females","Number","577"
"2019","Serbia","Sweden","Total","Total","Number","13,856"
"2019","Serbia","Sweden","Total","Males","Number","7,101"
"2019","Serbia","Sweden","Total","Females","Number","6,755"
"2019","Russia","Sweden","Total","Total","Number","21,615"
"2019","Russia","Sweden","Total","Males","Number","7,472"
"2019","Russia","Sweden","Total","Females","Number","14,143"
"2019","Svalbard and Jan Mayen (NO)","Sweden","Total","Total","Number",":"
"2019","Svalbard and Jan Mayen (NO)","Sweden","Total","Males","Number",":"
"2019","Svalbard and Jan Mayen (NO)","Sweden","Total","Females","Number",":"
"2019","San Marino","Sweden","Total","Total","Number","5"
"2019","San Marino","Sweden","Total","Males","Number","2"
