"TIME","C_BIRTH","GEO","AGE","SEX","UNIT","Value"
"2019","Total","Switzerland","Total","Total","Number","8,544,527"
"2019","Total","Switzerland","Total","Males","Number","4,237,121"
"2019","Total","Switzerland","Total","Females","Number","4,307,406"
"2019","Belgium","Switzerland","Total","Total","Number","17,290"
"2019","Belgium","Switzerland","Total","Males","Number","8,483"
"2019","Belgium","Switzerland","Total","Females","Number","8,807"
"2019","Bulgaria","Switzerland","Total","Total","Number","8,561"
"2019","Bulgaria","Switzerland","Total","Males","Number","3,016"
"2019","Bulgaria","Switzerland","Total","Females","Number","5,545"
"2019","Czechia","Switzerland","Total","Total","Number","15,451"
"2019","Czechia","Switzerland","Total","Males","Number","6,466"
"2019","Czechia","Switzerland","Total","Females","Number","8,985"
"2019","Denmark","Switzerland","Total","Total","Number","5,512"
"2019","Denmark","Switzerland","Total","Males","Number","2,437"
"2019","Denmark","Switzerland","Total","Females","Number","3,075"
"2019","Germany (until 1990 former territory of the FRG)","Switzerland","Total","Total","Number","355,330"
"2019","Germany (until 1990 former territory of the FRG)","Switzerland","Total","Males","Number","176,474"
"2019","Germany (until 1990 former territory of the FRG)","Switzerland","Total","Females","Number","178,856"
"2019","Estonia","Switzerland","Total","Total","Number","851"
"2019","Estonia","Switzerland","Total","Males","Number","265"
"2019","Estonia","Switzerland","Total","Females","Number","586"
"2019","Ireland","Switzerland","Total","Total","Number","4,075"
"2019","Ireland","Switzerland","Total","Males","Number","2,097"
"2019","Ireland","Switzerland","Total","Females","Number","1,978"
"2019","Greece","Switzerland","Total","Total","Number","14,716"
"2019","Greece","Switzerland","Total","Males","Number","7,850"
"2019","Greece","Switzerland","Total","Females","Number","6,866"
"2019","Spain","Switzerland","Total","Total","Number","68,615"
"2019","Spain","Switzerland","Total","Males","Number","34,857"
"2019","Spain","Switzerland","Total","Females","Number","33,758"
"2019","France","Switzerland","Total","Total","Number","169,369"
"2019","France","Switzerland","Total","Males","Number","83,974"
"2019","France","Switzerland","Total","Females","Number","85,395"
"2019","Croatia","Switzerland","Total","Total","Number","19,782"
"2019","Croatia","Switzerland","Total","Males","Number","8,492"
"2019","Croatia","Switzerland","Total","Females","Number","11,290"
"2019","Italy","Switzerland","Total","Total","Number","268,829"
"2019","Italy","Switzerland","Total","Males","Number","151,312"
"2019","Italy","Switzerland","Total","Females","Number","117,517"
"2019","Cyprus","Switzerland","Total","Total","Number","533"
"2019","Cyprus","Switzerland","Total","Males","Number","293"
"2019","Cyprus","Switzerland","Total","Females","Number","240"
"2019","Latvia","Switzerland","Total","Total","Number","2,529"
"2019","Latvia","Switzerland","Total","Males","Number","805"
"2019","Latvia","Switzerland","Total","Females","Number","1,724"
"2019","Lithuania","Switzerland","Total","Total","Number","2,466"
"2019","Lithuania","Switzerland","Total","Males","Number","808"
"2019","Lithuania","Switzerland","Total","Females","Number","1,658"
"2019","Luxembourg","Switzerland","Total","Total","Number","2,412"
"2019","Luxembourg","Switzerland","Total","Males","Number","1,191"
"2019","Luxembourg","Switzerland","Total","Females","Number","1,221"
"2019","Hungary","Switzerland","Total","Total","Number","26,138"
"2019","Hungary","Switzerland","Total","Males","Number","12,502"
"2019","Hungary","Switzerland","Total","Females","Number","13,636"
"2019","Malta","Switzerland","Total","Total","Number","311"
"2019","Malta","Switzerland","Total","Males","Number","140"
"2019","Malta","Switzerland","Total","Females","Number","171"
"2019","Netherlands","Switzerland","Total","Total","Number","23,414"
"2019","Netherlands","Switzerland","Total","Males","Number","11,381"
"2019","Netherlands","Switzerland","Total","Females","Number","12,033"
"2019","Austria","Switzerland","Total","Total","Number","59,219"
"2019","Austria","Switzerland","Total","Males","Number","24,019"
"2019","Austria","Switzerland","Total","Females","Number","35,200"
"2019","Poland","Switzerland","Total","Total","Number","40,769"
"2019","Poland","Switzerland","Total","Males","Number","18,700"
"2019","Poland","Switzerland","Total","Females","Number","22,069"
"2019","Portugal","Switzerland","Total","Total","Number","217,662"
"2019","Portugal","Switzerland","Total","Males","Number","117,852"
"2019","Portugal","Switzerland","Total","Females","Number","99,810"
"2019","Romania","Switzerland","Total","Total","Number","24,275"
"2019","Romania","Switzerland","Total","Males","Number","9,121"
"2019","Romania","Switzerland","Total","Females","Number","15,154"
"2019","Slovenia","Switzerland","Total","Total","Number","6,486"
