,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
146,146,53.34717159599906,-6.267473499976692,50,49,4ade0f06f964a520ce7021e3,Cactus Jacks,53.34711134669858,-6.265324714665812,Mexican Restaurant
147,147,53.34264973733427,-6.267473499976692,50,0,4ade0f34f964a520797121e3,Yamamori Noodles,53.34282147246451,-6.264443612001212,Japanese Restaurant
233,233,53.34264973733427,-6.258467676493898,38,11,4ade0f35f964a5207e7121e3,The Cedar Tree,53.34321701851982,-6.261982917517187,Middle Eastern Restaurant
666,397,53.344910666666664,-6.254705882352941,50,5,4ade0f36f964a520817121e3,The Mongolian Barbeque,53.344891917084475,-6.2619443156793215,Mongolian Restaurant
561,292,53.335212,-6.254705882352941,24,3,4ade0f3df964a5209c7121e3,The Unicorn,53.338226021666614,-6.254811326647668,Italian Restaurant
748,479,53.35460933333334,-6.287764705882353,20,9,4ade0f45f964a520b87121e3,Green Chilli,53.35550500000001,-6.288031,Indian Restaurant
304,35,53.28671866666666,-6.370411764705883,20,14,4ade0f46f964a520bc7121e3,The Olive Tree Restaurant,53.28590240732022,-6.367050727202133,Mediterranean Restaurant
605,336,53.344910666666664,-6.304294117647059,2,1,4ade0f4af964a520d17121e3,La Dolce Vita,53.341746365577094,-6.307783325351367,Italian Restaurant
193,193,53.34264973733427,-6.267473499976692,50,46,4af1a997f964a520f6e121e3,Zaytoon,53.344884203377866,-6.267423820722443,Persian Restaurant
656,387,53.344910666666664,-6.271235294117648,50,45,4af1fed4f964a52001e521e3,The Port House Pintxo,53.34516168741615,-6.264965488369995,Tapas Restaurant
253,253,53.34264973733427,-6.258467676493898,38,31,4af409b5f964a520e0ef21e3,Jewel in the Crown,53.34279953419279,-6.262106818132378,Indian Restaurant
225,225,53.34264973733427,-6.258467676493898,38,3,4af480b7f964a5203cf321e3,The Port House,53.342885461090326,-6.262079675075455,Tapas Restaurant
99,99,53.34717159599906,-6.267473499976692,50,2,4af48636f964a5207cf321e3,Yamamori Sushi,53.34682271991278,-6.263758740892517,Sushi Restaurant
284,15,53.27701999999999,-6.138999999999999,3,0,4af5e196f964a5204bfe21e3,Bombay Pantry,53.27954003329554,-6.13455086534647,Indian Restaurant
908,639,53.38370533333333,-6.370411764705883,11,0,4af9cb03f964a5204d1422e3,Thai Garden,53.385503,-6.374532,Thai Restaurant
324,55,53.28671866666666,-6.238176470588236,23,9,4afc24b6f964a520192022e3,Cafe Mao,53.288120938382896,-6.243115805707199,Asian Restaurant
569,300,53.335212,-6.254705882352941,24,11,4afd6359f964a520892722e3,Sushi King,53.337976476303275,-6.252918239860897,Sushi Restaurant
644,375,53.344910666666664,-6.271235294117648,50,33,4afdc90af964a520d92a22e3,Mexico to Rome,53.3454958571999,-6.264261058067089,Italian Restaurant
783,514,53.35460933333334,-6.254705882352941,44,9,4aff06bdf964a5202f3322e3,The Hop House (Kim Chi),53.35298138036261,-6.260771692539307,Korean Restaurant
469,200,53.32551333333333,-6.254705882352941,23,7,4b02f758f964a520824b22e3,Pinocchio,53.32613385462879,-6.2558233677717086,Italian Restaurant
570,301,53.335212,-6.254705882352941,24,12,4b0c664af964a5207c3c23e3,Dax Restaurant,53.33475878087824,-6.254391740424127,French Restaurant
844,575,53.364307999999994,-6.254705882352941,9,2,4b0e95f2f964a520be5823e3,Yuki House,53.3660909240605,-6.254150205208076,Sushi Restaurant
470,201,53.32551333333333,-6.254705882352941,23,8,4b128fc1f964a520d58a23e3,Michie Sushi,53.32539546923294,-6.251777211275068,Sushi Restaurant
686,417,53.344910666666664,-6.254705882352941,50,25,4b14291cf964a520419e23e3,The Alamo,53.34564113596258,-6.261974767550098,Mexican Restaurant
560,291,53.335212,-6.254705882352941,24,2,4b17c44df964a520f8c723e3,Chai Yo,53.33580011584014,-6.24761904131799,Asian Restaurant
571,302,53.335212,-6.254705882352941,24,13,4b20f99ef964a520be3524e3,Pearl Brasserie,53.338317039067405,-6.253397316992627,French Restaurant
792,523,53.35460933333334,-6.254705882352941,44,18,4b22879af964a520684824e3,Louie's Bistro,53.357355000000005,-6.257544,Mediterranean Restaurant
585,316,53.335212,-6.238176470588236,13,3,4b277606f964a520a88624e3,Orchid Szechuan Restaurant,53.33246293496804,-6.236250720015116,Asian Restaurant
471,202,53.32551333333333,-6.254705882352941,23,9,4b278515f964a520108724e3,Antica Venezia,53.32430340065113,-6.252744941189422,Italian Restaurant
92,92,53.34264973733427,-6.274997088258603,12,7,4b278c8cf964a520468724e3,Express Train Chinese Restaurant,53.342905332587215,-6.276851652315424,Chinese Restaurant
573,304,53.335212,-6.254705882352941,24,15,4b293203f964a520c59a24e3,Hugo's,53.33839090074065,-6.254444355110028,French Restaurant
435,166,53.31581466666667,-6.271235294117648,5,4,4b2bd94bf964a52052bc24e3,Bijou,53.311952979607184,-6.274325219007659,French Restaurant
472,203,53.32551333333333,-6.254705882352941,23,10,4b2bec95f964a520cfbd24e3,Diep at Home,53.325325,-6.254812,Thai Restaurant
407,138,53.306116,-6.205117647058825,2,0,4b2d271ef964a5209bcf24e3,Indian Gate,53.303206036839065,-6.207979541688265,Indian Restaurant
325,56,53.28671866666666,-6.238176470588236,23,10,4b37b197f964a5207a4425e3,TGI Fridays,53.28820284317297,-6.242462507849259,American Restaurant
817,548,53.35460933333334,-6.254705882352941,44,43,4b3a0504f964a5204e6025e3,Le Bon Crubeen,53.35060833434759,-6.255126595497687,French Restaurant
1013,31,53.34378020200047,-6.265592702638228,27,24,4b3fe8c8f964a520d8b125e3,Charlies 3,53.343718722310285,-6.26461255512055,Chinese Restaurant
838,569,53.364307999999994,-6.271235294117648,11,7,4b42495ff964a520bfd025e3,Dall'Italiano,53.366534591219704,-6.271874164650705,Italian Restaurant
952,683,53.393404000000004,-6.254705882352941,5,3,4b479849f964a520c13626e3,Zao Restaurant,53.39292560291401,-6.250124199022813,Asian Restaurant
853,584,53.364307999999994,-6.238176470588236,7,2,4b48dc33f964a5207c5a26e3,Bombay Pantry,53.364992104034826,-6.2397249360669385,Indian Restaurant
790,521,53.35460933333334,-6.254705882352941,44,16,4b4c956cf964a520bfb626e3,Thai Spice,53.35101230587296,-6.251300535672897,Thai Restaurant
874,605,53.37400666666666,-6.254705882352941,7,1,4b4cc58ff964a52039be26e3,Chilli Banana,53.37237482626846,-6.252675732444325,Thai Restaurant
454,185,53.32551333333333,-6.271235294117648,17,9,4b50bcb8f964a520133027e3,Bombay Pantry,53.3221802361668,-6.267244006222508,Indian Restaurant
549,280,53.335212,-6.271235294117648,50,41,4b522cacf964a520766d27e3,Yami Thai & Sushi,53.335372120318915,-6.266124232681733,Thai Restaurant
357,88,53.29641733333333,-6.304294117647059,6,5,4b536132f964a520ab9927e3,Paparazzi,53.298398999999996,-6.304280161857605,Italian Restaurant
182,182,53.34264973733427,-6.267473499976692,50,35,4b5608fff964a520fbfc27e3,mona lisa,53.340592,-6.268578,Italian Restaurant
784,515,53.35460933333334,-6.254705882352941,44,10,4b563469f964a520360528e3,Kebab 786,53.35127499026918,-6.252003908157349,Indian Restaurant
317,48,53.28671866666666,-6.238176470588236,23,2,4b59f808f964a52096a428e3,Nando's,53.288722,-6.244244999999999,Portuguese Restaurant
316,47,53.28671866666666,-6.238176470588236,23,1,4b5a219df964a52032af28e3,Ananda,53.28800014194466,-6.241315188096412,Indian Restaurant
272,3,53.27701999999999,-6.271235294117648,1,0,4b5b5c66f964a520b8f728e3,Bombay Pantry,53.27708233258417,-6.265058284854972,Indian Restaurant
446,177,53.32551333333333,-6.271235294117648,17,1,4b5ca441f964a520953b29e3,Saba to Go,53.32215566672056,-6.267247178606415,Thai Restaurant
839,570,53.364307999999994,-6.271235294117648,11,8,4b5f5fa3f964a520b7b629e3,Bombay To Go,53.36492472151993,-6.271708227251228,Indian Restaurant
706,437,53.344910666666664,-6.254705882352941,50,45,4b6596f6f964a52089f52ae3,La Gondola,53.34576587172724,-6.2617859885728375,Italian Restaurant
794,525,53.35460933333334,-6.254705882352941,44,20,4b69d45bf964a520ccb62be3,Tian Yuan Restaurant,53.35384937665557,-6.258573250104221,Chinese Restaurant
336,67,53.28671866666666,-6.238176470588236,23,21,4b6c8f51f964a52022432ce3,Siam Thai,53.288079486202705,-6.242959462803764,Thai Restaurant
240,240,53.34264973733427,-6.258467676493898,38,18,4b6e0862f964a520f1a42ce3,Taste of India,53.342737441523475,-6.262228488922119,Indian Restaurant
921,652,53.38370533333333,-6.271235294117648,2,1,4b6f2363f964a5209fdf2ce3,Aberdeen Chinese Take Away,53.3859242527521,-6.266296119469272,Chinese Restaurant
275,6,53.27701999999999,-6.221647058823531,6,0,4b72b0f6f964a520f9832de3,My Thai,53.27649815472924,-6.22052367828918,Thai Restaurant
45,45,53.33747292933239,-6.2674743554232935,19,18,4b72b36ef964a5205e842de3,Charlies 5,53.33675699999999,-6.265493,Chinese Restaurant
607,338,53.344910666666664,-6.287764705882353,5,1,4b731ab7f964a520b29b2de3,Papa Mio's - Toni's Takeaway,53.34250014380867,-6.293207020837906,Fast Food Restaurant
596,327,53.335212,-6.221647058823531,2,1,4b76b983f964a520d25a2ee3,Chinatown Restaurant,53.332432999999995,-6.215859,Chinese Restaurant
559,290,53.335212,-6.254705882352941,24,1,4b7a8452f964a5208a2f2fe3,Restaurant Patrick Guilbaud,53.33840046941511,-6.252855856060933,French Restaurant
578,309,53.335212,-6.254705882352941,24,20,4b7bf2b6f964a52047752fe3,Pablo Picante,53.337530943821115,-6.251414834377379,Mexican Restaurant
205,205,53.34717159599906,-6.258467676493898,22,5,4b7e9d3cf964a5207cf52fe3,Govindas,53.348333019460675,-6.260665254208552,Vegetarian / Vegan Restaurant
591,322,53.335212,-6.238176470588236,13,9,4b7f0b35f964a5206e1230e3,Langkawi,53.333102687651646,-6.243013247592974,Asian Restaurant
940,671,53.393404000000004,-6.386941176470589,8,2,4b802ab0f964a5208a5830e3,TGI Fridays,53.39190189168261,-6.392302553215474,American Restaurant
811,542,53.35460933333334,-6.254705882352941,44,37,4b804502f964a520b66230e3,Enoteca d'Asti,53.35886257018282,-6.254360872078532,Italian Restaurant
330,61,53.28671866666666,-6.238176470588236,23,15,4b898b6cf964a5208c4032e3,Buona Sera,53.289668000000006,-6.242743,Italian Restaurant
483,214,53.32551333333333,-6.254705882352941,23,21,4b8d5387f964a520c1f432e3,TriBeCa,53.32436697233526,-6.252996317860283,American Restaurant
723,454,53.344910666666664,-6.238176470588236,14,12,4b9156e8f964a5206ab433e3,Isola Mia,53.342957999999996,-6.244603,Italian Restaurant
565,296,53.335212,-6.254705882352941,24,7,4b92a090f964a5204d0b34e3,La Peniche,53.33336351840203,-6.248633400215986,French Restaurant
399,130,53.306116,-6.287764705882353,4,0,4b92bac4f964a520fe1534e3,Meghna Tandoori,53.309494256973274,-6.28491997718811,Indian Restaurant
862,593,53.364307999999994,-6.172058823529412,2,0,4b9781eef964a520810635e3,Bay Restaurant Clontarf,53.363060199966895,-6.178393963984532,Modern European Restaurant
572,303,53.335212,-6.254705882352941,24,14,4b97e66af964a520c51d35e3,Mantraa,53.33759999802466,-6.251853704452515,Indian Restaurant
568,299,53.335212,-6.254705882352941,24,10,4b98176ef964a520c22b35e3,Il Segreto,53.338311448793796,-6.25434865858756,Italian Restaurant
333,64,53.28671866666666,-6.238176470588236,23,18,4b994060f964a520936d35e3,China Buffet King,53.288208,-6.242353,Chinese Restaurant
797,528,53.35460933333334,-6.254705882352941,44,23,4b996581f964a520617835e3,Charming Noodles,53.3538035134513,-6.258534639775284,Chinese Restaurant
249,249,53.34264973733427,-6.258467676493898,38,27,4b9b81e0f964a520cb0b36e3,Chilli Club,53.34088319153018,-6.259556900909796,Thai Restaurant
439,170,53.31581466666667,-6.205117647058825,1,0,4b9cddbaf964a5207e7f36e3,Bianconi's,53.31746184357426,-6.208201420418371,Italian Restaurant
398,129,53.306116,-6.320823529411764,2,1,4b9d45d8f964a520019f36e3,Lok Moon,53.308103630326045,-6.315642030563706,Chinese Restaurant
21,21,53.33295107066761,-6.274996232812003,14,8,4b9e847cf964a52001eb36e3,Konkan Indian Restaurant,53.33080982449845,-6.275228432217097,Indian Restaurant
968,699,53.40310266666667,-6.172058823529412,3,0,4b9e9f07f964a5207df436e3,Noble House,53.40400131181893,-6.1789113510647775,Chinese Restaurant
177,177,53.34264973733427,-6.267473499976692,50,30,4ba1871ef964a5204bbe37e3,Sultan,53.34308151511718,-6.264288759375051,Mediterranean Restaurant
890,621,53.37400666666666,-6.205117647058825,2,0,4ba40029f964a5205f7638e3,Golden Grain,53.375667710524006,-6.209303140640259,Chinese Restaurant
945,676,53.393404000000004,-6.386941176470589,8,7,4ba63fd4f964a5200a3f39e3,Dante,53.39139072831431,-6.3919830322265625,Italian Restaurant
