,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
7782,785,51.5144609293324,-0.1314085566334773,32,13,4abe5714f964a520d68c20e3,Patara,51.514135887007505,-0.1308551163008176,Thai Restaurant
1163,1163,51.4642,-0.22010769230769228,49,7,4ac518b9f964a520a2a120e3,Thai Square,51.46674636333292,-0.21558808465456625,Thai Restaurant
4949,4949,51.541000000000004,-0.15856923076923074,12,7,4ac518b9f964a520a9a120e3,Odette's,51.54069492865522,-0.15744503843938115,French Restaurant
2313,2313,51.493,-0.1893384615384615,50,19,4ac518b9f964a520aea120e3,Bombay Brasserie,51.49381913690022,-0.18292278643334087,Indian Restaurant
2915,2915,51.5026,-0.14318461538461535,37,2,4ac518b9f964a520b0a120e3,Hard Rock Cafe London,51.5038544,-0.1490628,American Restaurant
7272,275,51.50880860600141,-0.13321274540876135,25,7,4ac518b9f964a520b1a120e3,Planet Hollywood,51.509066320099414,-0.13257354497909546,American Restaurant
1884,1884,51.4834,-0.17395384615384613,28,1,4ac518b9f964a520b5a120e3,Big Easy Bar.B.Q & Crabshack,51.48533042645628,-0.17407732929629638,American Restaurant
10507,2509,51.5144609293324,-0.07803759721267649,50,12,4ac518b9f964a520bfa120e3,Barcelona Tapas,51.5155102165384,-0.0752820862701245,Spanish Restaurant
1882,1882,51.4834,-0.1893384615384615,24,23,4ac518bdf964a520b4a220e3,Cafe Brazil,51.48022037369672,-0.1918364463764104,Brazilian Restaurant
2944,2944,51.5026,-0.14318461538461535,37,31,4ac518c0f964a52076a320e3,The Ritz Restaurant,51.506840285257404,-0.14242632081644518,French Restaurant
8886,888,51.5003390706676,-0.19294625793964024,15,11,4ac518c0f964a52090a320e3,Sopranos,51.500214411648855,-0.1955267240715674,Italian Restaurant
10122,2124,51.5144609293324,-0.12419144336652264,50,46,4ac518c2f964a52010a420e3,Souk Medina,51.51421485526229,-0.1266129325875398,Moroccan Restaurant
4110,4110,51.5218,-0.12779999999999994,40,2,4ac518c2f964a520f1a320e3,Trattoria Verdi,51.520394310929014,-0.1227298472833166,Italian Restaurant
2499,2499,51.493,-0.12779999999999994,19,16,4ac518c2f964a520fba320e3,Chino Latino,51.49154259253278,-0.12173547166968025,Asian Restaurant
10504,2506,51.5144609293324,-0.07803759721267649,50,9,4ac518c4f964a52068a420e3,Kenza,51.516529544098965,-0.07870519785892123,Moroccan Restaurant
7322,325,51.50993907066761,-0.12419144336652264,17,6,4ac518c4f964a5207ba420e3,Thai Pot,51.50992427565833,-0.12537074350068073,Thai Restaurant
4744,4744,51.5314,-0.050876923076923035,31,0,4ac518c5f964a520f5a420e3,Bistrotheque,51.53413013590002,-0.05612243954320922,French Restaurant
3975,3975,51.5218,-0.17395384615384613,46,12,4ac518c7f964a52071a520e3,Don Pepe,51.523584,-0.17438199999999998,Tapas Restaurant
2404,2404,51.493,-0.15856923076923074,39,10,4ac518d4f964a520bca720e3,La Poule au Pot,51.49086426038942,-0.15270073351852484,French Restaurant
7264,267,51.511069535333796,-0.13321274540876135,41,40,4ac518d4f964a520c0a720e3,Wong Kei,51.51153139293614,-0.13213160238463095,Chinese Restaurant
10002,2004,51.5144609293324,-0.1314085566334773,50,26,4ac518d4f964a520c5a720e3,St Moritz Restaurant,51.514540133963735,-0.13481459822175676,Swiss Restaurant
6342,6342,51.589,-0.22010769230769228,11,0,4ac518d4f964a520c8a720e3,Kaifeng,51.58980493295914,-0.22414149145009565,Chinese Restaurant
9533,1535,51.5144609293324,-0.19294701817193885,34,24,4ac518d5f964a52005a820e3,Zucca,51.51507431639966,-0.19510671311598024,Indian Restaurant
