,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
175,67,49.594457142857145,6.1369,22,17,4b4ca472f964a52087b826e3,Restaurant Jing Do,49.59353362410365,6.138991713523865,Chinese Restaurant
187,79,49.60588571428572,6.100233333333334,10,6,4b649beaf964a520d5c12ae3,Royal Bengal,49.60614688824979,6.105614896206057,Indian Restaurant
267,159,49.61731428571429,6.0819,2,1,4b7e8672f964a520f1f02fe3,BIVIUS eat & sleep,49.61880144652442,6.0843229293823216,Italian Restaurant
218,110,49.60588571428572,6.1369,50,2,4b841a89f964a520ec2031e3,Indie's,49.60843634418274,6.132364689527623,New American Restaurant
339,231,49.62874285714286,6.173566666666666,16,1,4b98da80f964a520975235e3,Farinella,49.631674883953934,6.174569209370513,Italian Restaurant
160,52,49.594457142857145,6.1369,22,2,4b9f71f6f964a5201c2337e3,Lisboa II,49.59523808913578,6.136647761749869,Portuguese Restaurant
286,178,49.61731428571429,6.118566666666666,39,10,4ba9b21ff964a520b5343ae3,Lagura Next Door,49.61666052516351,6.121187210083008,Italian Restaurant
136,28,49.594457142857145,6.118566666666666,28,6,4bb0863ef964a520b7493ce3,Restaurant Sherpa,49.59864475499256,6.118141753219128,Indian Restaurant
328,220,49.62874285714286,6.0819,1,0,4bbf072298f495214afbd163,Ultimo,49.6313417013674,6.080726601271869,Italian Restaurant
111,3,49.5716,6.1552333333333324,13,3,4bbf4481006dc9b62542fc3f,Kyoto Sushi Restaurant,49.57370273940451,6.1550291007405376,Sushi Restaurant
282,174,49.61731428571429,6.118566666666666,39,6,4bc44542f8219c74881bb710,Brasserie Seppl,49.61769718691102,6.119768724931826,German Restaurant
117,9,49.5716,6.1552333333333324,13,9,4bc8b5a06501c9b621bb4029,Guang Dong,49.56917579170267,6.161033332851588,Chinese Restaurant
226,118,49.60588571428572,6.1369,50,10,4bcf3955b221c9b67798d1d0,Cercle Münster,49.608689376145,6.13570067025395,French Restaurant
188,80,49.60588571428572,6.100233333333334,10,7,4bd0282f77b29c74e3358a82,Tomo Sushi-Bar,49.60515867662407,6.096436490477162,Japanese Restaurant
329,221,49.62874285714286,6.100233333333334,1,0,4bd3074c41b9ef3b1d12ffe5,Brasserie Restaurant Sieweburen,49.627336351646974,6.101073115000111,French Restaurant
186,78,49.60588571428572,6.100233333333334,10,5,4be3ec3f21d5a59333331a11,Tomo,49.60521871542753,6.096968981769428,Sushi Restaurant
209,101,49.60588571428572,6.118566666666666,25,18,4be7db9da117b713675781c8,Rôtisserie Ardennaise,49.60961741458533,6.119436734108549,French Restaurant
250,142,49.60588571428572,6.1369,50,34,4bf03cfc3a002d7f5bdd85a4,Brasserie Bosso,49.608742,6.136201,German Restaurant
344,236,49.62874285714286,6.173566666666666,16,6,4bfe0e8bf61dc9b63cfa9fde,Café Tribu,49.63141746874696,6.1736576839305375,Italian Restaurant
217,109,49.60588571428572,6.1369,50,1,4c23402f34faef3b74ce586d,Batucada,49.608353556292975,6.1325540402525105,Brazilian Restaurant
148,40,49.594457142857145,6.118566666666666,28,18,4c408b98d691c9b681548b0a,Il Pavone,49.59280295360937,6.120129065926906,Italian Restaurant
338,230,49.62874285714286,6.173566666666666,16,0,4c51b35b3940be9a6a8e4e09,Vapiano,49.63180649278271,6.171251186162269,Italian Restaurant
304,196,49.61731428571429,6.118566666666666,39,28,4c72c0214bc4236a261acc7a,La Taniere,49.618619,6.123524,Italian Restaurant
276,168,49.61731428571429,6.118566666666666,39,0,4c7d49a7b33a224b8a9bd781,Porta Nova,49.61717609319014,6.121642021613321,Italian Restaurant
183,75,49.60588571428572,6.100233333333334,10,2,4c7d56ab10916dcbcb202996,Chinese King,49.60605011509156,6.1040467296975685,Chinese Restaurant
358,250,49.6516,6.0819,1,0,4c7d6588d598a093dfc0c262,Brideler Stuff,49.65313624552057,6.083126353691537,French Restaurant
235,127,49.60588571428572,6.1369,50,19,4c869220d8086dcb6aa29b52,Kamakura,49.6087289258803,6.135773991424929,Japanese Restaurant
131,23,49.594457142857145,6.118566666666666,28,1,4c8ffa4a32089521d5269d8c,Circolo Eugenio Curiel,49.597833050648426,6.117968559265138,Italian Restaurant
51,14,49.603624784953325,6.133434516148473,50,2,4c9103e2ae45224b6543e497,Taj Mahal,49.60151439755441,6.132377615542233,Indian Restaurant
312,204,49.61731428571429,6.118566666666666,39,36,4cadb17b8c48a0939bbe6d2c,Théatre De L'Opéra,49.617159,6.115182,French Restaurant
333,225,49.62874285714286,6.1369,6,1,4caf5792ef1b370401b23100,Murador,49.627893,6.130218,Italian Restaurant
357,249,49.640171428571435,6.173566666666666,2,1,4cb58ba58db0a143d10b6316,La File,49.635965,6.173025,French Restaurant
165,57,49.594457142857145,6.1369,22,7,4cb8384c9552b60cb18cca8b,El Pozo,49.59513940191511,6.137249225335219,Paella Restaurant
164,56,49.594457142857145,6.1369,22,6,4cbd7532d78f46884a7fcd73,Pastificio La Modenese,49.59731155417634,6.138093976560758,Italian Restaurant
109,1,49.5716,6.1552333333333324,13,1,4ccea42197d0224bbbbb6cb8,Um Lomperang,49.572976000000004,6.155443,Italian Restaurant
201,93,49.60588571428572,6.118566666666666,25,10,4cd98b721891236ada053c0b,Le Bec Fin,49.60743719453797,6.1229327887078036,French Restaurant
356,248,49.640171428571435,6.173566666666666,2,0,4cdbdc31df986ea86786cc16,Restaurant Reimerwee,49.636088,6.173143,German Restaurant
192,84,49.60588571428572,6.118566666666666,25,1,4cdd97bcdb125481e84f2bce,Le Fin Gourmand,49.60570141488505,6.119816393065519,French Restaurant
283,175,49.61731428571429,6.118566666666666,39,7,4ce115e1db12548143dd3fce,Restaurant Miyako,49.61869835017261,6.124968740904532,Japanese Restaurant
159,51,49.594457142857145,6.1369,22,1,4ce27b5b3644a0939385629f,Orchidée,49.59532251499524,6.134244740046217,Indian Restaurant
224,116,49.60588571428572,6.1369,50,8,4ce2e83647d5a143a0eb061d,Annexe,49.60876742737898,6.133641916047803,French Restaurant
212,104,49.60588571428572,6.118566666666666,25,21,4cf393258333224b0531168e,Le Diamant,49.602356,6.116817,Asian Restaurant
89,52,49.603624784953325,6.133434516148473,50,40,4d179c5b81cea35d54d1e7ec,Italia,49.60325531846117,6.130045655716575,Italian Restaurant
292,184,49.61731428571429,6.118566666666666,39,16,4d1c677b2dd9370492004bb5,Himalaya,49.61415,6.118343,Indian Restaurant
288,180,49.61731428571429,6.118566666666666,39,12,4d2308a4e56f6ea84aca891d,Restaurant-Pizzeria Da Noi,49.61800855505906,6.12356591851964,Italian Restaurant
271,163,49.61731428571429,6.100233333333334,8,3,4d245392f39ca143a57974b8,Fonzi's,49.618053109055936,6.093553788153303,American Restaurant
