,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
2216,344,45.4542,9.153636363636364,46,3,4b058879f964a520dbc722e3,Tagiura,45.45803210693161,9.150337624189424,Italian Restaurant
3638,1766,45.5042,9.226363636363637,20,0,4b05887df964a5205bc922e3,Mykonos,45.50347340077304,9.220752506460057,Greek Restaurant
3501,1629,45.4942,9.21181818181818,37,22,4b05887df964a5205dc922e3,Centro Ittico,45.49502961943642,9.21652765133832,Indian Restaurant
1980,108,45.4342,9.197272727272725,11,3,4b05887ef964a5206ec922e3,Lucky Seven,45.43709961214832,9.199236681220682,Sri Lankan Restaurant
1153,1153,45.47646092933239,9.208615556767414,47,25,4b05887ef964a5206fc922e3,Ristorante Asmara,45.47647053586193,9.205718129646133,African Restaurant
3303,1431,45.4842,9.226363636363637,33,25,4b05887ef964a52070c922e3,Balafon,45.48315698838014,9.229955377655658,African Restaurant
3469,1597,45.4942,9.197272727272725,21,11,4b05887ef964a5207fc922e3,Ristorante Rio's,45.49082411449736,9.194321451213657,South American Restaurant
3690,1818,45.5142,9.21181818181818,28,0,4b05887ef964a52083c922e3,Premiata Trattoria Arlati dal 1936,45.51807248689499,9.208763197982178,Italian Restaurant
3507,1635,45.4942,9.21181818181818,37,28,4b05887ef964a52085c922e3,Caramba,45.49721866482404,9.21456985618427,Spanish Restaurant
3031,1159,45.4742,9.226363636363637,12,4,4b05887ef964a5208ec922e3,Il Doge di Amalfi,45.47199480599409,9.22889491490567,Seafood Restaurant
3499,1627,45.4942,9.21181818181818,37,20,4b05887ef964a5208fc922e3,Tribes,45.49721866482404,9.21456985618427,South American Restaurant
2459,587,45.4542,9.226363636363637,12,0,4b05887ef964a520a5c922e3,Trattoria del Nuovo Macello,45.45617,9.22617,Italian Restaurant
3146,1274,45.4842,9.182727272727274,50,18,4b05887ff964a520b0c922e3,Serendib,45.47992103341615,9.182886050949902,Sri Lankan Restaurant
3732,1860,45.5142,9.255454545454548,3,1,4b05887ff964a520b1c922e3,Antica Trattoria Milano,45.51125540857247,9.254748960173165,Italian Restaurant
1914,42,45.4242,9.153636363636364,1,0,4b05887ff964a520b6c922e3,Battivacco (Il),45.4238825071324,9.156468587242363,Indian Restaurant
2205,333,45.4542,9.139090909090909,8,0,4b05887ff964a520bbc922e3,Ristorante Cascina Corba,45.452444436645486,9.133283461645107,Italian Restaurant
2004,132,45.4442,9.11,8,3,4b05887ff964a520cbc922e3,Al Giardino d'Inverno,45.44702,9.11412,Indian Restaurant
2974,1102,45.4742,9.197272727272725,48,45,4b05887ff964a520cdc922e3,Il Nuovo Principe,45.47682238060201,9.195611534848377,French Restaurant
1912,40,45.4242,9.124545454545453,4,3,4b05887ff964a520cec922e3,Molin de la Paja,45.42787387081501,9.121413690515439,Indian Restaurant
2131,259,45.4442,9.197272727272725,26,1,4b05887ff964a520d3c922e3,La Cantinetta,45.448303957349516,9.197649334388391,Italian Restaurant
1889,17,45.4042,9.168181818181818,1,0,4b05887ff964a520e5c922e3,Antica Osteria il Ronchettino,45.404269909684686,9.174118221895814,Lombard Restaurant
2930,1058,45.4742,9.197272727272725,48,1,4b05887ff964a520f3c922e3,Nobu,45.470974442863934,9.192958023475091,Japanese Restaurant
1737,1737,45.48193907066761,9.208614988324458,40,25,4b05887ff964a520f7c922e3,The Stradivari Restaurant,45.48394506523284,9.20741754952957,Indian Restaurant
3517,1645,45.4942,9.226363636363637,28,1,4b058883f964a52009cb22e3,Capoverde,45.4907,9.22493,Italian Restaurant
3296,1424,45.4842,9.226363636363637,33,18,4b0e682ff964a520695723e3,Vietnamonamour,45.48154164107172,9.222456459533502,Vietnamese Restaurant
660,660,45.46646092933239,9.185929329634321,37,15,4b1ac68ef964a52082f123e3,Lebanque,45.46608857684592,9.186517007879418,Mediterranean Restaurant
3372,1500,45.4942,9.153636363636364,22,0,4b2210dcf964a520954324e3,Ristorante Innocenti Evasioni,45.49300650409111,9.149258601939529,Italian Restaurant
2050,178,45.4442,9.153636363636364,38,21,4b26a2e6f964a520bf7e24e3,Osteria del Sognatore,45.447045663590174,9.153240312752686,Italian Restaurant
