,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
492,492,48.1251,11.585333333333335,23,0,4ade0c9bf964a5200e6821e3,Wirtshaus in der Au,48.128968,11.58647,German Restaurant
1327,1327,48.1551,11.585333333333335,33,0,4ade0c9bf964a520136821e3,Café Reitschule,48.15539231197611,11.588669660922628,Café
1097,1097,48.1451,11.570888888888891,40,39,4ade0c9ef964a520226821e3,Lenbach,48.14175365786086,11.56769589119128,Mediterranean Restaurant
127,127,48.0951,11.542000000000002,4,3,4ade0c9ff964a520296821e3,Asam-Schlössl,48.09523728367195,11.542571602877224,German Restaurant
995,995,48.1451,11.542000000000002,18,5,4ade0ca3f964a5203e6821e3,Pappasito's,48.1436827160309,11.53636872768402,Mexican Restaurant
3,3,48.0651,11.542000000000002,2,1,4ade0caaf964a520646821e3,Grünwalder Einkehr,48.06489142146514,11.543946494021736,Bavarian Restaurant
2,2,48.0651,11.542000000000002,2,0,4ade0cabf964a5206a6821e3,Waldwirtschaft Großhesselohe,48.06706036226372,11.539370119571686,Bavarian Restaurant
1183,1183,48.1551,11.527555555555557,24,0,4ade0cacf964a520716821e3,Gasthaus Jagdschlössl,48.15315236628405,11.533591659941733,German Restaurant
1246,1246,48.1551,11.556444444444445,33,2,4ade0cacf964a520726821e3,Baal,48.15163,11.55443,Pub
1329,1329,48.1551,11.585333333333335,33,2,4ade0cb4f964a5209d6821e3,Don Luca,48.15710982077297,11.584710858696413,Mexican Restaurant
866,866,48.1351,11.599777777777776,37,17,4ade0cb4f964a520a06821e3,Nomiya,48.131653113488255,11.598525848487508,Sushi Restaurant
1067,1067,48.1451,11.570888888888891,40,9,4ade0cb9f964a520bd6821e3,Cyclo,48.14878280448905,11.572155040855145,Vietnamese Restaurant
1388,1388,48.1651,11.527555555555557,8,2,4ade0ce6f964a520ab6921e3,Augustiner am Dante,48.16780961532643,11.527032355668759,German Restaurant
1141,1141,48.1451,11.614222222222226,6,1,4ade0ce6f964a520ae6921e3,Acquarello,48.142177778388536,11.613621976881864,Italian Restaurant
782,782,48.1351,11.570888888888891,50,33,4ade0ce8f964a520b96921e3,Bratwurstherzl,48.13522652016897,11.577208912248404,German Restaurant
885,885,48.1351,11.599777777777776,37,36,4ade0ce8f964a520bb6921e3,Faubourg (Le),48.134883,11.598272999999999,French Restaurant
878,878,48.1351,11.599777777777776,37,29,4ade0ce9f964a520be6921e3,Rue des Halles,48.13314869034614,11.59605320632182,French Restaurant
1082,1082,48.1451,11.570888888888891,40,24,4ade0cecf964a520ce6921e3,Tokami,48.148410965654925,11.573742530088069,Japanese Restaurant
2342,644,48.13283907066761,11.581968249183744,32,7,4ade0cedf964a520d46921e3,Ganga Restaurant,48.131807,11.579824,Indian Restaurant
1211,1211,48.1551,11.542000000000002,37,4,4ade0ceef964a520de6921e3,Shiraj,48.15790163905846,11.544899230393414,Indian Restaurant
