,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
296,296,59.9239,10.7522,50,6,4b0588b3f964a52095d422e3,Mucho Mas,59.92398415923685,10.759204860244159,Mexican Restaurant
511,42,59.9116390706676,10.727720099357164,20,0,4b0588b4f964a520ded422e3,Louise Restaurant & Bar,59.909934,10.727385,Scandinavian Restaurant
61,61,59.9139,10.7122,44,23,4b0588b6f964a520add522e3,Hos Thea,59.912766000000005,10.709328999999999,Scandinavian Restaurant
643,174,59.91616092933239,10.747720099357164,49,11,4b0588b6f964a520b8d522e3,Klosteret,59.918027025210144,10.747862379670815,French Restaurant
566,97,59.9116390706676,10.736679900642836,25,9,4b0588b6f964a520bbd522e3,Brasserie Hansken,59.91039037721781,10.73952800373432,French Restaurant
28,28,59.9039,10.7722,7,1,4b0588b7f964a520d4d522e3,Gamlebyen Mat & Vinhus,59.90610600000001,10.767892,French Restaurant
546,77,59.91616092933239,10.736679900642836,26,15,4b0588b7f964a520d9d522e3,Jaipur,59.91799671866353,10.737448545517335,Indian Restaurant
352,352,59.9239,10.7722,16,12,4b0588b7f964a520dbd522e3,Petrus,59.923342285434764,10.76599909726434,Dive Bar
40,40,59.9139,10.7122,44,2,4b05c055f964a5206de222e3,Alex Sushi,59.91464499999999,10.72077,Sushi Restaurant
206,206,59.9139,10.7722,28,24,4b07fb90f964a520e40123e3,Olympen,59.91230682126749,10.764540316069695,Bar
68,68,59.9139,10.7122,44,30,4b0830eff964a520e20523e3,Jewel of India,59.91595279999999,10.716983500000001,Indian Restaurant
921,452,59.92616092933239,10.756681250703606,13,1,4b0db073f964a520ee4d23e3,Noahs Ark,59.927194719375464,10.75900278682159,Pub
801,332,59.9239,10.7322,21,20,4b0ef72df964a5205a5d23e3,Mother India,59.92389500769916,10.731419382320007,Indian Restaurant
236,236,59.9239,10.7122,17,13,4b102576f964a520fa6923e3,Yaya's,59.92613249222808,10.719584926385505,Thai Restaurant
351,351,59.9239,10.7722,16,11,4b119cb5f964a520918023e3,Sushihuset,59.925557927837886,10.775752143840942,Sushi Restaurant
378,378,59.9339,10.7122,15,11,4b291c14f964a520e29824e3,Sushi & Wok,59.92980794975029,10.711668813283355,Asian Restaurant
663,194,59.91616092933239,10.747720099357164,49,31,4b2bb21cf964a5204ab924e3,Eat Sushi & More,59.91685434073439,10.744498365503723,Sushi Restaurant
310,310,59.9239,10.7522,50,20,4b2bc4bcf964a5208fba24e3,Restaurant Delhi Tandoori,59.9196799,10.751164900000001,Indian Restaurant
492,23,59.9139,10.7322,29,23,4b3b46f0f964a520117225e3,Bocata,59.91404289612489,10.734481851771262,Tapas Restaurant
578,109,59.9116390706676,10.736679900642836,25,21,4b4e03cef964a52030de26e3,Sushi Asia,59.9120391040027,10.734969466718903,Sushi Restaurant
555,86,59.91616092933239,10.736679900642836,26,24,4b4e03d0f964a52031de26e3,The Great India,59.91640692194529,10.73818217426783,Indian Restaurant
721,252,59.9116390706676,10.747720099357164,50,40,4b4e1dc5f964a520c7e126e3,Nilsen Spiseri,59.90982511981998,10.746790000657121,Scandinavian Restaurant
