,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
37,37,42.4404,19.2454,22,12,4bc48002f8219c74d667b710,Trattoria Il' Giardino,42.44296893126329,19.24677618864344,Italian Restaurant
47,47,42.4404,19.2594,26,0,4be7ffa5c5220f47ad27a9ca,Forum,42.44144872841833,19.263848658710607,Mediterranean Restaurant
51,51,42.4404,19.2594,26,4,4c6b8ef1e13db60cae4ed4b1,Forma II,42.440661795771774,19.261331438490558,Italian Restaurant
84,84,42.4704,19.1894,1,0,4d5d9426e0ffa1cd5ed71c54,Imanje „Knjaz”,42.47071590635197,19.186399084972862,Mediterranean Restaurant
38,38,42.4404,19.2454,22,13,4dd37586fa76c0bf024664f5,Piazzetta,42.441905393047755,19.245482903410217,Italian Restaurant
73,73,42.4404,19.2734,2,0,4dd6d10a52b1a5c6443d4e4c,Calabria,42.441891985384785,19.26882505653499,Italian Restaurant
58,58,42.4404,19.2594,26,11,4e04f302fa7693e8a408722a,Sempre,42.4414564661484,19.26008430543453,Italian Restaurant
24,24,42.4404,19.2314,19,18,4e0b1c5a18388f71c35be97b,Nostalgija,42.43794411928879,19.232733738882363,Mediterranean Restaurant
30,30,42.4404,19.2454,22,5,4e11f0e852b1655efa4a22f6,Piazza,42.44366014076176,19.24720563238637,Pizza Place
50,50,42.4404,19.2594,26,3,4e12e10d7d8b4d5613e710ba,Shanghai,42.44141928275409,19.260248050947148,Chinese Restaurant
83,83,42.4604,19.2734,1,0,4e2dd5c81f6ed9df901035f1,Grill Bahanalije,42.460325182778064,19.268618801416856,Middle Eastern Restaurant
54,54,42.4404,19.2594,26,7,4e9b0304f790b2a919847888,Taqueria,42.44222745140275,19.261077669973954,Mexican Restaurant
56,56,42.4404,19.2594,26,9,4e9ec8c06da161b08db25a73,Sushi,42.43912727956998,19.257114806995347,Japanese Restaurant
5,5,42.4404,19.2174,1,0,4edb7463e300851bfac40c41,Odžaklija,42.43657765088216,19.219278626225165,Eastern European Restaurant
63,63,42.4404,19.2594,26,16,4ef4cffc30f87cc51836fc17,Restoran „Morača”,42.43795304403678,19.254313331058363,Mediterranean Restaurant
33,33,42.4404,19.2454,22,8,4f49162fe4b0683d504451fe,Anovi,42.44008190910734,19.24711997804621,Mediterranean Restaurant
60,60,42.4404,19.2594,26,13,4f6dc05ce4b0d638a144ed3e,Mantra,42.44098296771565,19.254490558412265,Indian Restaurant
32,32,42.4404,19.2454,22,7,5049f81fe4b00d8538447a27,Plazzeta,42.44348526000977,19.24604034423828,Mediterranean Restaurant
0,0,42.4004,19.1894,1,0,5093d6bde4b055b34bcaa23e,"Restaurant ""Vidikovac""",42.40061938770477,19.188135392995672,Mediterranean Restaurant
10,10,42.4404,19.2314,19,4,50ca2a5f498ef0e123fb6911,Per Sempre,42.43982690076577,19.234709246348807,Italian Restaurant
76,76,42.4504,19.2314,3,1,50f47e1be4b00d57c796e5c1,Kortiz,42.449174,19.234813,Greek Restaurant
55,55,42.4404,19.2594,26,8,50fda3fde4b0aae3b8e3ee17,Na raskrscu Petra i Jovana,42.441021,19.254537,Indian Restaurant
25,25,42.4404,19.2454,22,0,511cf078e4b08fd257202c94,Garden,42.44377593157277,19.24501533818063,Mediterranean Restaurant
59,59,42.4404,19.2594,26,12,5129fcc0e4b069ea6af6ce04,Dvor Hajama,42.436836212764895,19.26034884633748,Middle Eastern Restaurant
81,81,42.4504,19.2594,3,1,514204bae4b0bab05929399d,Restoran Most,42.452187,19.260906,Eastern European Restaurant
67,67,42.4404,19.2594,26,20,51532eebe4b035c11fbd7099,Taverna,42.441390000000006,19.26534,Greek Restaurant
39,39,42.4404,19.2454,22,14,5192b2c1498edf76568c642b,kraj frizidera,42.43642044067383,19.24270248413086,Mediterranean Restaurant
3,3,42.4304,19.2594,2,0,524efc26498e63d5614ae7ea,Sicilia,42.431396121951494,19.262578606492976,Italian Restaurant
62,62,42.4404,19.2594,26,15,525ee21f11d2b78eadecbcd0,Mali Pariz,42.440756191572866,19.260011709161642,French Restaurant
35,35,42.4404,19.2454,22,10,529cee82498e78c3c2d06ae0,Garden,42.44382313538057,19.245036101839663,Italian Restaurant
34,34,42.4404,19.2454,22,9,52d98abd498e69b17d01378b,Primizia,42.441864290042965,19.24550876000936,Italian Restaurant
78,78,42.4504,19.2454,2,0,52ffd460498e5c1f842d98ea,Prvi crnogorski dom Strugara,42.449174,19.241920999999998,American Restaurant
77,77,42.4504,19.2314,3,2,530dd6be498ec6e0c113fe31,Kod Boja,42.452653999999995,19.233211999999998,African Restaurant
7,7,42.4404,19.2314,19,1,534c287211d274b4daa2a022,Zheng He,42.43993591723447,19.234280293163305,Chinese Restaurant
2,2,42.4204,19.2174,2,1,536f7146498eddeb3d67ba59,kod krla na rostilj,42.419319642740895,19.21695541489317,American Restaurant
4,4,42.4304,19.2594,2,1,539f02ef498ee5525ad261e2,Koliba,42.432354,19.26376,Eastern European Restaurant
72,72,42.4404,19.2594,26,25,53ea2eb0498e6b5979522288,Dvor,42.43697075004861,19.260075593877033,Modern European Restaurant
43,43,42.4404,19.2454,22,18,545385f5498eccfb5aa856a5,G Lounge,42.44294753876961,19.24672615848952,Lounge
26,26,42.4404,19.2454,22,1,54d1f0a1498ec505d9cf6ac3,Hard Rock Cafe Podgorica,42.4411868,19.2437156,American Restaurant
44,44,42.4404,19.2454,22,19,550df6a7498edf01d62cb959,La Mattina,42.44255065917969,19.24648666381836,Italian Restaurant
65,65,42.4404,19.2594,26,18,552f9875498ef70dfcd7468b,Döner kebab,42.442859999999996,19.262237,Doner Restaurant
