,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
823,355,41.143614285714285,-8.5941,14,6,4b3b6ff9f964a520c97325e3,A Cozinha do Manel,41.1461957837337,-8.592845854169498,Portuguese Restaurant
1005,537,41.162661904761904,-8.648385714285713,15,0,4b5b9c27f964a520c90a29e3,Cufra,41.161963348280345,-8.652858884139263,Portuguese Restaurant
1392,924,41.23885238095238,-8.5941,1,0,4b638970f964a520b8812ae3,Restaurante Machado,41.240649036909545,-8.591351055517649,Portuguese Restaurant
1228,760,41.18170952380952,-8.5941,5,2,4b6e9b08f964a520bbc32ce3,Tóquio Sushi Bar,41.183393110903275,-8.597851702030168,Sushi Restaurant
30,30,41.14587521504668,-8.618260664924069,28,19,4b7753f6f964a5206b922ee3,Zé Bota,41.146986637310796,-8.61710659772417,Mediterranean Restaurant
877,409,41.15313809523809,-8.634814285714285,14,0,4b7807eff964a520c8b22ee3,Capa Negra II,41.152454846355546,-8.630532230373968,Portuguese Restaurant
1326,858,41.21980476190476,-8.634814285714285,2,0,4b7c43e9f964a52058882fe3,O Brasinhas,41.21594476094939,-8.635717837319616,BBQ Joint
1458,37,41.144744750380475,-8.612144768310557,25,17,4b885d7df964a52066f231e3,Arroz de Forno,41.14392141941668,-8.612567033243309,Portuguese Restaurant
1142,674,41.17218571428571,-8.566957142857143,16,14,4b8ef4c4f964a520064133e3,Restaurante Casa da Pedra,41.17275072499219,-8.567678306675209,Italian Restaurant
1069,601,41.162661904761904,-8.607671428571429,22,21,4b955dc7f964a520b99e34e3,Restaurant grappa,41.160307985807506,-8.61151240544458,Italian Restaurant
844,376,41.15313809523809,-8.675528571428572,28,3,4b972c5af964a52004fb34e3,Varanda do Sol,41.15186740179614,-8.67735255191466,Portuguese Restaurant
543,75,41.11504285714285,-8.5941,3,0,4b97a5aaf964a5207e0d35e3,Dicasa,41.116162535719006,-8.599744936423445,Italian Restaurant
876,408,41.15313809523809,-8.648385714285713,5,4,4bb254f72397b71311df36b3,Gokobe,41.155199897182726,-8.64811629558269,Japanese Restaurant
674,206,41.143614285714285,-8.648385714285713,12,8,4bbf24d4f353d13acf167e10,Restaurante A Margem,41.1447653344347,-8.646152322686453,Portuguese Restaurant
1101,633,41.17218571428571,-8.6891,11,6,4bc8d23f511f95210c6dacc7,Cufra Grill,41.171329720762465,-8.687735936840134,Portuguese Restaurant
1100,632,41.17218571428571,-8.6891,11,5,4bd6f18f6f649521959771ec,Chill Out,41.17123487,-8.687791,Mediterranean Restaurant
434,434,41.183970453141924,-8.686116073728982,8,3,4bd7557609ecb713a99f467c,Tapas & Papas,41.182357553423564,-8.686017969394404,Tapas Restaurant
1120,652,41.17218571428571,-8.607671428571429,7,1,4bd857745cf276b0b5f89c00,Adega Escondida,41.17073389,-8.611068,Portuguese Restaurant
871,403,41.15313809523809,-8.661957142857142,3,2,4bdae00b63c5c9b61a472568,Melhor Sabor,41.155564499990795,-8.66357737601991,Portuguese Restaurant
164,164,41.14135335638189,-8.610653620790215,39,12,4bdc4ef02a3a0f47df3ab2b6,Chez Lapin,41.14052781350421,-8.612502732735956,Portuguese Restaurant
1098,630,41.17218571428571,-8.6891,11,3,4bf040d6c601a593137ac3d1,Presto Pizza,41.17553844519344,-8.688994354252056,Italian Restaurant
