,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
2487,1069,50.0955,14.4062,30,23,4adcda9bf964a520be4c21e3,U Kavalíra - Tokyo,50.09949676573901,14.403409317253942,Korean Restaurant
460,130,50.07776092933239,14.417500691395738,35,31,4adcdaa1f964a520fc4d21e3,Gargoyle's Restaurant,50.078241,14.416914000000002,Eastern European Restaurant
298,298,50.088891393998594,14.422749936754926,13,12,4adcdaa2f964a520044e21e3,Barracuda Cafe,50.0887295,14.4232161,Mexican Restaurant
2712,1294,50.1055,14.4802,17,7,4adcdaa2f964a5200d4e21e3,Góvinda,50.105170524678364,14.473721004143233,Vegetarian / Vegan Restaurant
673,343,50.07776092933239,14.439299308604259,31,20,4adcdaa2f964a5200e4e21e3,Fondue,50.07707,14.441742000000001,French Restaurant
2624,1206,50.1055,14.3914,19,1,4adcdaa2f964a5201a4e21e3,Grosseto,50.1031,14.395516,Italian Restaurant
2134,716,50.0755,14.4654,23,19,4adcdaa2f964a520334e21e3,Crazy Daisy,50.077882,14.463604,Indian Restaurant
1617,199,50.0455,14.4062,4,2,4adcdaa2f964a520394e21e3,Folklore Garden,50.042308396938104,14.403577638556941,Czech Restaurant
2661,1243,50.1055,14.4358,11,9,4adcdaa2f964a5203d4e21e3,Essensia,50.101780363066176,14.436714006433336,Indian Restaurant
861,531,50.08776092933239,14.402699961382265,39,33,4adcdaa3f964a5204d4e21e3,Baráčnická rychta,50.08792915072068,14.400163513424607,Czech Restaurant
422,92,50.0755,14.421,21,14,4adcdaa3f964a5204e4e21e3,Perle de Prague (La),50.07575327471632,14.419906367082527,French Restaurant
1770,352,50.0655,14.3914,2,0,4af1edfbf964a5207ae421e3,Na Václavce 32,50.065602456331796,14.394035488818776,Czech Restaurant
1356,1026,50.09776092933239,14.447099230957482,8,1,4af3fe7cf964a520c7ef21e3,SaSaZu,50.099274531810686,14.445130289609894,Asian Restaurant
2792,1374,50.1155,14.5986,6,0,4af530e6f964a5208ef821e3,La Trattoria Turbanti,50.11250927592227,14.59636848166136,Italian Restaurant
2496,1078,50.0955,14.421,27,2,4af531f8f964a5208ff821e3,La Casa Blů,50.091103000000004,14.422014,Mexican Restaurant
698,368,50.0732390706676,14.439299308604259,37,14,4af59a63f964a52035fa21e3,Giardino,50.07206279848593,14.4373710251211,Mediterranean Restaurant
1701,283,50.0555,14.4062,2,0,4af6dc1af964a5209b0322e3,Na Kopci,50.056743322854395,14.402533342141702,French Restaurant
2859,1441,50.13549999999999,14.5098,5,0,4af7e8c1f964a520820a22e3,Ristorante IL Giardino,50.13663877770757,14.51423961246053,Italian Restaurant
382,52,50.0732390706676,14.402700691395738,32,23,4af80b56f964a520c90a22e3,pK Café Restaurant,50.071691825376604,14.400453012116538,French Restaurant
2251,833,50.0855,14.4062,50,43,4af87822f964a5208b0d22e3,Stará Praha,50.081206547299935,14.405703248337726,Czech Restaurant
1169,839,50.08776092933239,14.432299961382265,35,4,4afae1f6f964a520501922e3,Makakiko | Running Sushi,50.089032746946174,14.429762378678296,Sushi Restaurant
2706,1288,50.1055,14.4802,17,1,4afeb523f964a520013022e3,Curry House,50.10333909730317,14.474617364421995,Indian Restaurant
1203,873,50.0832390706676,14.432299961382265,19,3,4b012ff7f964a520d64122e3,Istanbul Kebab,50.08218104321055,14.430517852306366,Turkish Restaurant
2645,1227,50.1055,14.4062,8,3,4b02e540f964a520c44a22e3,U Pramene,50.10787799922806,14.402248408149573,Czech Restaurant
2708,1290,50.1055,14.4802,17,3,4b049011f964a520355522e3,La Palma,50.10573483508487,14.47628990470391,Italian Restaurant
1631,213,50.0455,14.4506,38,0,4b0671edf964a520e2eb22e3,Kolkovna Budějovická,50.04532067682813,14.449194073677065,Czech Restaurant
1895,477,50.0655,14.5098,3,1,4b07c09bf964a520c6ff22e3,Xin Le Yuan,50.0672692310788,14.507205808147885,Chinese Restaurant
777,447,50.07776092933239,14.454099308604262,21,9,4b0d45c6f964a5207a4523e3,Sonora,50.078084177318175,14.456832977289993,Mexican Restaurant
2182,764,50.0855,14.3766,12,0,4b0d7439f964a520a84823e3,Na Marjánce,50.08431655490058,14.374949319627335,Czech Restaurant
454,124,50.07776092933239,14.417500691395738,35,25,4b11762df964a5201a7d23e3,Zářivá perla,50.07799241850321,14.41807347447375,Chinese Restaurant
1111,781,50.0832390706676,14.424500038617733,50,3,4b1a6d09f964a52034ea23e3,Modrý zub,50.08308621960736,14.42705061501504,Thai Restaurant
1911,493,50.0755,14.3914,8,4,4b1aea98f964a5209df423e3,RestArt,50.07375860677122,14.394052149043329,Eastern European Restaurant
1200,870,50.0832390706676,14.432299961382265,19,0,4b1c26b3f964a520240324e3,Bredovský dvůr,50.08266618303743,14.43013661071873,Czech Restaurant
649,319,50.0732390706676,14.432300691395733,43,39,4b1d265cf964a520490c24e3,VegFood,50.072856,14.434539633333333,Asian Restaurant
2481,1063,50.0955,14.4062,30,17,4b1f644af964a520122624e3,Villa Richter,50.09249550365859,14.408183676985624,Modern European Restaurant
500,170,50.07776092933239,14.42449930860426,44,23,4b292dd6f964a520679a24e3,ROOM,50.07999990465436,14.4245900723528,Tapas Restaurant
2550,1132,50.0955,14.4358,32,29,4b2d27c1f964a520aacf24e3,Dong Sheng,50.09897782565325,14.432325644184935,Chinese Restaurant
938,608,50.0855,14.421,50,30,4b40f831f964a5207ebe25e3,Made in Japan,50.08432350235258,14.421316021052757,Sushi Restaurant
2017,599,50.0755,14.4358,50,2,4b447abcf964a5206af525e3,Žlutá pumpa,50.071872222262144,14.436238916387081,Mexican Restaurant
2127,709,50.0755,14.4654,23,12,4b44d8cef964a52000fe25e3,Sushi Point,50.07884535426754,14.46126937866211,Sushi Restaurant
2476,1058,50.0955,14.4062,30,12,4b4868a2f964a520e24c26e3,Una Bella Canzone,50.09877326840984,14.401861760468089,Italian Restaurant
2749,1331,50.1055,14.495,28,27,4b4c59cdf964a52057b126e3,Fu Le,50.107518489822084,14.490819818638506,Chinese Restaurant
2116,698,50.0755,14.4654,23,1,4b4cef7df964a520cac426e3,Havana Restaurant,50.07174208624915,14.467285670803752,Cuban Restaurant
2528,1110,50.0955,14.4358,32,7,4b4e2bb8f964a520efe326e3,Hanabi,50.09152251516003,14.433625126071837,Sushi Restaurant
593,263,50.07776092933239,14.432300691395733,31,14,4b5b375df964a520e2eb28e3,Ztráty a nálezy,50.07853651519954,14.435171164932846,Czech Restaurant
666,336,50.07776092933239,14.439299308604259,31,13,4b5b3eddf964a52003ee28e3,La Grotta,50.07766154908546,14.43787445379653,Italian Restaurant
2175,757,50.0855,14.3618,8,1,4b5c6d8df964a520682f29e3,Klášterní šenk,50.08401451993954,14.356615567735789,Czech Restaurant
2751,1333,50.1055,14.5394,2,0,4b605c57f964a520b5e129e3,Ying Bin Lou,50.10616402617737,14.537524790550853,Asian Restaurant
1420,2,49.9755,14.3914,10,0,4b6086a8f964a520a7eb29e3,Barabizna,49.978595379560254,14.394932097472443,Mexican Restaurant
1707,289,50.0555,14.4358,14,0,4b61aa80f964a520671c2ae3,Palatino,50.056958229677285,14.433071752414575,Italian Restaurant
850,520,50.08776092933239,14.402699961382265,39,22,4b695a63f964a520a89f2be3,Italska restaurace Morska panna,50.088389,14.404003,Italian Restaurant
387,57,50.0732390706676,14.402700691395738,32,28,4b6abc76f964a5202dde2be3,Gyros-gr,50.07237607622999,14.402556467651515,Greek Restaurant
2257,839,50.0855,14.4062,50,49,4b6ad99ef964a52065e32be3,Pizzerie Felicita,50.08206971213358,14.406633636532408,Italian Restaurant
