,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
45,45,64.14374285714285,-21.9546,3,1,4b0588adf964a520b6d322e3,Grillið,64.14097347923278,-21.953439807576817,French Restaurant
204,69,64.14600378647525,-21.9254504900852,20,15,4b3a8fa6f964a520f36925e3,Austur India Fjelagid,64.14576000816304,-21.92559937963782,Indian Restaurant
2,2,64.09802857142857,-21.8826,6,1,4b598e4cf964a5205c8c28e3,Serrano,64.10092540456884,-21.881939826182574,Burrito Place
120,120,64.14374285714285,-21.8826,5,0,4b82a8baf964a520eadc30e3,Nings,64.14005267534407,-21.88452059909451,Asian Restaurant
21,21,64.12088571428572,-21.9306,1,0,4b9a7acdf964a5201db935e3,Nauthóll,64.1226902070985,-21.92566728424283,Scandinavian Restaurant
22,22,64.12088571428572,-21.8346,2,0,4bcd9787937ca5934fecac92,Serrano,64.12429880891406,-21.829162649906543,Burrito Place
40,40,64.13231428571429,-21.8586,4,2,4bdec90fe75c0f4735c0c803,Saffran,64.13371253896793,-21.867375808679586,Middle Eastern Restaurant
99,99,64.14374285714285,-21.9066,23,2,4bf8f2ca4a67c928a33126cf,Potturinn & Pannan,64.14139721707525,-21.90473676765781,Scandinavian Restaurant
111,111,64.14374285714285,-21.9066,23,14,4c29109297d00f47ffd940ea,Yummi Yummi,64.14306503985279,-21.913221794441146,Thai Restaurant
35,35,64.13231428571429,-21.8826,9,6,4c3397ef213c2d7f9534375d,Tian,64.13195055820427,-21.87354004106538,Chinese Restaurant
83,83,64.14374285714285,-21.9306,50,36,4c39e275dfb0e21e1d1ab1a8,Atid,64.143762,-21.923176,Thai Restaurant
109,109,64.14374285714285,-21.9066,23,12,4c52ced79426c9283ad9cc75,Ósushi TheTrain | Borgartúni,64.14579945308078,-21.89942863821677,Sushi Restaurant
4,4,64.09802857142857,-21.8826,6,3,4c5c6482d25320a10012c37a,Krua Thai,64.09920795655081,-21.878363007825346,Thai Restaurant
29,29,64.13231428571429,-21.8826,9,0,4c63b32979d1e21eeb3fd915,Ginger,64.13488385551152,-21.878546517136908,Burrito Place
44,44,64.14374285714285,-21.9546,3,0,4c8d260e8018a1cda6e8f2d2,Thai Grill,64.1458958297276,-21.96216455948456,Asian Restaurant
1,1,64.09802857142857,-21.8826,6,0,4c92116b51d9b1f75f898546,T.G.I. Friday's,64.10080637435404,-21.881911763458138,American Restaurant
171,36,64.14600378647525,-21.9357495099148,39,23,4c951d1af244b1f74db1281d,Gandhi,64.14658301714204,-21.938801901576568,Asian Restaurant
97,97,64.14374285714285,-21.9066,23,0,4cb8abea90c9a143a5de81d6,Ban-Thai,64.14302734586536,-21.912169346099272,Thai Restaurant
