,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
145,145,56.95836092933239,24.115199080620428,24,16,4b4c57cbf964a5202db126e3,Lielais Ķīnas mūris,56.95679342171522,24.114154756558104,Chinese Restaurant
304,70,56.9276,24.009905882352943,2,0,4ba285f9f964a520d60038e3,Pludmales sporta centrs “Brazīlija”,56.9310525730595,24.005157025781045,Volleyball Court
306,72,56.9276,24.02814117647059,5,0,4ba897d1f964a52096e139e3,Gan Bei,56.92909718931725,24.034989609564146,Japanese Restaurant
690,456,56.9561,24.137552941176466,39,3,4ba8c7cdf964a52052ee39e3,Xin Či ķīniešu bistro,56.9593601783288,24.14315419848404,Chinese Restaurant
813,579,56.9656,24.15578823529412,15,1,4bb483a4bd4b9c7428ac32f5,Gan Bei,56.966691732713755,24.16183677602632,Sushi Restaurant
326,92,56.9276,24.15578823529412,4,0,4bb6e059941ad13a1d1f20e3,Lido Atpūtas centrs,56.927131249403885,24.160384514709364,General Entertainment
510,276,56.9466,24.119317647058825,50,17,4bbde752f57ba593b397aeb9,Trattoria del Popolo,56.94761448874724,24.111439109197978,Italian Restaurant
694,460,56.9561,24.137552941176466,39,7,4bbe04288ec3d13ad7c31c28,Woki Toki,56.956527975836096,24.13182077323149,Asian Restaurant
454,220,56.9466,24.101082352941173,49,10,4bc2f817f8219c74f06bb510,Vecmeita ar Kaķi,56.95090505965167,24.102178405149754,Eastern European Restaurant
664,430,56.9561,24.119317647058825,50,27,4bc4c67a920eb71350411f2c,Kabuki,56.955883205441474,24.126433453317155,Japanese Restaurant
893,659,56.9846,24.137552941176466,5,0,4bc9e3f3fb84c9b6b9d01b3e,Gan Bei,56.98729935693522,24.13167162593559,Sushi Restaurant
450,216,56.9466,24.101082352941173,49,6,4bcc38c6b6c49c748a539391,Soraksans,56.94935356007765,24.102407894224058,Korean Restaurant
908,674,56.9846,24.210494117647055,11,0,4bf129d817880f47cbf82937,Gan Bei,56.98241869282362,24.205002894880547,Asian Restaurant
447,213,56.9466,24.101082352941173,49,3,4c025f3a187ec9287017b47b,Province,56.947570959994344,24.107504065313886,Eastern European Restaurant
814,580,56.9656,24.15578823529412,15,2,4c039023310fc9b62d0bc661,Vairāk Saules,56.96647381296547,24.16205128726161,Pizza Place
428,194,56.9466,24.064611764705887,11,10,4c1fa638a34cd13a7b0f7d74,"Restorāns ""Māja""",56.943092142394754,24.066287717209978,Eastern European Restaurant
