,Unnamed: 0,lat_centre,long_centre,num_venues,venue_iter,venue_id,venue_name,lat_venue,long_venue,category
581,581,42.6877,23.33523333333333,15,14,4b598352f964a520b58a28e3,Дворецът на императора,42.69102,23.331347,Chinese Restaurant
953,66,42.689960929332386,23.324955230105115,35,10,4b59dad0f964a520209c28e3,Mamma Mia,42.68959263881154,23.327955339228396,Pizza Place
624,624,42.6977,23.30856666666667,31,1,4b6da656f964a52038832ce3,Happy Bar & Grill,42.69838997328581,23.30839965372305,BBQ Joint
164,164,42.6577,23.33523333333333,3,2,4b715235f964a52006412de3,ELLI'S Bistro,42.65673739095476,23.33696655288666,Eastern European Restaurant
362,362,42.6777,23.29523333333333,17,7,4b71ac1bf964a5201f552de3,Ямас (Yamas),42.67740610603121,23.29064021882279,Greek Restaurant
654,654,42.6977,23.3219,50,0,4b76bcb2f964a5209d5b2ee3,Confetti,42.69418495702396,23.32193736699421,Italian Restaurant
435,435,42.6777,23.33523333333333,12,2,4b7d1d30f964a52010af2fe3,Под Липите (Under the Linden Trees),42.68181169469469,23.335515257705957,Bulgarian Restaurant
964,77,42.689960929332386,23.324955230105115,35,21,4b8425b0f964a520bf2331e3,Restaurant Tino,42.688255282171895,23.32534179721223,Eastern European Restaurant
371,371,42.6777,23.29523333333333,17,16,4b8c2222f964a520e9bf32e3,Kohinoor,42.674145599662594,23.291616439819336,Indian Restaurant
181,181,42.6577,23.37523333333333,8,1,4b993719f964a520716a35e3,Olive's Restaurant,42.6572972342278,23.37444442421807,American Restaurant
97,97,42.6477,23.34856666666667,6,5,4b9e958bf964a52084f136e3,Джиков (Djikov),42.6459383927572,23.34452941857037,Pizza Place
920,33,42.689960929332386,23.318844769894888,34,22,4baa2a4cf964a520b54f3ae3,Atina Giros,42.69061056104217,23.31955041334508,Greek Restaurant
600,600,42.6877,23.3619,7,0,4baceb62f964a52099193be3,Къщата на Джиков,42.68359990574177,23.362822092353124,Pizza Place
494,494,42.6877,23.26856666666667,4,2,4bb3743deb3e95211021cb0a,Questione di Gusti,42.68384965944129,23.2688577632129,Italian Restaurant
498,498,42.6877,23.29523333333333,7,1,4bb46c27f187a593041e14f8,Amaro,42.684984756784814,23.299312365497354,Italian Restaurant
454,454,42.6777,23.3619,30,5,4bc19dfb461576b030307c32,Wasabi Garden,42.676957102363225,23.362450262992287,Sushi Restaurant
103,103,42.6477,23.37523333333333,9,0,4bc43b29abf4952145c1c493,Happy Bar & Grill,42.6482119243966,23.379232275969642,Restaurant
